contract_id,pe_name,contract_name,contract_amount,procurement_category,procurement_method,status
PUDBC/Dang/Work/NCB/10/2077-078,"Federal Urban Development and Building Construction Office, Dang","Gadhawa New Town, Dang-Buddhajyoti school - Jhingaha Gaun - Buspark - Deukhuri Gaun - Hanti Pankhar - Rapti Bridge construction work",19648241.8,Works,NCB,In-Progress
PUDBC/Dang/Works/NCB/11/2077-78,"Federal Urban Development and Building Construction Office, Dang",Upgradation of road to Batule Community Building of Bhingri New Town of Pyuthan District,25893599.0,Works,NCB,In-Progress
FWSSMP/WRAM/CWSP/03/078-79,"Federal Water Supply and Sewerage Management Project, Ramechhap","Construction of entire work of Manthali Pumping Water Supply Project Manthali 7,8,9 Ramechhap with 1-Year Opeartion and Maintenance",343032057.19,Works,NCB,In-Progress
FWSSMP/WRAM/CRLWSP/01/NAG/078/79,"Federal Water Supply and Sewerage Management Project, Ramechhap",Construction of Nangedanda Large Pumping Water Supply Project works with 1-Year Operation and Maintenance,338711232.52,Works,NCB,In-Progress
The Renewal of License of Security Appliances,"National Information Technology Center, Kathmandu",Nextgen Solutions Pvt Ltd,91275637.0,Goods,NCB,Completed
NITC/G/NCB-2/078-79,"National Information Technology Center, Kathmandu",World Distribution Nepal Pvt Ltd,28476000.0,Goods,NCB,Completed
FWSSMP/WRAM/CWSP/05/078-79,"Federal Water Supply and Sewerage Management Project, Ramechhap","Construction of Entire work of Tilpung Water Supply Project, Likhu Tamakoshi-7, Ramechhap with 1-Year Operation and Maintenance",229134485.54,Works,NCB,In-Progress
DPR/NCB/W/2079/80-1,Department of Plant Resources,"Fencing works using 50mmX 3mm MS Square Pipe including 25mmX25mmX3mm angle Frame with 7mm TOR bar link mesh at World Peace Bio-diversity Garden Pokhara, Kaski",3110718.17,Works,NCB,In-Progress
DPR/NCB/W/2079/80-2,Department of Plant Resources,Simraungadh Banaspati Udhyan ma Sanrachana Nirman,3085497.75,Works,NCB,In-Progress
FUDBC/Morang/NCB/Works/15-2082-083,"Federal Urban Development and Building Construction Office, Morang","Improvement of road from Nemalal Chowk to Ashram tole upto Dhanusha road, Duhabi 11, Sunsari",24148500.9,Works,NCB,In-Progress
FUDBC/Morang/NCB/Works/20-2082-083,"Federal Urban Development and Building Construction Office, Morang",Upgradation of Road from Jitmahan Mandir to Siswa tole- Bugdari Salpa Ma Vi upto Barju Boarder,23196858.85,Works,NCB,In-Progress
FUDBC/Morang/NCB/Works/36-2082-083,"Federal Urban Development and Building Construction Office, Morang","Construction of Community Building with Allied Works Chitragupta Chaithi Temple, Biratnagar 02,Morang",22728947.34,Works,NCB,In-Progress
FUDBC/Morang/NCB/Works/37-2082-083,"Federal Urban Development and Building Construction Office, Morang","Construction RCC road from Gangir Baba temple to Uttar Birta Kaahaar tole Road, Gramthan-01, Morang",22239013.03,Works,NCB,In-Progress
FUDBC/Morang/NCB/Works/77-2081-082,"Federal Urban Development and Building Construction Office, Morang","Execution of Remaining Civil, Electrical & Finishing Works for K.P. Bhattarai Foundation Building.",35718906.76,Works,NCB,In-Progress
FUDBC/Morang/NCB/Works/48-2082-083,"Federal Urban Development and Building Construction Office, Morang","Execution of Remaining Civil, Electrical & Finishing Works for K.P. Bhattarai Foundation Building (Second Phase.),Birartnagar,Morang",21922798.96,Works,NCB,In-Progress
FUDBC/Morang/NCB/Works/60-2082-083,"Federal Urban Development and Building Construction Office, Morang","Repair, Rehabilation and Structural Strengthening of High Court building(Main Building, Judge Quarter and Guest House) damaged due to Gen-Z movement at Biratnagar, Morang",24247151.28,Works,NCB,In-Progress
FUDBC/Morang/NCB/Works/66-2081-082,"Federal Urban Development and Building Construction Office, Morang","Reconstruction of Meeting Hall damaged due to Genz movement at DAO office, Biratnagar, Morang",7031289.02,Works,NCB,In-Progress
FUDBC/Morang/Works/NCB/32-2082-083,"Federal Urban Development and Building Construction Office, Morang","Improvement of Red cross Marg from Mahendra Highway upto Pipra Play ground,Ramdhuni-5,Sunsari",21390372.67,Works,NCB,In-Progress
Supply and Delivery of stationary and Office Related Items,"National Police Academy , Maharajgung",Stationery and Office Related Items,1638895.5,Goods,NCB,Completed
Supply and Delivery of Desktop Computer,"National Police Academy , Maharajgung",Supply and Delivery of Desktop Computer,2900992.5,Goods,NCB,Completed
FUDBC/Morang/Works/NCB/16-2082-083,"Federal Urban Development and Building Construction Office, Morang","Upgradation of Different Road at Lalbasti, Barahkshetra-01, Chatara, Sunsari",22363838.64,Works,NCB,In-Progress
FUDBC/Morang/Works/NCB/17-2082-083,"Federal Urban Development and Building Construction Office, Morang","Upgradation of Road from Nahar Chowk to North-Prakashpur Bazar-Junge chowk-Chhabis Pipe upto Rajabash Bazar, Barahkshetra 9 & 10, Sunsari",21883760.42,Works,NCB,In-Progress
FUDBC/Morang/Works/NCB/18-2082-083,"Federal Urban Development and Building Construction Office, Morang","Upgradation of Road from Chudamani Chowk to Urau Tole-Bist Tole Bhagwati School upto Madhuwan Road, Barahkshetra 10, Prakashpur, sunsari",21652529.52,Works,NCB,In-Progress
FUDBC/Morang/Works/NCB/51-2082-083,"Federal Urban Development and Building Construction Office, Morang","""Construction of School Building at Suryodaya Basic School, Dharan-20, Sunsari""",22905315.83,Works,NCB,In-Progress
FUDBC/Morang/Works/NCB/19-2082-083,"Federal Urban Development and Building Construction Office, Morang","""Upgradation of Road from Bange Bazar to Buspark, Barahkshetra -07, Bangebazar, Sunsari""",23938128.71,Works,NCB,In-Progress
FUDBC/Morang/Works/NCB/61-2082-083,"Federal Urban Development and Building Construction Office, Morang","""Repair, Rehabilitation, and Structural Strengthening of Postal Directorate Buildings in Biratnagar, Morang damaged due to Gen-Z movement"".",8455472.22,Works,NCB,In-Progress
FUDBC/Morang/Works/NCB/24-2082-083,"Federal Urban Development and Building Construction Office, Morang","Construction and Upgradation of Road works in Inaruwa-7 from Barchhwa, Chandbela, Khiriya to South way of Canal, Sunsari",21904585.57,Works,NCB,In-Progress
FUDBC/Morang/Works/NCB/26-2082-085,"Federal Urban Development and Building Construction Office, Morang","Construction and Upgradation of Road works in Inaruwa-6 Halesi chowk, Mochi Tole to Jhakhanjhoda, Sunsari",21400463.19,Works,NCB,In-Progress
FUDBC/Morang/Works/NCB/27-2082-086,"Federal Urban Development and Building Construction Office, Morang","Constructuon and Upgradation of road works in Inaruwa-9 from Sukrabare Haat to Babiya yadav Tole, Sunsari",24041526.88,Works,NCB,In-Progress
FUDBC/Morang/Works/NCB/40-2082-091,"Federal Urban Development and Building Construction Office, Morang","Construction of Federal Water Supply and Sewerage Management Office's Building in Biratnagar, Morang",17444861.8,Works,NCB,In-Progress
FUDBC/Morang/Works/NCB/50-2082-092,"Federal Urban Development and Building Construction Office, Morang","Construction of School Building of Janak Aadharbhut Ma. Bi. in Biratnagar -18, Morang.",21197615.08,Works,NCB,In-Progress
FUDBC/Morang/Works/NCB/62-2082-093,"Federal Urban Development and Building Construction Office, Morang","Repair, Rehabilitation and Maintenance of Food Technology and Quality Control Office ""Khadya Prawidhi"" Buildings in Biratnagar, Morang damaged due to Gen-Z movement.",7165899.58,Works,NCB,In-Progress
PoAHS/G/NCB-20/2082-83,Pokhara Academy of Health Sciences,Procurement of Medical Equipment forEmergency Department,1807209.0,Goods,NCB,In-Progress
PoAHS/G/NCB-21/2082-83,Pokhara Academy of Health Sciences,Procurement of Medical Equipment for Gynea /Obsterics Department,1765319.5,Goods,NCB,In-Progress
