contract_id,pe_name,contract_name,contract_amount,procurement_category,procurement_method,status
LAL-14-2077/078,LALJHADI RURAL MUNICIPALITY,Construction of Shankarpur Hospital Building,60502650.12,Works,NCB,In-Progress
30-BMC/2078/079/W/NCB/88,Bharatpur Metropolitian City Office,"Road Construction at different wards of Bharatpur Metropolitan City (Ward 11,12,15,16,23)",35000000.0,Works,NCB,Completed
PUN/MUN/078/079-28,Punarbas Municipality Office,"Ansubarmabasti plot no -19 to kalika mandir, Plot no 24 to mahendrabasti , 6no plot to 19 no plot Road maintinance , Ward no 1",1206388.0,Works,Sealed Quotation,Completed
PUN/MUN/078/079-29,Punarbas Municipality Office,Rastriya Adharbhut School to Khet jane sadak ward no 7,1405946.0,Works,Sealed Quotation,In-Progress
PUN/MUN/078/079-30,Punarbas Municipality Office,Sitabasti Khagaun kirtipur - masanghat Road Maintinance ward no 9,1373797.05,Works,Sealed Quotation,In-Progress
PUN/MUN/078/079-31,Punarbas Municipality Office,Medical Tol Road maintinance Ward no 10,1218127.57,Works,Sealed Quotation,Completed
TB/PUN/MUN/078/079-26,Punarbas Municipality Office,Procurement of Fabricated Steel Parts for Kursha Nala-09 and Lamaiya Nala-10 Trail Bridge,3070984.0,Works,NCB,In-Progress
23/KRM/BUILDING/2078/079,Kamal Rural Municipality,"Construction of ward office building, ward no. 2",8982741.58,Works,NCB,In-Progress
22/KRM/BRIDGE/2078/079,Kamal Rural Municipality,Construction of superstructure & protection works in gosline dhyangri khola bridge,7498188.2,Works,NCB,In-Progress
45/KRM/ROAD/2078/079,Kamal Rural Municipality,"Construction Of Asphalt Concreting work and Road Lighting System in Kerkha Bazaar, Ward No. 3",4306695.06,Works,NCB,In-Progress
UDB-RUP/34701012/NCB/078-79/3,"Urban Development and Building Office, Rupandehi","Construction of Infrastructure (Road Upgrading Works) at Unnatitole, Omsatiya Rural Municipality, Rupandehi.",1850689.14,Works,NCB,Completed
UDBO/ILAM/W/NCB/14/075-76,"Urban Development and Building Office, Ilam","Construction of road and drain in ilam municipality, ilam",17366554.4,Works,NCB,Completed
UDB-RUP/33704014/NCB/077-78/10,"Urban Development and Building Office, Rupandehi","Construction of Road, Footpath and paving Interlock Block Works at Devdaha Municipality, Rupandehi",6682408.91,Works,NCB,In-Progress
UDB-RUP/33704014/NCB/077-78/15,"Urban Development and Building Office, Rupandehi","Construction of Road, Footpath and paving Interlock Block Works at Sitganga Municipality, Arghakhachi",8940572.07,Works,NCB,In-Progress
18-BMC/2078/079/W/NCB/43,Bharatpur Metropolitian City Office,"""Construction of Blacktopped Road from Padam Pokhari Shivalaya Chowk to Aas Bahadur's House Chowk Towards North, BMC-22""",4196236.95,Works,NCB,Completed
18-BMC/2078/079/W/NCB/44,Bharatpur Metropolitian City Office,"""Construction of Blacktopped Road from Hari Prasad Sapkota's House to Ward no 17 Territory in East, BMC-19""",2165894.26,Works,NCB,Completed
30-BHR/2078/079/W/NCB/88,Bharatpur Metropolitian City Office,Road Construction at Different wards of bharatpur metropolitan city (ward 11 12 15 16 23),34868629.64,Works,NCB,In-Progress
30-BHR/2078/079/W/NCB/89,Bharatpur Metropolitian City Office,"Kerunga River Beautification RCC wall Construction at Kerunga Ghol,Ward no 9",28314300.11,Works,NCB,Completed
29-BHR/2078/079/W/NCB/93,Bharatpur Metropolitian City Office,Blacktopped Road And Drain Construction at Bharatpur Ward No. 2,3257155.51,Works,NCB,In-Progress
23-BMC/2078/079/W/NCB/57,Bharatpur Metropolitian City Office,"Maintenance Of Different Roads of Ward no. 7, BMC",3121579.77,Works,NCB,In-Progress
23-BMC/2078/079/W/NCB/61,Bharatpur Metropolitian City Office,ward 22 chowk dekhi paschim kurmiya chowk samma kalopatre kaam,6787779.64,Works,NCB,In-Progress
37-BMC/2078/079/W/NCB/103,Bharatpur Metropolitian City Office,"Construction of ward office Building, Bharatur",13051750.44,Works,NCB,In-Progress
5-BMC/2078/079/W/NCB/7,Bharatpur Metropolitian City Office,Blacktopped Road Construction on Bharatpur ward no. 15.(Ghumaune chowk Yelauli chowk-Suryanagar School-Suryaratna Chowk Road Sectio,41846863.96,Works,NCB,In-Progress
6-BMC/2078/079/W/NCB/8,Bharatpur Metropolitian City Office,"Blacktopped Road Maintenance and Rigid Pavement Works at Different Ward of Bharatpur Metropolitan city.""",63782797.13,Works,NCB,In-Progress
8-BMC/2078/079/W/NCB/10,Bharatpur Metropolitian City Office,"Gravel Road Maintenance and Filling Works at Different ward of Bharatpur Metropolitan City.""",16253920.0,Works,NCB,In-Progress
24-BMC/2078/079/W/NCB/64,Bharatpur Metropolitian City Office,"Blacktopped Road Construction At Ward no 2, (sichaai)",3535572.25,Works,NCB,Completed
8-BMC/2078/079/G/NCB/11,Bharatpur Metropolitian City Office,Supply and Delivery of NP3 Hume Pipe at Bharatpur Metropolitan City,3012693.0,Goods,NCB,Completed
25-BMC/2078/079/W/NCB/68,Bharatpur Metropolitian City Office,"Construction Of RCC Box Culvert , Ward no 1 Devghat",2347724.61,Works,NCB,Completed
9-BMC/2078/079/W/NCB/13,Bharatpur Metropolitian City Office,Blacktopped Road Construction at Bharatpur Ward No. 22,6309690.18,Works,NCB,In-Progress
9-BMC/2078/079/W/NCB/14,Bharatpur Metropolitian City Office,"Construction Of Additional Storey On Existing Ward Office Building , Ward No.22",7151887.8,Works,NCB,In-Progress
9-BMC/2078/079/G/NCB/15,Bharatpur Metropolitian City Office,"Supply and Delivery of Furniture and Fixtures at Bharatpur Metropolitan City.""",10010670.0,Goods,NCB,Completed
