source_file,total_records,federal_count,provincial_count,local_count,unknown_count,output_files
/home/suchita/Desktop/Arranged data/tables/source-book_kzajtb9_page100_table1.csv,16,0,0,6,10,/home/suchita/Desktop/Arranged data/Final Data/Local/source-book_kzajtb9_page100_table1_local.csv | /home/suchita/Desktop/Arranged data/Final Data/Unknown/source-book_kzajtb9_page100_table1_unknown.csv
/home/suchita/Desktop/Arranged data/tables/source-book_kzajtb9_page101_table1.csv,17,0,0,7,10,/home/suchita/Desktop/Arranged data/Final Data/Local/source-book_kzajtb9_page101_table1_local.csv | /home/suchita/Desktop/Arranged data/Final Data/Unknown/source-book_kzajtb9_page101_table1_unknown.csv
/home/suchita/Desktop/Arranged data/tables/source-book_kzajtb9_page102_table1.csv,15,0,0,6,9,/home/suchita/Desktop/Arranged data/Final Data/Local/source-book_kzajtb9_page102_table1_local.csv | /home/suchita/Desktop/Arranged data/Final Data/Unknown/source-book_kzajtb9_page102_table1_unknown.csv
/home/suchita/Desktop/Arranged data/tables/source-book_kzajtb9_page103_table1.csv,16,0,0,6,10,/home/suchita/Desktop/Arranged data/Final Data/Local/source-book_kzajtb9_page103_table1_local.csv | /home/suchita/Desktop/Arranged data/Final Data/Unknown/source-book_kzajtb9_page103_table1_unknown.csv
/home/suchita/Desktop/Arranged data/tables/source-book_kzajtb9_page104_table1.csv,16,0,0,6,10,/home/suchita/Desktop/Arranged data/Final Data/Local/source-book_kzajtb9_page104_table1_local.csv | /home/suchita/Desktop/Arranged data/Final Data/Unknown/source-book_kzajtb9_page104_table1_unknown.csv
/home/suchita/Desktop/Arranged data/tables/source-book_kzajtb9_page105_table1.csv,16,0,0,6,10,/home/suchita/Desktop/Arranged data/Final Data/Local/source-book_kzajtb9_page105_table1_local.csv | /home/suchita/Desktop/Arranged data/Final Data/Unknown/source-book_kzajtb9_page105_table1_unknown.csv
/home/suchita/Desktop/Arranged data/tables/source-book_kzajtb9_page106_table1.csv,17,0,0,7,10,/home/suchita/Desktop/Arranged data/Final Data/Local/source-book_kzajtb9_page106_table1_local.csv | /home/suchita/Desktop/Arranged data/Final Data/Unknown/source-book_kzajtb9_page106_table1_unknown.csv
/home/suchita/Desktop/Arranged data/tables/source-book_kzajtb9_page107_table1.csv,16,0,0,6,10,/home/suchita/Desktop/Arranged data/Final Data/Local/source-book_kzajtb9_page107_table1_local.csv | /home/suchita/Desktop/Arranged data/Final Data/Unknown/source-book_kzajtb9_page107_table1_unknown.csv
/home/suchita/Desktop/Arranged data/tables/source-book_kzajtb9_page108_table1.csv,16,0,0,6,10,/home/suchita/Desktop/Arranged data/Final Data/Local/source-book_kzajtb9_page108_table1_local.csv | /home/suchita/Desktop/Arranged data/Final Data/Unknown/source-book_kzajtb9_page108_table1_unknown.csv
/home/suchita/Desktop/Arranged data/tables/source-book_kzajtb9_page109_table1.csv,17,0,0,7,10,/home/suchita/Desktop/Arranged data/Final Data/Local/source-book_kzajtb9_page109_table1_local.csv | /home/suchita/Desktop/Arranged data/Final Data/Unknown/source-book_kzajtb9_page109_table1_unknown.csv
/home/suchita/Desktop/Arranged data/tables/source-book_kzajtb9_page110_table1.csv,16,0,0,6,10,/home/suchita/Desktop/Arranged data/Final Data/Local/source-book_kzajtb9_page110_table1_local.csv | /home/suchita/Desktop/Arranged data/Final Data/Unknown/source-book_kzajtb9_page110_table1_unknown.csv
/home/suchita/Desktop/Arranged data/tables/source-book_kzajtb9_page111_table1.csv,16,0,0,6,10,/home/suchita/Desktop/Arranged data/Final Data/Local/source-book_kzajtb9_page111_table1_local.csv | /home/suchita/Desktop/Arranged data/Final Data/Unknown/source-book_kzajtb9_page111_table1_unknown.csv
/home/suchita/Desktop/Arranged data/tables/source-book_kzajtb9_page112_table1.csv,16,0,0,6,10,/home/suchita/Desktop/Arranged data/Final Data/Local/source-book_kzajtb9_page112_table1_local.csv | /home/suchita/Desktop/Arranged data/Final Data/Unknown/source-book_kzajtb9_page112_table1_unknown.csv
/home/suchita/Desktop/Arranged data/tables/source-book_kzajtb9_page113_table1.csv,12,0,0,4,8,/home/suchita/Desktop/Arranged data/Final Data/Local/source-book_kzajtb9_page113_table1_local.csv | /home/suchita/Desktop/Arranged data/Final Data/Unknown/source-book_kzajtb9_page113_table1_unknown.csv
/home/suchita/Desktop/Arranged data/tables/source-book_kzajtb9_page114_table1.csv,13,0,0,5,8,/home/suchita/Desktop/Arranged data/Final Data/Local/source-book_kzajtb9_page114_table1_local.csv | /home/suchita/Desktop/Arranged data/Final Data/Unknown/source-book_kzajtb9_page114_table1_unknown.csv
/home/suchita/Desktop/Arranged data/tables/source-book_kzajtb9_page115_table1.csv,14,0,0,5,9,/home/suchita/Desktop/Arranged data/Final Data/Local/source-book_kzajtb9_page115_table1_local.csv | /home/suchita/Desktop/Arranged data/Final Data/Unknown/source-book_kzajtb9_page115_table1_unknown.csv
/home/suchita/Desktop/Arranged data/tables/source-book_kzajtb9_page116_table1.csv,15,0,0,6,9,/home/suchita/Desktop/Arranged data/Final Data/Local/source-book_kzajtb9_page116_table1_local.csv | /home/suchita/Desktop/Arranged data/Final Data/Unknown/source-book_kzajtb9_page116_table1_unknown.csv
/home/suchita/Desktop/Arranged data/tables/source-book_kzajtb9_page117_table1.csv,14,0,0,5,9,/home/suchita/Desktop/Arranged data/Final Data/Local/source-book_kzajtb9_page117_table1_local.csv | /home/suchita/Desktop/Arranged data/Final Data/Unknown/source-book_kzajtb9_page117_table1_unknown.csv
/home/suchita/Desktop/Arranged data/tables/source-book_kzajtb9_page118_table1.csv,15,0,0,6,9,/home/suchita/Desktop/Arranged data/Final Data/Local/source-book_kzajtb9_page118_table1_local.csv | /home/suchita/Desktop/Arranged data/Final Data/Unknown/source-book_kzajtb9_page118_table1_unknown.csv
