contract_id,pe_name,contract_name,contract_amount,procurement_category,procurement_method,status
IDO/TPJ/WORKS/BRIDGE/NCB-01/082/83,"Infrastructure Development Office, Taplejung, Koshi Province","Construction of Hangdewa Khola RCC Bridge road connecting Phungling to Tamor Corridor, Phungling-9 & 10,Taplejung",39472759.62,Works,NCB,In-Progress
IDO-PAN-NCB-BRIDGE-079/80-33,"Infrastructure Development Office, Taplejung, Koshi Province",Construction of Neruwa Khola Pre-Stressed RCC Bridge,81882293.74,Works,NCB,In-Progress
15-ROAD-IDO-PAN-075/76,"Infrastructure Development Office, Taplejung, Koshi Province",Upgrading of Gufa-Bhuje-Deurali-Gorja-Change-Dovan Road,466977572.34,Works,NCB,In-Progress
IDO/TPJ/WORKS/ROAD/NCB-05/082/83,"Infrastructure Development Office, Taplejung, Koshi Province","Construction of Dhangdhange Hengkhabung Samma ko Motar Bato, Sidingwa-6, Taplejung",2770023.75,Works,NCB,In-Progress
IDO/TPJ/WORKS/ROAD/NCB-06/082/83,"Infrastructure Development Office, Taplejung, Koshi Province","Construction of Mitlung Malbase Hudai Chyane pakha Sogira Nepalbari Bungkulung sadak, Phungling-10, Taplejung",2576488.51,Works,NCB,In-Progress
IDO/TPJ/WORKS/ROAD/NCB-07/082/83,"Infrastructure Development Office, Taplejung, Koshi Province","Construction of Uphibung kafle Chautara Neruwa Aasanklung Aa. Bi. Samtong Sadak, Mewakhola-06,Taplejung",3312000.0,Works,NCB,Completed
IDO/TPJ/WORKS/ROAD/NCB-08/082/83,"Infrastructure Development Office, Taplejung, Koshi Province","Construction of Lekuwa Dekhi Madan Bhandari Janma Ghar Samma ko Sadak, Maiwakhola-2, Taplejung",3017069.75,Works,NCB,Completed
IDO/TPJ/WORKS/ROAD/NCB-09/082/83,"Infrastructure Development Office, Taplejung, Koshi Province","Construction of RCC Stair From Pipuma to Tallo Pul to Mathillo Deurali, Meringden-06, Nalbo,Taplejung",1568113.0,Works,NCB,Completed
IDO/TPJ/WORKS/ROAD/NCB-10/082/83,"Infrastructure Development Office, Taplejung, Koshi Province","Upgrading of Raankebagar-Saangadin-Ekchana Bhanjyang Road, Sirijangha-07, Taplejung",2080167.16,Works,NCB,Completed
IDO/TPJ/WORKS/ROAD/NCB-11/082/83,"Infrastructure Development Office, Taplejung, Koshi Province","Upgrading of Aamebung Mamankhe Mungadanda Sadak, Phaktalung-2, Taplejung",1905556.74,Works,NCB,Completed
IDO/TPJ/WORKS/BUILDING/NCB-14/082/83,"Infrastructure Development Office, Taplejung, Koshi Province","Upgrading of Sarswati Secondary School Playground, Aathrai Tribeni-03, Taplejung",3473306.21,Works,NCB,Completed
IDO/TPJ/WORKS/ROAD/SQ-01/082/83,"Infrastructure Development Office, Taplejung, Koshi Province","Improvement of Aathrai Tribeni Gaurabko Sadak -Khudumbu-Wada Karyalay Road,",602094.38,Works,Sealed Quotation,Completed
IDO/TPJ/WORKS/ROAD/SQ-09/082/83(Re-Bid),"Infrastructure Development Office, Taplejung, Koshi Province","Construction of Belbote Dekhi Tarikhel Hudai Okhrabu Jane sadak, Meringden-1,Taplejung",614522.18,Works,Sealed Quotation,Completed
IDO/TPJ/WORKS/ROAD/SQ-10/082/83(Re-Bid),"Infrastructure Development Office, Taplejung, Koshi Province","Upgrading of Dhwaje Dada dekhi Dada Gaun Jane sadak, Meringden-10,Taplejung",970564.89,Works,Sealed Quotation,Completed
IDO/TPJ/WORKS/ROAD/SQ-11/082/83(Re-Bid),"Infrastructure Development Office, Taplejung, Koshi Province","Upgrading of Gaigude dekhi Ghalghale sadak, Phungling-09,Taplejung",656451.45,Works,Sealed Quotation,Completed
IDO/TPJ/WORKS/ROAD/SQ-12/082/83(Re-Bid),"Infrastructure Development Office, Taplejung, Koshi Province","Upgrading of Karbaari Dhara dekhi Naya Buspark sadak, Phungling-04, Taplejung",607279.39,Works,Sealed Quotation,Completed
IDO/TPJ/WORKS/ROAD/SQ-13/082/83,"Infrastructure Development Office, Taplejung, Koshi Province","Upgrading of Katike-Salbote-Madibung-Sallesee Gautam Buddha Hudai Hospital Jodne sadak, Sidingwa-04, Taplejung",627490.0,Works,Sealed Quotation,Completed
IDO/TPJ/WORKS/ROAD/SQ-14/082/83(Re-Bid),"Infrastructure Development Office, Taplejung, Koshi Province","Improvement of Ojahang Marga & Nali Nirman, Phungling-04,Taplejung",685073.67,Works,Sealed Quotation,Completed
IDO/TPJ/WORKS/BUILDING/SQ-15/082/83,"Infrastructure Development Office, Taplejung, Koshi Province","Construction of Lali Guras Aama samuh Building, Phungling-08,Taplejung",877982.75,Works,Sealed Quotation,Completed
IDO/TPJ/WORKS/ROAD/SQ-16/082/83(Re-Bid),"Infrastructure Development Office, Taplejung, Koshi Province","Saraswati Maa.Wi. Khelmaidan Staronnati, Sidingwa RM-04, Sablakhu, Taplejung",1932922.5,Works,Sealed Quotation,Completed
IDO/TPJ/WORKS/ROAD/SQ-17/082/83,"Infrastructure Development Office, Taplejung, Koshi Province","Upgrading of jagmale chamling Danda Sadak, Pathibhara Yangbarak-1, Taplejung",1382146.77,Works,Sealed Quotation,Completed
IDO/TPJ/WORKS/ROAD/SQ-18/082/83(Re-Bid),"Infrastructure Development Office, Taplejung, Koshi Province","Construction of Himali Lokmarg, Meringden, Taplejung",1161384.75,Works,Sealed Quotation,Completed
IDO/TPJ/WORKS/ BUILDING/SQ-19/082/83,"Infrastructure Development Office, Taplejung, Koshi Province","Sagarmatha Aadharbhut Vidyalay Purwadhar Nirman, Mikwakhola-02,Khokling,Taplejung",690996.0,Works,Sealed Quotation,Completed
IDO/TPJ/WORKS/ROAD/SQ-20/082/83(Re-Bid),"Infrastructure Development Office, Taplejung, Koshi Province","Upgrading of Khurukla Samtong Road, Maiwakhola RM-06,Taplejung",961518.0,Works,Sealed Quotation,Completed
IDO/TPJ/WORKS/ROAD/SQ-21/082/83(Re-Bid),"Infrastructure Development Office, Taplejung, Koshi Province","Improvement of Tallo Maiyung dekhi Chhate Dhunga Olang Chung Gola Lok Marga Dekhi Chhutne ) Road, Phungling-10, Taplejung",1413246.24,Works,Sealed Quotation,Completed
IDO/TPJ/WORKS/BUILDING/SQ-23/082/83(Re-Bid),"Infrastructure Development Office, Taplejung, Koshi Province","Construction of Community Building of Sablakhu, Sidingwa-4, Taplejung",1609347.44,Works,Sealed Quotation,Completed
IDO/TPJ/WORKS/BUILDING/SQ-24/082/83(Re-Bid),"Infrastructure Development Office, Taplejung, Koshi Province","Construction of Additional Storey and Maintenance of Khalte Manakamana Mothers' Group Building, Pathibhara Yangbarak -2, Taplejung",1611427.98,Works,Sealed Quotation,Completed
IDO/TPJ/WORKS/ROAD/SQ-25/082/83(Re-Bid),"Infrastructure Development Office, Taplejung, Koshi Province","Construction of Thute Bar Dingla Lingtep Hudai Dungwa Sakrate jane Sadak, Meringden, Taplejung",621162.0,Works,Sealed Quotation,Completed
IDO/TPJ/WORKS/ROAD/SQ-27/082/83,"Infrastructure Development Office, Taplejung, Koshi Province","Construction of Samekham Dekhi Laksambo Suira Hudai Baklo gaun mirinden-4 lingtep sadak, Meringden, Taplejung",508133.75,Works,Sealed Quotation,Completed
IDO/TPJ/WORKS/BUILDING/SQ-29/082/83(Re-Bid),"Infrastructure Development Office, Taplejung, Koshi Province","Maintenance of Balkalyan Secondary School Building and Construction of Canteen, Sidingwa-7, Taplejung",779100.63,Works,Sealed Quotation,Completed
IDO/TPJ/WORKS/ROAD/SQ-30/082/83(Re-Bid),"Infrastructure Development Office, Taplejung, Koshi Province","Upgrading of Mane Danda-Samadhisthal Road, Phaktanglung-01, Taplejung",676695.96,Works,Sealed Quotation,Completed
IDO/TPJ/WORKS/ROAD/SQ-31/082/83,"Infrastructure Development Office, Taplejung, Koshi Province","Upgrading of Bipudham-Mungrila Road, Phaktanglung-04, Taplejung",691448.0,Works,Sealed Quotation,Completed
