contract_id,pe_name,contract_name,contract_amount,procurement_category,procurement_method,status
UDB-RUP/33704014/NCB/077-78/07,"Urban Development and Building Office, Rupandehi","Construction of Footpath and Drain at Mahalawar-majdiya Road and Padhariya-Masjid, Lumbini Sanskritik, Rupandehi",14013671.95,Works,NCB,Completed
RIDOKAP/10134/NCB/080-81/18,"Road Infrastructure Development Office, Kapilvastu","Banganga Munucipality 3 Lumbini Vision college agadiko bato Kalopatre,Banganga,Kapilvastu",2589467.45,Works,NCB,In-Progress
RIDO/RUP/134/NCB/082-83/25,"Road Infrastructure Development office, Rupandehi","Upgrading of (i)Khungai Chowk dekhi Sano Padariya jane Sadak Lu Sa Na Pa-3, Rupanndehi & (ii)Lumbini Ring Road dekhi Sujandihawa Jane Sadak",3204384.57,Works,NCB,In-Progress
RIDORUP/RUP/337911314/BR/NCB/081-82/79,"Road Infrastructure Development office, Rupandehi",Construction of Badaula Khola Bridge (Lumbini Sanskritik Muncipality ward no -10) Along lumbini - Tapoban Road,56910651.92,Works,NCB,In-Progress
RIDO/RUP/134/NCB/082-83/29,"Road Infrastructure Development office, Rupandehi","Upgrading of (i) Salghari Aichawal Wada Karyalay Hudai Lumbini Sadak (ii) Gaidahawa-7 Shanti Bazar Dekhi Haraiya Jane Sadak & (iii) Sano-Bishwarya Dekhi Thakurpur Hudai Gaidahawa Jodne Sadak, Rupandeh",5900265.66,Works,NCB,In-Progress
RIDO/RUP/134/NCB/082-83/54,"Road Infrastructure Development office, Rupandehi","Upgrading of (i) Mahubaridekhi Semarako Pulsamma Siyari-2 Jodne Sadak & (ii) Mahubari Jhulunge Puldekhi Bangai Gau Hudai Lumbini Jane Main road Jodne sadak, Rupandehi",3279246.28,Works,NCB,In-Progress
RIDO/RUP/134/NCB/082-83/56,"Road Infrastructure Development office, Rupandehi","Upgrading of (i) Dui Muhaan Pul Dekhi dekhi Sipawa Samma Sadak Kalopatre & (ii) Paraspurdekhi Bogdiya Hudai Lumbini Jodne Sadak Kotahimai-1, Rupandehi",2007572.76,Works,NCB,In-Progress
RIDO/RUP/134/NCB/082-83/83,"Road Infrastructure Development office, Rupandehi","Upgrading of (i) Purbi Kachera to Belbhariya Adhurosadak Kalopatre Kanchan-1, Rupandehi (ii) Lumbini sadak dekhi Hawaldar ko ghar samma Nala Sahit Sadak kalopatre, Kanchan-01, Rupandehi",3241763.59,Works,NCB,In-Progress
RIDO/RUP/134/SQ/082-83/100,"Road Infrastructure Development office, Rupandehi","Upgrading of Kamal Tole Mata Tole Hudai Lumbini Road Niskane Kalo Patre Gaidahawa-8, Rupandehi",996631.5,Works,Sealed Quotation,Completed
RIDO/RUP/134/SQ/082-83/101,"Road Infrastructure Development office, Rupandehi","Upgrading of Sukauli Aama Prahari Chaukidekhi Bhabhai Banjarhi Aadwaliya Kalidah Mandir Lumbini Jane Sadak, Lu Sa Na Pa",1193502.36,Works,Sealed Quotation,Completed
RIDO/RUP/134/NCB/082-83/114,"Road Infrastructure Development office, Rupandehi","Upgrading of (i) Lumbini Road Dekhi Sangam Path Jodne Apuro Sadak kalopatre, Sainamaina-7, Rupandehi & (ii) Sahid Narayan Pokharel Ramapur Campus Gate Dekhi Dakshin Santaunnapur Ghola samma dohoro dra",3640629.11,Works,NCB,In-Progress
