contract_id,pe_name,contract_name,contract_amount,procurement_category,procurement_method,status
42-BMC/2078/079/W/NCB/123,Bharatpur Metropolitian City Office,"Blacktopped Road Construction from Mitralal Adhikari's House to Indrachowk, BMC-16",4501900.14,Works,NCB,Completed
IDO/CHT/W/NCB/05/078-79,Infrastructure Development Office Chitwan,Construction/Upgrading works Under Package-05,3657654.18,Works,NCB,In-Progress
IDO/CHT/W/NCB/07/078-79,Infrastructure Development Office Chitwan,Construction/Upgrading works of Pandechowk - Manakamana Chowk - Simara Road,2053840.4,Works,NCB,In-Progress
IDO/CHT/W/NCB/08/078-79,Infrastructure Development Office Chitwan,Construction/Upgrading works Under Package-08,2640321.83,Works,NCB,In-Progress
IDO/CHT/W/NCB/09/078-79,Infrastructure Development Office Chitwan,Construction/Upgrading works of Bramhanagar Derichowk - Panisaradhap Road,1381012.3,Works,NCB,In-Progress
IDO/CHT/W/NCB/78/078-79,Infrastructure Development Office Chitwan,Construction/Upgrading of Derichowk Purva Keshav Pathak Chowk Road,1725372.6,Works,NCB,In-Progress
IDO/CHT/W/NCB/79/078-79,Infrastructure Development Office Chitwan,"Construction/Upgrading of Sultana to Majui Road,",1731645.8,Works,NCB,In-Progress
IDO/CHT/W/NCB/81/078-79,Infrastructure Development Office Chitwan,Construction/Upgrading works from Chhatra Subedi Home to South Kul Prasad Bhusal Home to South,1767988.71,Works,NCB,In-Progress
IDO/CHT/W/NCB/80/078-79,Infrastructure Development Office Chitwan,Construction/Upgrading works from Dinesh Pudasaini Home to Goma Bhujel home to Rapti Dyke,1708379.1,Works,NCB,In-Progress
IDO/CHT/W/NCB/62/078-79,Infrastructure Development Office Chitwan,Construction/Upgrading works of Jalbire - Yakrang - Chanaute Dhungre Road,4929183.94,Works,NCB,In-Progress
IDO/CHT/W/NCB/63/078-79,Infrastructure Development Office Chitwan,Jagatpur-Parbatipur-mildada-Rampur-Gautambuddha Rangasala-Sibhaghat Road (Parbatipur-Mildada Section),34532621.21,Works,NCB,Completed
IDO/CHT/W/NCB/06/078-79,Infrastructure Development Office Chitwan,"Construction/Upgrading works of Kari Chaudhary's Home to Kathepul and Marala Chaudhary, Lamichhane home to Khola Road",1268262.08,Works,NCB,In-Progress
UDBO/ILAM/W/NCB/06/076-077,"Urban Development and Building Office, Ilam","Construction of Community Building Miklajung-5, Pancthar",17514779.75,Works,NCB,Completed
IDO/CHT/W/NCB/139/078-79,Infrastructure Development Office Chitwan,Construction/Upgrading of road from Chaukitar - Garkha – Dungukhola,6804138.96,Works,NCB,In-Progress
IDO/CHT/W/NCB/138/078-79,Infrastructure Development Office Chitwan,Hakim Chowk-Dhare Chowk-Makhan Chowk-Ashok Chowk-Pandey Ghumti- Diary Chowk-Sitamai Road,68543628.92,Works,NCB,In-Progress
IDO/CHT/W/NCB/65/078-79,Infrastructure Development Office Chitwan,Construction of Rigdi Khola Bridge,38811695.01,Works,NCB,In-Progress
UDBO/ILAM/W/NCB/06/075-076,"Urban Development and Building Office, Ilam",Construction of coverd hall building at DCC premises,14892262.2,Works,NCB,In-Progress
IDO/CHT/W/NCB/79/077-78,Infrastructure Development Office Chitwan,Hattidhap Surkhandi Thakuri Bhanjyang Kaanda Kaminchuli Jane Bato Sadak,184082853.8,Works,NCB,In-Progress
IDO/CHT/W/NCB/78/077-78,Infrastructure Development Office Chitwan,Purbi Chitwan Ring Road,32186153.29,Works,NCB,In-Progress
IDO/CHT/W/NCB/120/078-79,Infrastructure Development Office Chitwan,Construction and Upgrading Work of Puspalal lal Pradesh Chakrapath (Adamghat- Manahari Road project),172991453.69,Works,NCB,In-Progress
35-BHR/2078/079/W/NCB/106,Bharatpur Metropolitian City Office,Blacktopped Road Construction at Golaghat dekhi wildlife resort ra sisabaas jane pitch baato,3938545.32,Works,NCB,Completed
IDO/CHT/W/NCB/131/078-79,Infrastructure Development Office Chitwan,Construction/Upgrading Work of Uttarakhanda Road,7787666.58,Works,NCB,In-Progress
