source_file,total_records,federal_count,provincial_count,local_count,unknown_count,output_files
/home/suchita/Desktop/Arranged data/contract_records.csv,2650,34,548,1039,1519,/home/suchita/Desktop/Arranged data/Final Data/Federal/contract_records_federal.csv | /home/suchita/Desktop/Arranged data/Final Data/Local/contract_records_local.csv | /home/suchita/Desktop/Arranged data/Final Data/Provincial/Koshi/contract_records_koshi.csv | /home/suchita/Desktop/Arranged data/Final Data/Provincial/Gandaki/contract_records_gandaki.csv | /home/suchita/Desktop/Arranged data/Final Data/Provincial/Lumbini/contract_records_lumbini.csv | /home/suchita/Desktop/Arranged data/Final Data/Unknown/contract_records_unknown.csv
/home/suchita/Desktop/Arranged data/extracted_tables/page_36_table_1.csv,5,0,0,0,5,/home/suchita/Desktop/Arranged data/Final Data/Unknown/page_36_table_1_unknown.csv
/home/suchita/Desktop/Arranged data/extracted_tables/page_37_table_1.csv,5,0,0,0,5,/home/suchita/Desktop/Arranged data/Final Data/Unknown/page_37_table_1_unknown.csv
/home/suchita/Desktop/Arranged data/extracted_tables/page_39_table_1.csv,5,0,0,0,5,/home/suchita/Desktop/Arranged data/Final Data/Unknown/page_39_table_1_unknown.csv
/home/suchita/Desktop/Arranged data/extracted_tables/page_4_table_2.csv,2,0,0,0,2,/home/suchita/Desktop/Arranged data/Final Data/Unknown/page_4_table_2_unknown.csv
/home/suchita/Desktop/Arranged data/extracted_tables/page_5_table_1.csv,8,0,0,0,8,/home/suchita/Desktop/Arranged data/Final Data/Unknown/page_5_table_1_unknown.csv
/home/suchita/Desktop/Arranged data/tables/source-book_kzajtb9_page10_table2.csv,1,0,0,0,1,/home/suchita/Desktop/Arranged data/Final Data/Unknown/source-book_kzajtb9_page10_table2_unknown.csv
/home/suchita/Desktop/Arranged data/tables/source-book_kzajtb9_page10_table3.csv,1,0,0,0,1,/home/suchita/Desktop/Arranged data/Final Data/Unknown/source-book_kzajtb9_page10_table3_unknown.csv
/home/suchita/Desktop/Arranged data/tables/source-book_kzajtb9_page10_table4.csv,1,0,0,0,1,/home/suchita/Desktop/Arranged data/Final Data/Unknown/source-book_kzajtb9_page10_table4_unknown.csv
/home/suchita/Desktop/Arranged data/tables/source-book_kzajtb9_page10_table5.csv,1,0,0,0,1,/home/suchita/Desktop/Arranged data/Final Data/Unknown/source-book_kzajtb9_page10_table5_unknown.csv
/home/suchita/Desktop/Arranged data/tables/source-book_kzajtb9_page11_table1.csv,17,0,0,0,17,/home/suchita/Desktop/Arranged data/Final Data/Unknown/source-book_kzajtb9_page11_table1_unknown.csv
/home/suchita/Desktop/Arranged data/tables/source-book_kzajtb9_page11_table2.csv,1,0,0,0,1,/home/suchita/Desktop/Arranged data/Final Data/Unknown/source-book_kzajtb9_page11_table2_unknown.csv
/home/suchita/Desktop/Arranged data/tables/source-book_kzajtb9_page11_table3.csv,1,0,0,0,1,/home/suchita/Desktop/Arranged data/Final Data/Unknown/source-book_kzajtb9_page11_table3_unknown.csv
/home/suchita/Desktop/Arranged data/tables/source-book_kzajtb9_page12_table2.csv,1,0,0,0,1,/home/suchita/Desktop/Arranged data/Final Data/Unknown/source-book_kzajtb9_page12_table2_unknown.csv
/home/suchita/Desktop/Arranged data/tables/source-book_kzajtb9_page12_table3.csv,1,0,0,0,1,/home/suchita/Desktop/Arranged data/Final Data/Unknown/source-book_kzajtb9_page12_table3_unknown.csv
/home/suchita/Desktop/Arranged data/tables/source-book_kzajtb9_page13_table2.csv,1,0,0,0,1,/home/suchita/Desktop/Arranged data/Final Data/Unknown/source-book_kzajtb9_page13_table2_unknown.csv
/home/suchita/Desktop/Arranged data/tables/source-book_kzajtb9_page13_table3.csv,1,0,0,0,1,/home/suchita/Desktop/Arranged data/Final Data/Unknown/source-book_kzajtb9_page13_table3_unknown.csv
/home/suchita/Desktop/Arranged data/tables/source-book_kzajtb9_page13_table4.csv,1,0,0,0,1,/home/suchita/Desktop/Arranged data/Final Data/Unknown/source-book_kzajtb9_page13_table4_unknown.csv
