source_file,total_records,federal_count,provincial_count,local_count,unknown_count,output_files
/home/suchita/Desktop/Arranged data/contract_records.csv,2650,34,548,1039,1519,/home/suchita/Desktop/Final Arranged Data/Federal/contract_records_federal.csv | /home/suchita/Desktop/Final Arranged Data/Local/contract_records_local.csv | /home/suchita/Desktop/Final Arranged Data/Provincial/Koshi/contract_records_koshi.csv | /home/suchita/Desktop/Final Arranged Data/Provincial/Gandaki/contract_records_gandaki.csv | /home/suchita/Desktop/Final Arranged Data/Provincial/Lumbini/contract_records_lumbini.csv | /home/suchita/Desktop/Final Arranged Data/Unknown/contract_records_unknown.csv
/home/suchita/Desktop/Arranged data/extracted_tables/page_100_table_1.csv,7,2,0,0,5,/home/suchita/Desktop/Final Arranged Data/Federal/page_100_table_1_federal.csv | /home/suchita/Desktop/Final Arranged Data/Unknown/page_100_table_1_unknown.csv
/home/suchita/Desktop/Arranged data/extracted_tables/page_101_table_1.csv,10,2,0,0,8,/home/suchita/Desktop/Final Arranged Data/Federal/page_101_table_1_federal.csv | /home/suchita/Desktop/Final Arranged Data/Unknown/page_101_table_1_unknown.csv
/home/suchita/Desktop/Arranged data/extracted_tables/page_102_table_1.csv,8,2,0,0,6,/home/suchita/Desktop/Final Arranged Data/Federal/page_102_table_1_federal.csv | /home/suchita/Desktop/Final Arranged Data/Unknown/page_102_table_1_unknown.csv
/home/suchita/Desktop/Arranged data/extracted_tables/page_103_table_1.csv,10,3,0,0,7,/home/suchita/Desktop/Final Arranged Data/Federal/page_103_table_1_federal.csv | /home/suchita/Desktop/Final Arranged Data/Unknown/page_103_table_1_unknown.csv
/home/suchita/Desktop/Arranged data/extracted_tables/page_104_table_1.csv,12,4,0,0,8,/home/suchita/Desktop/Final Arranged Data/Federal/page_104_table_1_federal.csv | /home/suchita/Desktop/Final Arranged Data/Unknown/page_104_table_1_unknown.csv
/home/suchita/Desktop/Arranged data/extracted_tables/page_105_table_1.csv,18,5,0,0,13,/home/suchita/Desktop/Final Arranged Data/Federal/page_105_table_1_federal.csv | /home/suchita/Desktop/Final Arranged Data/Unknown/page_105_table_1_unknown.csv
/home/suchita/Desktop/Arranged data/extracted_tables/page_106_table_1.csv,6,1,0,0,5,/home/suchita/Desktop/Final Arranged Data/Federal/page_106_table_1_federal.csv | /home/suchita/Desktop/Final Arranged Data/Unknown/page_106_table_1_unknown.csv
/home/suchita/Desktop/Arranged data/extracted_tables/page_107_table_1.csv,9,2,0,0,7,/home/suchita/Desktop/Final Arranged Data/Federal/page_107_table_1_federal.csv | /home/suchita/Desktop/Final Arranged Data/Unknown/page_107_table_1_unknown.csv
/home/suchita/Desktop/Arranged data/extracted_tables/page_108_table_1.csv,6,1,0,0,5,/home/suchita/Desktop/Final Arranged Data/Federal/page_108_table_1_federal.csv | /home/suchita/Desktop/Final Arranged Data/Unknown/page_108_table_1_unknown.csv
/home/suchita/Desktop/Arranged data/extracted_tables/page_109_table_1.csv,10,2,0,0,8,/home/suchita/Desktop/Final Arranged Data/Federal/page_109_table_1_federal.csv | /home/suchita/Desktop/Final Arranged Data/Unknown/page_109_table_1_unknown.csv
