contract_id,pe_name,contract_name,contract_amount,procurement_category,procurement_method,status
LAL-14-2077/078,LALJHADI RURAL MUNICIPALITY,Construction of Shankarpur Hospital Building,60502650.12,Works,NCB,In-Progress
30-BMC/2078/079/W/NCB/88,Bharatpur Metropolitian City Office,"Road Construction at different wards of Bharatpur Metropolitan City (Ward 11,12,15,16,23)",35000000.00,Works,NCB,Completed
42-BMC/2078/079/W/NCB/123,Bharatpur Metropolitian City Office,"Blacktopped Road Construction from Mitralal Adhikari's House to Indrachowk, BMC-16",4501900.14,Works,NCB,Completed
IDO/CHT/W/NCB/05/078-79,Infrastructure Development Office Chitwan,Construction/Upgrading works Under Package-05,3657654.18,Works,NCB,In-Progress
IDO/CHT/W/NCB/07/078-79,Infrastructure Development Office Chitwan,Construction/Upgrading works of Pandechowk - Manakamana Chowk - Simara Road,2053840.40,Works,NCB,In-Progress
IDO/CHT/W/NCB/08/078-79,Infrastructure Development Office Chitwan,Construction/Upgrading works Under Package-08,2640321.83,Works,NCB,In-Progress
IDO/CHT/W/NCB/09/078-79,Infrastructure Development Office Chitwan,Construction/Upgrading works of Bramhanagar Derichowk - Panisaradhap Road,1381012.30,Works,NCB,In-Progress
IDO/CHT/W/NCB/78/078-79,Infrastructure Development Office Chitwan,Construction/Upgrading of Derichowk Purva Keshav Pathak Chowk Road,1725372.60,Works,NCB,In-Progress
IDO/CHT/W/NCB/79/078-79,Infrastructure Development Office Chitwan,"Construction/Upgrading of Sultana to Majui Road,",1731645.80,Works,NCB,In-Progress
PUN/MUN/078/079-28,Punarbas Municipality Office,"Ansubarmabasti plot no -19 to kalika mandir, Plot no 24 to mahendrabasti , 6no plot to 19 no plot Road maintinance , Ward no 1",1206388.00,Works,Sealed Quotation,Completed
IDO/CHT/W/NCB/81/078-79,Infrastructure Development Office Chitwan,Construction/Upgrading works from Chhatra Subedi Home to South Kul Prasad Bhusal Home to South,1767988.71,Works,NCB,In-Progress
IDO/CHT/W/NCB/80/078-79,Infrastructure Development Office Chitwan,Construction/Upgrading works from Dinesh Pudasaini Home to Goma Bhujel home to Rapti Dyke,1708379.10,Works,NCB,In-Progress
PUN/MUN/078/079-29,Punarbas Municipality Office,Rastriya Adharbhut School to Khet jane sadak ward no 7,1405946.00,Works,Sealed Quotation,In-Progress
IDO/CHT/W/NCB/62/078-79,Infrastructure Development Office Chitwan,Construction/Upgrading works of Jalbire - Yakrang - Chanaute Dhungre Road,4929183.94,Works,NCB,In-Progress
PUN/MUN/078/079-30,Punarbas Municipality Office,Sitabasti Khagaun kirtipur - masanghat Road Maintinance ward no 9,1373797.05,Works,Sealed Quotation,In-Progress
PUN/MUN/078/079-31,Punarbas Municipality Office,Medical Tol Road maintinance Ward no 10,1218127.57,Works,Sealed Quotation,Completed
TB/PUN/MUN/078/079-26,Punarbas Municipality Office,Procurement of Fabricated Steel Parts for Kursha Nala-09 and Lamaiya Nala-10 Trail Bridge,3070984.00,Works,NCB,In-Progress
IDO/CHT/W/NCB/63/078-79,Infrastructure Development Office Chitwan,Jagatpur-Parbatipur-mildada-Rampur-Gautambuddha Rangasala-Sibhaghat Road (Parbatipur-Mildada Section),34532621.21,Works,NCB,Completed
23/KRM/BUILDING/2078/079,Kamal Rural Municipality,"Construction of ward office building, ward no. 2",8982741.58,Works,NCB,In-Progress
IDO/CHT/W/NCB/06/078-79,Infrastructure Development Office Chitwan,"Construction/Upgrading works of Kari Chaudhary's Home to Kathepul and Marala Chaudhary, Lamichhane home to Khola Road",1268262.08,Works,NCB,In-Progress
UDBO/ILAM/W/NCB/06/076-077,"Urban Development and Building Office, Ilam","Construction of Community Building Miklajung-5, Pancthar",17514779.75,Works,NCB,Completed
IDO/CHT/W/NCB/139/078-79,Infrastructure Development Office Chitwan,Construction/Upgrading of road from Chaukitar - Garkha – Dungukhola,6804138.96,Works,NCB,In-Progress
