PublicFinance,,,,,,,,,,,,,,,,,,,,
FiscalYear(BS),Total Revenue,Total Tax,Customs,Excise,Income Tax,VAT,Other Tax,Total  Non Tax,Total Expenditure,Recurrent Expenditure,Capital         Expenditure,Financing,Total Outstanding Debt,Outstanding Domestic Debt,Outstanding Foreign Debt,Domestic Borrowing (Yearly),Total Foreign Financing,Foreign Grant,Foreign Loan,Total Public Debt
,,,,,,,,,,,,,,,,,,,,
,,94455.5,,,,,,11434.2,,95241.5,19171.8,26463.2,243323.9,118090.2,125233.8,,,1820,12360.8,
2079/80,95715.37,86561.96,,,,,,9172.03,142956.4,99150.67,23462.48,19519.54,229543.69,112518.82,117024.87,,,2300.89,12304.76,
2078/79,106634.65,98433.2,24178.11,16677.77,26008.54,31427.91,124.09,8201.45,131000.08,95431.68,21621.31,13947.1,201329.64,98744.93,102584.71,23130.3,14793.43,2414.9,13594.21,
2077/78,93588.79,87011.36,20139,13382.47,23054.51,28200.18,2235.2,6578.13,119667.6,84621.73,22883.61,12162.25,173763.69,80294.17,93469.52,22400.91,15765.87,2679.16,13086.71,
2076/77,79374.66,70005.55,13799.03,10062.26,21968.95,22407.05,1768.19,9369.12,109133.31,78429.14,18914.01,11790.04,143340.25,61373.54,81966.71,19490.28,19221.5,1919.18,17302.32,
2075/76,82963.4,73860.42,15536.6,12185.82,19428.33,24161.26,2548.39,9102.97,111045.68,71641.76,24156.25,15247.67,104815.67,45323.05,59492.62,9638.2,12398.51,2958.4,9440.08,
2074/75,72671.73,65949.13,13778.53,10257.91,15990.05,20679.39,5243.26,6722.6,108727.98,69691.96,27071.37,11964.66,91731.56,39116.15,52615.41,14475.09,13361.92,3471.5,9890.46,
2073/74,60918,55386.65,11318.4,8467.84,14823.61,16031.66,4107.13,5531.34,83724.78,51861.61,20874.83,10988.33,69768.94,28371.06,41397.88,8833.77,8994.5,3193.2,5801.3,
2072/73,48275.02,42143.7,8185.7,6570.56,11713.12,12105.51,3568.81,6131.32,60103.19,37098.68,12235.04,10769.46,62779.18,23902.9,38876.28,8777.45,7625.2,3247.8,4377.4,
2071/72,40584.64,35594.29,7467.1,5352.5,8845.91,11237.74,2691.04,4990.35,53134,33927.8,8875.47,10330.4,54491.86,20165.68,34326.18,4242.3,6563.84,3637.42,2926.42,
2070/71,35684,31180,6788,4539,7792,10096,1965,4504,43505.5,30353,6669.4,6483.1,55350.77,20668.86,34681.9,1998.3,5509.26,3396.02,2113.24,
2069/70,29664.2,25961,5689,3666,6702,8351,1553,3703.2,35863.8,24745.5,5459.8,5658.5,55378.87,22034.72,33344.15,1904.29,5180.93,3522.98,1657.95,
2068/69,24437.3,21172.18,4339.06,3001.61,5130.3,7093.04,1608.17,3265.12,33916.8,24346,5139.1,4431.7,52327.84,21399.13,30928.71,3641.9,5651.11,4081.03,1570.08,
2067/68,19837.59,17722.72,3571.35,2633.85,4135.03,6166.36,1216.13,2114.87,29536.3,21016.8,4732.8,3786.7,44375.75,18420.57,25955.18,4251.6,5977.14,4592.22,1384.92,
2066/67,17799.09,15978.53,3521.89,2414.76,3382.13,5492.09,1167.66,1820.56,25968.91,15101.91,9023.77,1843.23,40430.3,14805.97,25624.33,2991.4,4976.94,3854.6,1122.34,
2065/66,14347.45,11705.19,2679.29,1622.09,2345.73,3970.09,1087.99,2642.26,21966.2,12773.89,7308.9,1883.41,40271.45,12567.41,27704.04,1841.71,3635.17,2638.28,996.89,
2064/65,10762.25,8515.55,2106.24,1118.96,1622.33,2981.57,686.45,2246.7,16134.99,9144.69,5351.61,1638.69,36600.49,11603.95,24996.54,2049.64,2930.06,2032.07,897.99,
2063/64,8771.21,7112.67,1670.76,934.32,1397.91,2609.56,500.12,1658.54,13360.46,7712.24,3972.99,1675.23,32040.49,10377.6,21662.89,1789.23,2585.44,1580.08,1005.35,
