"District","Contractor"
"Achham","Banshika Nirman  Sea, Ward No -5, Mangalsen"
"Achham","Banshika Nirman Sewa"
"Achham","Laxmi Construction"
"Achham","Swar Construction Pvt. Ltd."
"Achham","THAPA NIRMAN SEWA"
"Arghakhanchi","A.S. Belbase Builders Pvt.Ltd."
"Arghakhanchi","Bhusal Nirman Sewa"
"Arghakhanchi","Jalkanda Construction Pvt. Ltd."
"Arghakhanchi","Kabi Ram Khanal"
"Arghakhanchi","Kamal Nirman Sewa, Arghakhanchi"
"Arghakhanchi","Khanal Brothers Construction."
"Arghakhanchi","Khuma Pandey"
"Arghakhanchi","Krishna Bahadur Khatri"
"Arghakhanchi","Krishna Khatri"
"Arghakhanchi","Lekhnath Bhusal"
"Arghakhanchi","Lil Bahadur Kumal"
"Arghakhanchi","M/S Motidan- PTR Adhikari J.V."
"Arghakhanchi","M/S Motidan- PTR Adhikari- Rajeshwori J.V."
"Arghakhanchi","M/S Paudel Construction"
"Arghakhanchi","M/S Pratibha-Sagar J/V"
"Arghakhanchi","M/S Rautaha- AEBC- Amar J.V."
"Arghakhanchi","M/S World Wide- PTR Adhikari- Parbatiya J.V."
"Arghakhanchi","M/s Panini Nirman Sewa"
"Arghakhanchi","M/s Sahid Nirman Sewa"
"Arghakhanchi","M/s Samjhana Nirman Sewa"
"Arghakhanchi","Narayan Acharya"
"Arghakhanchi","Pandey Nirman Sewa"
"Arghakhanchi","Poudel Construction"
"Arghakhanchi","Poudel S Construction"
"Arghakhanchi","Pratikshya Nirman Sewa"
"Arghakhanchi","Prem Thapa"
"Arghakhanchi","Sagar Nirman Sewa"
"Arghakhanchi","Sagar Nirman Sewa, Arghakhanchi"
"Arghakhanchi","Shahid Nirman Sewa"
"Arghakhanchi","Shahidin MIya"
"Arghakhanchi","Yam Bahadur Khanal"
"Arghakhanchi","Yubaraj Banjade"
"Baglung","Chandrakot Construction"
"Baglung","M/S B.M.A/Konda JV"
"Baglung","M/S Sandipa Nirman Sewa and Investment Ramrekha, Baglung --1"
"Baglung","New Gorkha Manankamana Construction,Baglung"
"Baglung","Shree Gorkha Manakamana  Construction, Ba.Na-01,Baglung"
"Baitadi","3255490.3"
"Baitadi","K.N Builders"
"Baitadi","K.N. Builders"
"Baitadi","K.N.Builders"
"Baitadi","Nilam Nirman Sewa Patan 06,Baitadi"
"Baitadi","Royal Putha Nirman Sewa Pvt.Ltd."
"Baitadi","S.K Nirman SEwa Pvt.Ltd Patan 06,Baitadi"
"Baitadi","Shree Krishna Construction"
"Bajhang","Bajarngabali Nirman Sewa"
"Bajhang","Chandrodaya Nirman Sewa"
"Bajhang","PK Construction"
"Bajhang","Thodung-Jagriti JV"
"Bajura","Om Shiva Construction and Order Suppliers"
"Bajura","RAJENDRA D.B.J/V"
"Bajura","Rishi Gauri Nirman & Suppliers"
"Bajura","Rishi Gauri Nirman and Suppliers"
"Baneshwor","Himshikhar Hira Construction Pvt Ltd"
"Banke","Aayush Nirman Sewa"
"Banke","Aditya Nirman Sewa"
"Banke","B.A Nirman Sewa"
"Banke","B.L.T. Construction Pvt. Ltd."
"Banke","B.L.T./Jaya Bageshwori/Sisne JV"
"Banke","BLT Construction PVt Ltd"
"Banke","BLT Construction Pvt Ltd"
"Banke","BLT Construction Pvt Ltd,"
"Banke","Bageswori humpipe and bidhut pole udhyog"
"Banke","Bhairab-Narayanam JV"
"Banke","Galva-Narayanum-Majdur  JV"
"Banke","Gangotri Devi Nirman Sewa Nepalgunj-8"
"Banke","Gaura-Nepal  Mega-Birendra Ammar J.V."
"Banke","Grand Design And Construction Pvt.Ltd."
"Banke","Hamal Builders"
"Banke","Indradevi-Hari JV"
"Banke","Jaya Bageshwari- Nepal Mega JV"
"Banke","Kalika Nirman Sewa"
"Banke","Karkibandhu/ Rubina/ BLT JV"
"Banke","Keshav Shah / Shree krishna / Ujjwol JV"
"Banke","Keshav Shah Construction Sewa Pvt.Ltd."
"Banke","Keshav shah/ shree krishna/ nishan JV"
"Banke","Khadka Krishna-Narayanam-Bangalamukhi JV"
"Banke","Khadka Krishna/Babiro JV"
"Banke","Krishnasar construction pvt ltd"
"Banke","M.P. Construction Company Pvt Ltd"
"Banke","M/S Himalaya Cycle Traders"
"Banke","M/S Himalaya Cycle Traders, Nepalgunj,06 Banke"
"Banke","Mahalaxmi Narayanam JV"
"Banke","Muktinath- Jaya Bageshwori-MP JV"
"Banke","Muktinath-M.P. Construction JV"
"Banke","NS Bayan BSeven JV"
"Banke","Narayanam Nirman Sewa Pvt.Ltd."
"Banke","P.S. Nirman Sewa"
"Banke","Raj Builders"
"Banke","Sapana - Jaya Bageshwari Mata JV"
"Banke","Saurabh construction"
"Banke","Shiva Sundar Nirman Sewa"
"Banke","Sirjana medicine suppliers"
"Banke","Srijana medicine suppliers"
"Banke","Tilak Nirman Sewa"
"Banke","bajranga nirman sewa"
"Banke","narayanam nirman sewa pvt ltd"
"Banke","samudayik nirman sewa"
"Banke","ujyalo nirman sewa"
"Bara","Bhagwati Steels Industries Pvt. Ltd"
"Bara","Janaki Construction Pvt. Ltd."
"Bardiya","BARDIYA BLACK BUCK-JAY BAGESHWORI JV"
"Bardiya","Bageshwori Nirman Sewa"
"Bardiya","Baghiyan trading and suppliers"
"Bardiya","Bhada Construction"
"Bardiya","Bhandari Nirman Sewa"
"Bardiya","Birendra Amar Nirman Sewa"
"Bardiya","Chitra Construction"
"Bardiya","Chitra construction"
"Bardiya","Deep order and suppliers"
"Bardiya","Gulliver-Kutumba-Bhuwaneshwori J.V."
"Bardiya","Jaya Thakurbaba Nirman Sewa"
"Bardiya","Krishnasar Nirman sewa"
"Bardiya","Kutumba &Tulasi JV"
"Bardiya","L.D. Construction ( Purshottam Construction)"
"Bardiya","Laxmi Construction"
"Bardiya","M/S Kutumba/Tulsi JV"
"Bardiya","Mahadev-Khimti-Anjana-Yadav JV, Gulariya"
"Bardiya","Mahima Construction"
"Bardiya","NS-Bayan-Khumchandra JV"
"Bardiya","Nandadevi Nirman Sewa"
"Bardiya","New S.S. Construction"
"Bardiya","Niraula Builders"
"Bardiya","Noori Construction"
"Bardiya","OM SATYA SAI-BARDIYA BLACK BUCK-JAY BAGESHWORI JV"
"Bardiya","Om Nirman Sewa"
"Bardiya","RS Nirman Sewa"
"Bardiya","Rajbanshi Nirman Sewa"
"Bardiya","Royal-Black Buck JV"
"Bardiya","Royal/ Black Buck/ Jay Bageshwori Jv"
"Bardiya","Shiva Construction"
"Bardiya","Shree Lali Gurans Nirman Sewa"
"Bardiya","Timilsina Builders"
"Bardiya","Tulasi Nirman Sewa"
"Bardiya","Tulsi Nirman Sewa"
"Bardiya","Udaya Dip Sayukta Nirman Sewa Pvt. Ltd."
"Bhaktapur","Aislinn Construction"
