fiscal_year,source_level,target_level,target_name,grant_type,amount
2078/79,Federal,Province,Koshi Province,Equalization,15000000000.0
2078/79,Federal,Province,Koshi Province,Conditional,7000000000.0
2078/79,Federal,Province,Koshi Province,Special,7000000000.0
2078/79,Federal,Province,Koshi Province,Complementary,1000000000.0
2078/79,Federal,Province,Madhesh Province,Equalization,9000000000.0
2078/79,Federal,Province,Madhesh Province,Conditional,5000000000.0
2078/79,Federal,Province,Madhesh Province,Special,6000000000.0
2078/79,Federal,Province,Madhesh Province,Complementary,4000000000.0
2078/79,Federal,Province,Bagmati Province,Equalization,13000000000.0
2078/79,Federal,Province,Bagmati Province,Conditional,4000000000.0
2078/79,Federal,Province,Bagmati Province,Special,2000000000.0
2078/79,Federal,Province,Bagmati Province,Complementary,4000000000.0
2078/79,Federal,Province,Gandaki Province,Equalization,9000000000.0
2078/79,Federal,Province,Gandaki Province,Conditional,4000000000.0
2078/79,Federal,Province,Gandaki Province,Special,2000000000.0
2078/79,Federal,Province,Gandaki Province,Complementary,1000000000.0
2078/79,Federal,Province,Lumbini Province,Equalization,7000000000.0
2078/79,Federal,Province,Lumbini Province,Conditional,4000000000.0
2078/79,Federal,Province,Lumbini Province,Special,5000000000.0
2078/79,Federal,Province,Lumbini Province,Complementary,3000000000.0
2078/79,Federal,Province,Karnali Province,Equalization,7000000000.0
2078/79,Federal,Province,Karnali Province,Conditional,10000000000.0
2078/79,Federal,Province,Karnali Province,Special,4000000000.0
2078/79,Federal,Province,Karnali Province,Complementary,3000000000.0
2078/79,Federal,Province,Sudurpashchim Province,Equalization,7000000000.0
2078/79,Federal,Province,Sudurpashchim Province,Conditional,8000000000.0
2078/79,Federal,Province,Sudurpashchim Province,Special,2000000000.0
2078/79,Federal,Province,Sudurpashchim Province,Complementary,1000000000.0
2078/79,Federal,Local,Kathmandu Metropolitan City,Equalization,1420000000.0
2078/79,Federal,Local,Kathmandu Metropolitan City,Conditional,1467000000.0
2078/79,Federal,Local,Kathmandu Metropolitan City,Special,382000000.0
2078/79,Federal,Local,Kathmandu Metropolitan City,Complementary,455000000.0
2078/79,Federal,Local,Lalitpur Metropolitan City,Equalization,1616000000.0
2078/79,Federal,Local,Lalitpur Metropolitan City,Conditional,1956000000.0
2078/79,Federal,Local,Lalitpur Metropolitan City,Special,194000000.0
2078/79,Federal,Local,Lalitpur Metropolitan City,Complementary,191000000.0
2078/79,Federal,Local,Pokhara Metropolitan City,Equalization,884000000.0
2078/79,Federal,Local,Pokhara Metropolitan City,Conditional,917000000.0
2078/79,Federal,Local,Pokhara Metropolitan City,Special,306000000.0
2078/79,Federal,Local,Pokhara Metropolitan City,Complementary,332000000.0
