Project, District, Amount_Thousand_NPR
"Mukhu Rural and Tourism Office", Kaski, 1054
"Mukhu Military and Military Police Station", Gorkha, 2000
"Mukherjee Police Station", Kaski, 7500
"Makhu Road and Railway Station", Gorkha, 1000
"Mukherjee Police Station", Gorkha, 1500
"Mukhru Police Station", Gorkha, 2000
"Roller Trek Manman", Kaski, 2000
"Ghanraku Deurali Malu De Padmag", Kaski, 2000
"Machhapuchhu Re Savkat Trail (Loramp-Charmasa Section)", Kaski, 2000
"K3 Trekking (Tachantang-Karpadu Rd-Kori-Kapuru Rd-Masles) Madi Rural Municipality", Kaski, 2000
"Round Dewa Bhru Dewa Bikash Arojana", Kaski, 3000
"Jarkot to Pokhara-12", Kaski, 2500
"Matmang Dechkh Skarku to Matmang Dechkh Skarku to Ratnagiri", Manang, 2000
"Gorkha-Tinhan-u Srangja-Palpa-Gachulma-Rthu-Rolpa Magar Cultural Heritage Trail (Gandaki Province)", Gorkha, 500
"Dharamsala Badhu Vihar Awas Manman Pokhara -3", Kaski, 2000
"Kripdu Banda-Roro-Charnge-Taure-Vlasothar-Matura Tal-Thullekh (K3) Trail", Kaski, 2000
"Madda Bhamalko Old Path Trail Manman", Kaski, 2000
"Begnasthal Road Track Manmanaan", Kaski, 5000
"Machuktinath Satsangrasram Pujadhar Manmanaan", Kaski, 4000
"Namu Tadham Dhamma Parna Sthal Manmanaan and Mabkas Annapuna 4", Kaski, 4000
"Parna and Industries Office", Kaski, 1000
"Parna and Industries Karakal", Kaski, 1000
"Partana and Industry Karakal", Kaski, 1500
"Partana and Industry Karakal", Kaski, 1500
"Partana and Industry KARALAR", Kaski, 1000
"Land and Industries Office", Kaski, 1000
"Land and Industries Office", Kaski, 1000
"OFFICE OF LAND AND INDUSTRIES", Kaski, 1000
"Road and Industry Office", Kaski, 1000
"Road and Industry Office", Kaski, 700
"Road and Industry Office", Kaski, 500
"Tourism Medicine Seti River in the White Ganga Bathing Place Manman, Pokhara 19", Kaski, 500
"Tourism and Industry Office", Kaski, 500
"Tourism and Industry Office", Kaski, 500
"Tourism and Industry Office", Kaski, 500
"Tourism and Industry Office", Kaski, 500
"Tourism and Industry Office", Kaski, 500
"Tourism and Industry Office", Kaski, 500
"Tourism and Industry Office", Kaski, 500
"Tourism and Industry Office", Kaski, 500
"Tourism and Industry Office", Kaski, 500
"Tourism and Industry Office", Kaski, 500
"Tourism and Industry Office", Kaski, 500
"Tourism and Industry Office", Kaski, 500
"Tourism and Industry Office", Kaski, 500
"Tourism and Industry Office", Kaski, 500
"Tourism and Industry Office", Kaski, 500
"Tourism and Industry Office", Kaski, 500
"Tourism and Industry Office", Kaski, 500
"Tourism and Industry Office", Kaski, 500
"Tourism and Industry Office", Kaski, 500
"Tourism and Industry Office", Kaski, 500
"Tourism and Industry Office", Kaski, 500
"Tourism and Industry Office", Kaski, 500
"Tourism and Industry Office", Kaski, 500
"Tourism and Industry Office", Kaski, 500
"Tourism and Industry Office", Kaski, 500
"Tourism and Industry Office", Kaski, 500
"Tourism and Industry Office", Kaski, 500
"Tourism and Industry Office", Kaski, 500
"Tourism and Industry Office", Kaski, 500
"Tourism and Industry Office", Kaski, 500
"Tourism and Industry Office", Kaski, 500
"Tourism and Industry Office", Kaski, 500
"Tourism and Industry Office", Kaski, 500
"Tourism and Industry Office", Kaski, 500
"Tourism and Industry Office", Kaski, 500
"Tourism and Industry Office", Kaski, 500
"Tourism and Industry Office", Kaski, 500
"Tourism and Industry Office", Kaski, 500
"Tourism and Industry Office", Kaski, 500
"Tourism and Industry Office", Kaski, 500
"Tourism and Industry Office", Kaski, 500
"Tourism and Industry Office", Kaski, 500
"Tourism and Industry Office", Kaski, 500
"Tourism and Industry Office", Kaski, 500
"Tourism and Industry Office", Kaski, 500
"Tourism and Industry Office", Kaski, 500
"Tourism and Industry Office", Kaski, 500
"Tourism and Industry Office", Kaski, 500
"Tourism and Industry Office", Kaski, 500
"Tourism and Industry Office", Kaski, 500
"Tourism and Industry Office", Kaski, 500
"Tourism and Industry Office", Kaski, 500
"Tourism and Industry Office", Kaski, 500
"Tourism and Industry Office", Kaski, 500
"Tourism and Industry Office", Kaski, 500
"Tourism and Industry Office", Kaski, 500
"Tourism and Industry Office", Kaski, 500
"Tourism and Industry Office", Kaski, 500
"Tourism and Industry Office", Kaski, 500
"Tourism and Industry Office", Kaski, 500
"Tourism and Industry Office", Kaski, 500
"Tourism and Industry Office", Kaski, 500
