Local Level Name,Equalization,Conditional,Special,Complementary,Total Recurring,Total Capital,Grand Total
Total Local Levels,8896.80,21145.60,977.60,1006.46,27383.46,4643.00,32026.46
Taplejung (District),9920.00,19595.00,1342.00,1360.00,27767.00,4450.00,32217.00
Phungling Municipality,1469.00,3355.00,293.00,85.00,4426.00,776.00,5202.00
Aathrai Tribeni Rural Mun.,1000.00,2232.00,69.00,262.00,3013.00,550.00,3563.00
Phaktanglung Rural Mun.,1123.00,2194.00,207.00,91.00,3156.00,459.00,3615.00
Mikwakhola Rural Mun.,990.00,1430.00,47.00,193.00,2283.00,377.00,2660.00
Meringden Rural Mun.,1079.00,2021.00,310.00,113.00,2911.00,612.00,3523.00
Maiwakhola Rural Mun.,944.00,1791.00,68.00,139.00,2564.00,378.00,2942.00
Pathivara Yangwarak R.M.,1007.00,2033.00,235.00,390.00,2904.00,761.00,3665.00
Sidingwa Rural Mun.,1030.00,1901.00,0.00,0.00,2795.00,136.00,2931.00
Sirijangha Rural Mun.,1278.00,2638.00,113.00,87.00,3715.00,401.00,4116.00
Panchthar (District),8006.00,23054.00,656.00,885.00,28293.00,4308.00,32601.00
Phidim Municipality,1425.00,5206.00,0.00,370.00,5869.00,1132.00,7001.00
Kumayak Rural Mun.,838.00,2021.00,124.00,117.00,2629.00,471.00,3100.00
Tumbewa Rural Mun.,782.00,1958.00,50.00,52.00,2597.00,245.00,2842.00
Phalelung Rural Mun.,1027.00,2742.00,112.00,68.00,3572.00,377.00,3949.00
Phalgunanda Rural Mun.,1010.00,2933.00,90.00,65.00,3533.00,565.00,4098.00
Miklajung Rural Mun.,1010.00,2934.00,75.00,65.00,3775.00,309.00,4084.00
Yangwarak Rural Mun.,950.00,2375.00,155.00,56.00,2948.00,588.00,3536.00
Hilihang Rural Mun.,964.00,2885.00,50.00,92.00,3370.00,621.00,3991.00
Ilam (District),10998.00,26773.00,1107.00,1370.00,35391.00,4857.00,40248.00
Ilam Municipality,1479.00,4125.00,95.00,91.00,5198.00,592.00,5790.00
Deumai Municipality,1180.00,3054.00,0.00,81.00,4108.00,207.00,4315.00
Mai Municipality,1214.00,2444.00,0.00,158.00,3465.00,351.00,3816.00
Suryodaya Municipality,1634.00,4444.00,158.00,207.00,5676.00,767.00,6443.00
Chulachuli Rural Mun.,971.00,1785.00,127.00,87.00,2597.00,373.00,2970.00
Phakphokthum Rural Mun.,9.55,27.45,0.69,3.72,33.51,7.90,41.41
Maijogmai Rural Mun.,9.27,22.38,0.90,0.60,28.37,4.78,33.15
Mangsebung Rural Mun.,8.96,19.50,0.69,1.22,26.37,4.00,30.37
Rong Rural Mun.,9.02,20.99,3.95,1.05,29.95,5.06,35.01
Sandakpur Rural Mun.,8.40,18.89,1.04,0.87,25.27,3.93,29.20
Sankhuwasabha (District),110.70,203.69,11.46,18.61,297.23,47.23,344.46
Khandbari Municipality,16.19,39.93,0.00,1.00,48.32,8.80,57.12
Chainpur Municipality,14.79,30.41,0.62,2.31,44.18,3.95,48.13
Dharmadevi Municipality,11.57,19.84,0.00,1.22,30.94,1.69,32.63
Panchkhapan Municipality,11.16,19.54,3.69,1.22,30.50,5.11,35.61
Madi Municipality,10.37,20.28,0.00,2.70,29.18,4.17,33.35
Chichila Rural Mun.,7.22,10.47,3.27,1.39,17.54,4.81,22.35
Bhotkhola Rural Mun.,8.52,11.34,0.00,1.00,19.80,1.06,20.86
Makalu Rural Mun.,11.32,20.26,0.00,2.28,28.24,5.62,33.86
Sabhapokhari Rural Mun.,9.44,14.98,3.20,4.10,22.77,8.95,31.72
Silichong Rural Mun.,10.12,16.64,0.68,1.39,25.76,3.07,28.83
Tehrathum (District),51.10,146.46,6.06,6.70,183.17,27.15,210.32
Myanglung Municipality,9.18,21.37,0.00,0.00,29.12,1.43,30.55
Laligurans Municipality,8.01,26.43,1.65,1.00,32.22,4.87,37.09
Athrai Rural Mun.,9.51,34.96,0.00,2.38,41.16,5.69,46.85
Chhathar Rural Mun.,8.56,24.08,3.15,2.00,30.26,7.53,37.79
Phedap Rural Mun.,8.79,25.78,0.98,0.52,31.49,4.58,36.07
Menchayayem Rural Mun.,7.05,13.84,0.28,0.80,18.92,3.05,21.97
Dhankuta (District),67.09,204.86,12.99,10.75,238.37,57.32,295.69
Dhankuta Municipality,12.85,51.22,1.65,0.52,43.94,22.30,66.24
Pakhribas Municipality,9.31,30.71,0.75,3.17,31.31,12.63,43.94
Mahalaxmi Municipality,9.80,31.42,4.45,2.25,40.64,7.28,47.92
Sahidbhumi Rural Mun.,8.25,22.43,2.30,0.84,28.92,4.90,33.82
Chaubise Rural Mun.,8.96,24.84,2.30,0.97,32.67,4.40,37.07
Chhathar Jorpati Rural Mun.,8.69,18.54,0.85,1.00,26.51,2.57,29.08
Sangurigadhi Rural Mun.,9.23,25.70,0.69,2.00,34.38,3.24,37.62
Bhojpur (District),81.56,220.63,11.05,9.82,288.85,34.21,323.06
Bhojpur Municipality,10.63,31.24,0.00,1.05,40.59,2.33,42.92
Shadananda Municipality,11.41,36.62,1.65,1.22,47.87,3.03,50.90
Arun Rural Mun.,8.55,23.70,2.25,1.40,29.17,6.73,35.90
Aamchok Rural Mun.,8.70,20.00,2.69,0.78,28.16,4.01,32.17
Tyamkemaiyum Rural Mun.,8.74,30.94,0.90,1.40,33.91,8.07,41.98
Pauwadungma Rural Mun.,8.18,18.27,1.25,1.40,27.11,1.99,29.10
Ramprasad Rai Rural Mun.,8.78,20.53,0.00,0.00,28.40,0.91,29.31
Salpasilichho Rural Mun.,7.55,18.33,0.69,2.05,24.67,3.95,28.62
Hatuwagadhi Rural Mun.,9.02,21.00,1.62,0.52,28.97,3.19,32.16
Khotang (District),90.77,256.13,18.27,16.43,346.69,34.91,381.60
Diktel Rupakot Majhuwagadhi,14.61,51.94,1.65,1.00,66.23,2.97,69.20
Halesi Tuwachung Mun.,11.16,34.76,0.69,0.75,44.96,2.40,47.36
Aiselukharka Rural Mun.,8.23,24.12,4.15,1.40,35.62,2.28,37.90
Kepilasgadhi Rural Mun.,8.01,21.27,3.19,3.46,29.32,6.61,35.93
Khotehang Rural Mun.,9.35,29.06,1.65,1.92,37.78,4.20,41.98
Jantedhunga Rural Mun.,8.16,19.44,2.29,1.40,26.94,4.35,31.29
Diprung Chuichumma RM,9.05,26.35,1.12,1.48,34.93,3.07,38.00
Rawabesi Rural Mun.,7.36,17.92,1.30,1.40,25.49,2.49,27.98
Barahapokhari Rural Mun.,7.95,15.85,0.69,1.40,22.95,2.94,25.89
Sakela Rural Mun.,6.89,15.42,1.54,2.22,22.47,3.60,26.07
Solukhumbu (District),84.67,158.80,12.32,12.45,239.72,28.52,268.24
Solududhkunda Mun.,14.31,36.64,1.65,1.04,49.19,4.45,53.64
Khumbu Pasanglhamu RM,10.26,11.83,0.69,2.20,20.77,4.21,24.98
Maapya Dudhkoshi RM,10.26,16.69,0.69,1.38,26.95,2.07,29.02
Thulung Dudhkoshi RM,12.37,33.81,1.65,0.52,41.53,6.82,48.35
Nechasalyan Rural Mun.,10.97,23.91,3.90,1.22,37.98,2.02,40.00
Mahakulung Rural Mun.,10.94,10.97,1.44,0.90,22.51,1.74,24.25
Likhupike Rural Mun.,7.08,10.30,0.65,2.63,17.06,3.60,20.66
Sotang Rural Mun.,8.48,14.65,1.65,2.56,23.73,3.61,27.34
Gorkha District,146.71,297.86,12.07,21.89,436.71,41.82,478.53
Gorakha Municipality,20.79,44.29,0.82,0.91,58.81,8.00,66.81
Palungtar Municipality,16.79,38.61,0.69,3.57,51.06,8.60,59.66
Ajirkot Rural Mun.,10.73,17.83,1.12,1.05,29.62,1.11,30.73
Aarughat Rural Mun.,12.78,26.83,0.68,3.52,39.05,4.76,43.81
Gandaki Rural Mun.,12.94,29.33,1.65,2.32,43.42,2.82,46.24
Chumnubri Rural Mun.,8.73,12.47,1.10,1.00,21.10,2.20,23.30
Dharche Rural Mun.,10.60,17.83,1.50,0.22,28.37,1.78,30.15
Bhimsen Thapa Rural Mun.,12.50,26.94,1.12,4.06,39.97,4.65,44.62
Sahid Lakhan Rural Mun.,14.16,25.19,1.06,0.87,40.20,1.08,41.28
Siranchowk Rural Mun.,12.91,31.86,0.69,1.87,43.93,3.40,47.33
Barpak Sulikot Rural Mun.,13.78,26.68,1.64,2.50,41.18,3.42,44.60
Lamjung District,75.37,222.54,9.26,10.59,286.33,31.43,317.76
Besishahar Municipality,13.08,36.77,1.39,0.90,46.24,5.90,52.14
Madhya Nepal Municipality,9.98,35.59,1.65,1.41,45.16,3.47,48.63
Rainas Municipality,8.29,33.34,2.21,0.69,35.18,9.35,44.53
Sundarbazar Municipality,10.20,32.11,1.65,0.58,43.16,1.38,44.54
Kwholasothar Rural Mun.,6.99,16.98,0.00,2.16,23.59,2.54,26.13
Dudhpokhari Rural Mun.,6.94,16.16,0.92,0.83,22.32,2.53,24.85
Dordi Rural Mun.,9.59,26.61,0.54,1.05,35.98,1.81,37.79
Marsyangdi Rural Mun.,10.30,24.98,0.90,2.97,34.70,4.45,39.15
Tanahun District,112.97,346.53,9.58,13.30,389.79,92.59,482.38
Bhanu Municipality,13.72,44.42,3.50,1.00,54.19,8.45,62.64
Bhimad Municipality,11.09,29.80,1.27,1.02,39.49,3.69,43.18
Byas Municipality,18.33,92.35,0.85,1.00,77.20,35.33,1,12.53
Shuklagandaki Municipality,14.48,63.50,0.00,2.18,49.88,30.28,80.16
Anbu Khaireni Rural Mun.,9.48,16.89,0.00,0.91,25.42,1.86,27.28
Rhishing Rural Mun.,10.25,23.05,0.78,1.68,33.30,2.46,35.76
Ghiring Rural Mun.,8.60,17.63,0.75,2.41,26.70,2.69,29.39
Devghat Rural Mun.,8.17,21.58,0.68,0.99,29.55,1.87,31.42
Myagde Rural Mun.,9.86,16.47,0.90,1.20,26.13,2.30,28.43
Bandi Pur Rural Mun.,8.99,20.84,0.85,0.91,27.93,3.66,31.59
Kaski District,91.54,415.45,6.88,8.82,367.53,155.16,522.69
Pokhara Metropolitan City,50.86,311.69,1.43,0.58,226.65,137.91,364.56
Annapurna Rural Mun.,11.57,29.41,2.55,3.00,40.23,6.30,46.53
Machhapuchchhre Rural Mun.,11.24,27.94,0.53,0.81,37.37,3.15,40.52
Madi Rural Mun.,10.22,27.69,0.72,2.47,35.81,5.29,41.10
Rupa Rural Mun.,7.65,18.72,1.65,1.96,27.47,2.51,29.98
Manang District,28.41,26.42,2.94,1.40,51.83,7.34,59.17
Chame Rural Mun.,6.98,5.61,2.25,0.00,11.87,2.97,14.84
Narpa Bhumi Rural Mun.,7.12,3.77,0.69,1.40,9.96,3.02,12.98
Naspa Rural Mun.,7.08,8.86,0.00,0.00,14.59,1.35,15.94
Manang Ngisyang Rural Mun.,7.23,8.18,0.00,0.00,15.41,0.00,15.41
Mustang District,35.80,43.51,6.29,4.71,76.82,13.49,90.31
Gharapjhong Rural Mun.,7.57,10.10,0.90,0.75,17.01,2.31,19.32
Thasang Rural Mun.,6.94,11.19,2.68,0.67,18.07,3.41,21.48
Lo-Ghekar Damodarkunda Rural Mun.,7.00,6.76,0.75,0.93,12.85,2.59,15.44
Lomanthang Rural Mun.,7.07,6.70,0.69,0.96,13.77,1.65,15.42
Varagung Muktikhsetra Rural Mun.,7.22,8.76,1.27,1.40,15.12,3.53,18.65
Parbat District,62.90,208.48,11.20,8.98,259.59,31.97,291.56
Kushma Municipality,12.36,47.71,1.19,0.86,54.66,7.46,62.12
Phalebas Municipality,9.63,42.29,0.72,0.81,46.37,7.08,53.45
Jaljala Rural Mun.,9.20,26.52,1.65,1.33,35.11,3.59,38.70
Paiyun Rural Mun.,7.92,21.00,0.69,0.81,28.42,2.00,30.42
Mahashila Rural Mun.,7.12,18.27,3.40,2.40,25.73,5.46,31.19
Modi Rural Mun.,9.30,30.26,1.30,1.81,40.55,2.12,42.67
