id,entity_name,fiscal_year,ward_number,ward_population,ward_total_budget,project_name,project_budget,project_expenditure,physical_progress,status,created_at,updated_at
1,Pokhara Metro,2078/79,18,8100,28000000.00,Sarangkot View Tower Survey,500000.00,500000.00,100.00,Completed,2022-07-15T10:00:00Z,2022-07-15T10:00:00Z
2,Pokhara Metro,2078/79,18,8100,28000000.00,Sedibagar Water Source Study,200000.00,200000.00,100.00,Completed,2022-07-15T10:00:00Z,2022-07-15T10:00:00Z
3,Pokhara Metro,2078/79,8,13800,75000000.00,Mahendrapul Road Maintenance,5000000.00,5000000.00,100.00,Completed,2022-07-15T10:00:00Z,2022-07-15T10:00:00Z
4,Pokhara Metro,2078/79,33,6500,10000000.00,Bharat Pokhari Track Opening,2000000.00,1800000.00,90.00,Ongoing,2022-07-15T10:00:00Z,2022-07-15T10:00:00Z
5,Lalitpur Metro,2078/79,3,11000,55000000.00,Pulchowk Drain Design,500000.00,500000.00,100.00,Completed,2022-07-15T10:00:00Z,2022-07-15T10:00:00Z
6,Kathmandu Metro,2078/79,32,24000,95000000.00,Koteshwor Traffic Island,3000000.00,3000000.00,100.00,Completed,2022-07-15T10:00:00Z,2022-07-15T10:00:00Z
7,Pokhara Metro,2079/80,18,8200,30000000.00,Sarangkot View Tower Access Road (Phase 1),2500000.00,2500000.00,100.00,Completed,2023-07-15T10:00:00Z,2023-07-15T10:00:00Z
8,Pokhara Metro,2079/80,18,8200,30000000.00,Sedibagar Drinking Water (Pipe Purchase),1000000.00,1000000.00,100.00,Completed,2023-07-15T10:00:00Z,2023-07-15T10:00:00Z
9,Pokhara Metro,2079/80,8,14000,78000000.00,Mahendrapul Street Light Survey,200000.00,200000.00,100.00,Completed,2023-07-15T10:00:00Z,2023-07-15T10:00:00Z
10,Pokhara Metro,2079/80,33,6600,11000000.00,Bharat Pokhari Gravel Road (Phase 1),2500000.00,2000000.00,80.00,Ongoing,2023-07-15T10:00:00Z,2023-07-15T10:00:00Z
11,Lalitpur Metro,2079/80,3,11200,58000000.00,Pulchowk Engineering Campus Drain (Phase 1),2000000.00,1500000.00,75.00,Ongoing,2023-07-15T10:00:00Z,2023-07-15T10:00:00Z
12,Kathmandu Metro,2079/80,32,24500,100000000.00,Koteshwor Overhead Bridge Repair,2000000.00,500000.00,25.00,Stalled,2023-07-15T10:00:00Z,2023-07-15T10:00:00Z
13,Pokhara Metro,2080/81,18,8300,32000000.00,Sarangkot View Tower Access Road (Phase 2),3000000.00,1500000.00,50.00,Ongoing,2024-07-15T10:00:00Z,2024-07-15T10:00:00Z
14,Pokhara Metro,2080/81,18,8300,32000000.00,Sedibagar Drinking Water Tank Construction,1500000.00,500000.00,30.00,Stalled,2024-07-15T10:00:00Z,2024-07-15T10:00:00Z
15,Pokhara Metro,2080/81,8,14100,82000000.00,Mahendrapul Smart Street Lights (Tender),500000.00,500000.00,100.00,Completed,2024-07-15T10:00:00Z,2024-07-15T10:00:00Z
16,Pokhara Metro,2080/81,33,6700,11500000.00,Bharat Pokhari Gravel Road (Phase 2),2500000.00,2500000.00,100.00,Completed,2024-07-15T10:00:00Z,2024-07-15T10:00:00Z
17,Lalitpur Metro,2080/81,3,11400,60000000.00,Pulchowk Engineering Campus Drain (Phase 2),3000000.00,1000000.00,30.00,Ongoing,2024-07-15T10:00:00Z,2024-07-15T10:00:00Z
18,Kathmandu Metro,2080/81,32,24800,105000000.00,Koteshwor Overhead Bridge Maintenance,4000000.00,4000000.00,100.00,Completed,2024-07-15T10:00:00Z,2024-07-15T10:00:00Z
19,Pokhara Metro,2081/82,18,8500,35000000.00,Sarangkot View Tower Access Road (Final Phase),5000000.00,4500000.00,90.00,Ongoing,2025-06-15T10:00:00Z,2025-06-15T10:00:00Z
20,Pokhara Metro,2081/82,18,8500,35000000.00,Sedibagar Drinking Water Project (Main Line),2500000.00,200000.00,10.00,Stalled,2025-06-15T10:00:00Z,2025-06-15T10:00:00Z
21,Pokhara Metro,2081/82,18,8500,35000000.00,Ward Office Solar Installation,1200000.00,1200000.00,100.00,Completed,2025-06-15T10:00:00Z,2025-06-15T10:00:00Z
22,Pokhara Metro,2081/82,8,14200,85000000.00,Mahendrapul Smart Street Lights (Install),15000000.00,15000000.00,100.00,Completed,2025-06-15T10:00:00Z,2025-06-15T10:00:00Z
23,Pokhara Metro,2081/82,8,14200,85000000.00,New Road Sidewalk Tiling,4500000.00,2000000.00,45.00,Ongoing,2025-06-15T10:00:00Z,2025-06-15T10:00:00Z
24,Pokhara Metro,2081/82,8,14200,85000000.00,Public Park & Open Gym Construction,8000000.00,6000000.00,75.00,Ongoing,2025-06-15T10:00:00Z,2025-06-15T10:00:00Z
25,Pokhara Metro,2081/82,33,6800,12000000.00,Bharat Pokhari Gravel Road (Maintenance),3000000.00,2800000.00,95.00,Ongoing,2025-06-15T10:00:00Z,2025-06-15T10:00:00Z
26,Pokhara Metro,2081/82,33,6800,12000000.00,Community Building Roof Repair,500000.00,500000.00,100.00,Completed,2025-06-15T10:00:00Z,2025-06-15T10:00:00Z
27,Pokhara Metro,2081/82,33,6800,12000000.00,Irrigation Canal Maintenance (Kulo),1500000.00,100000.00,5.00,Stalled,2025-06-15T10:00:00Z,2025-06-15T10:00:00Z
28,Lalitpur Metro,2081/82,3,11500,62000000.00,Pulchowk Engineering Campus Drain (Final),4000000.00,2500000.00,60.00,Ongoing,2025-06-15T10:00:00Z,2025-06-15T10:00:00Z
29,Lalitpur Metro,2081/82,3,11500,62000000.00,Heritage Walkway Preservation,12000000.00,12000000.00,100.00,Completed,2025-06-15T10:00:00Z,2025-06-15T10:00:00Z
30,Lalitpur Metro,2081/82,22,9200,45000000.00,Bungamati Temple Reconstruction Support,8500000.00,4000000.00,50.00,Ongoing,2025-06-15T10:00:00Z,2025-06-15T10:00:00Z
31,Lalitpur Metro,2081/82,22,9200,45000000.00,Public Toilet Construction (Bus Park),2500000.00,0.00,0.00,Stalled,2025-06-15T10:00:00Z,2025-06-15T10:00:00Z
32,Kathmandu Metro,2081/82,32,25000,110000000.00,Koteshwor Overhead Bridge Painting,1500000.00,1500000.00,100.00,Completed,2025-06-15T10:00:00Z,2025-06-15T10:00:00Z
33,Kathmandu Metro,2081/82,32,25000,110000000.00,Bagmati Corridor Greenery Project,9000000.00,1000000.00,15.00,Ongoing,2025-06-15T10:00:00Z,2025-06-15T10:00:00Z
34,Kathmandu Metro,2081/82,1,18000,95000000.00,Naxal Road Blacktopping (Phase 2),18000000.00,16000000.00,85.00,Ongoing,2025-06-15T10:00:00Z,2025-06-15T10:00:00Z
35,Pokhara Metro,2082/83,18,8600,38000000.00,Sarangkot Community Hall,5000000.00,0.00,0.00,Ongoing,2025-08-15T10:00:00Z,2025-08-15T10:00:00Z
36,Pokhara Metro,2082/83,18,8600,38000000.00,Sedibagar Drinking Water (Completion),1500000.00,0.00,0.00,Stalled,2025-08-15T10:00:00Z,2025-08-15T10:00:00Z
37,Pokhara Metro,2082/83,8,14300,90000000.00,Mahendrapul CCTV Installation,3000000.00,0.00,0.00,Ongoing,2025-08-15T10:00:00Z,2025-08-15T10:00:00Z
