ministry_name,fiscal_year,allocated_amount,spent_amount
Ministry of Finance,2080/81,45000000000,38000000000
Ministry of Education, Science and Technology,2080/81,197000000000,150000000000
Ministry of Health and Population,2080/81,83000000000,65000000000
Ministry of Physical Infrastructure and Transport,2080/81,131000000000,95000000000
Ministry of Energy, Water Resources and Irrigation,2080/81,87000000000,60000000000
Ministry of Urban Development,2080/81,66000000000,45000000000
Ministry of Federal Affairs and General Administration,2080/81,10000000000,8000000000
Ministry of Agriculture and Livestock Development,2080/81,58000000000,42000000000
Ministry of Home Affairs,2080/81,190000000000,175000000000
Ministry of Defence,2080/81,58000000000,55000000000
Ministry of Culture, Tourism and Civil Aviation,2080/81,11000000000,6000000000
Ministry of Forests and Environment,2080/81,15000000000,9000000000
Ministry of Communication and Information Technology,2080/81,8000000000,5000000000
Ministry of Industry, Commerce and Supplies,2080/81,9000000000,4000000000
Ministry of Land Management, Cooperatives and Poverty Alleviation,2080/81,7000000000,5000000000
Ministry of Water Supply,2080/81,28000000000,18000000000
Ministry of Youth and Sports,2080/81,2000000000,1500000000
Ministry of Women, Children and Senior Citizens,2080/81,1500000000,1000000000
Ministry of Labour, Employment and Social Security,2080/81,800000000,600000000
Ministry of Law, Justice and Parliamentary Affairs,2080/81,500000000,400000000
