record_id,entity_name,fiscal_year,month_index,month_name,cumulative_spend_capital,cumulative_spend_recurrent,target_spend,created_at,updated_at
1,Federal Government,2078/79,1,Shrawan,1080000000.0,48050000000.0,28860000000.0,2025-11-21T00:00:00Z,2025-11-21T00:00:00Z
2,Federal Government,2078/79,2,Bhadra,4320000000.0,115320000000.0,72150000000.0,2025-11-21T00:00:00Z,2025-11-21T00:00:00Z
3,Federal Government,2078/79,3,Ashoj,10800000000.0,192200000000.0,144300000000.0,2025-11-21T00:00:00Z,2025-11-21T00:00:00Z
4,Federal Government,2078/79,4,Kartik,19440000000.0,269080000000.0,259740000000.0,2025-11-21T00:00:00Z,2025-11-21T00:00:00Z
5,Federal Government,2078/79,5,Mangsir,32400000000.0,336350000000.0,404040000000.0,2025-11-21T00:00:00Z,2025-11-21T00:00:00Z
6,Federal Government,2078/79,6,Poush,47520000000.0,403620000000.0,577200000000.0,2025-11-21T00:00:00Z,2025-11-21T00:00:00Z
7,Federal Government,2078/79,7,Magh,64800000000.0,480500000000.0,750360000000.0,2025-11-21T00:00:00Z,2025-11-21T00:00:00Z
8,Federal Government,2078/79,8,Falgun,86400000000.0,557380000000.0,923520000000.0,2025-11-21T00:00:00Z,2025-11-21T00:00:00Z
9,Federal Government,2078/79,9,Chaitra,112320000000.0,634260000000.0,1082250000000.0,2025-11-21T00:00:00Z,2025-11-21T00:00:00Z
10,Federal Government,2078/79,10,Baishakh,140400000000.0,720750000000.0,1226550000000.0,2025-11-21T00:00:00Z,2025-11-21T00:00:00Z
11,Federal Government,2078/79,11,Jestha,168480000000.0,816850000000.0,1341990000000.0,2025-11-21T00:00:00Z,2025-11-21T00:00:00Z
12,Federal Government,2078/79,12,Ashar,216000000000.0,961000000000.0,1443000000000.0,2025-11-21T00:00:00Z,2025-11-21T00:00:00Z
13,Federal Government,2079/80,1,Shrawan,1150000000.0,52500000000.0,31260000000.0,2025-11-21T00:00:00Z,2025-11-21T00:00:00Z
14,Federal Government,2079/80,2,Bhadra,4600000000.0,126000000000.0,78150000000.0,2025-11-21T00:00:00Z,2025-11-21T00:00:00Z
15,Federal Government,2079/80,3,Ashoj,11500000000.0,210000000000.0,156300000000.0,2025-11-21T00:00:00Z,2025-11-21T00:00:00Z
16,Federal Government,2079/80,4,Kartik,20700000000.0,294000000000.0,281340000000.0,2025-11-21T00:00:00Z,2025-11-21T00:00:00Z
17,Federal Government,2079/80,5,Mangsir,34500000000.0,367500000000.0,437640000000.0,2025-11-21T00:00:00Z,2025-11-21T00:00:00Z
18,Federal Government,2079/80,6,Poush,50600000000.0,441000000000.0,625200000000.0,2025-11-21T00:00:00Z,2025-11-21T00:00:00Z
19,Federal Government,2079/80,7,Magh,69000000000.0,525000000000.0,812760000000.0,2025-11-21T00:00:00Z,2025-11-21T00:00:00Z
20,Federal Government,2079/80,8,Falgun,92000000000.0,609000000000.0,1000320000000.0,2025-11-21T00:00:00Z,2025-11-21T00:00:00Z
21,Federal Government,2079/80,9,Chaitra,119600000000.0,693000000000.0,1172250000000.0,2025-11-21T00:00:00Z,2025-11-21T00:00:00Z
22,Federal Government,2079/80,10,Baishakh,149500000000.0,787500000000.0,1328550000000.0,2025-11-21T00:00:00Z,2025-11-21T00:00:00Z
23,Federal Government,2079/80,11,Jestha,179400000000.0,892500000000.0,1453590000000.0,2025-11-21T00:00:00Z,2025-11-21T00:00:00Z
24,Federal Government,2079/80,12,Ashar,230000000000.0,1050000000000.0,1563000000000.0,2025-11-21T00:00:00Z,2025-11-21T00:00:00Z
25,Federal Government,2080/81,1,Shrawan,900000000.0,55000000000.0,28860000000.0,2025-11-21T00:00:00Z,2025-11-21T00:00:00Z
26,Federal Government,2080/81,2,Bhadra,3600000000.0,132000000000.0,72150000000.0,2025-11-21T00:00:00Z,2025-11-21T00:00:00Z
27,Federal Government,2080/81,3,Ashoj,9000000000.0,220000000000.0,144300000000.0,2025-11-21T00:00:00Z,2025-11-21T00:00:00Z
