id,fiscal_year,category,sub_category,amount_budgeted,amount_actual,inflation_rate,created_at,updated_at
1,2078/79,Expenditure,Recurrent,1065000000000.00,961000000000.00,6.30,2023-07-15T00:00:00Z,2023-07-15T00:00:00Z
2,2078/79,Expenditure,Capital,378000000000.00,216000000000.00,6.30,2023-07-15T00:00:00Z,2023-07-15T00:00:00Z
3,2078/79,Expenditure,Financial,189000000000.00,189000000000.00,6.30,2023-07-15T00:00:00Z,2023-07-15T00:00:00Z
4,2078/79,Revenue,Tax,980000000000.00,940000000000.00,6.30,2023-07-15T00:00:00Z,2023-07-15T00:00:00Z
5,2078/79,Revenue,Grant,59000000000.00,25000000000.00,6.30,2023-07-15T00:00:00Z,2023-07-15T00:00:00Z
6,2078/79,Revenue,Loan,250000000000.00,230000000000.00,6.30,2023-07-15T00:00:00Z,2023-07-15T00:00:00Z
7,2079/80,Expenditure,Recurrent,1183000000000.00,1050000000000.00,7.74,2024-07-15T00:00:00Z,2024-07-15T00:00:00Z
8,2079/80,Expenditure,Capital,380000000000.00,230000000000.00,7.74,2024-07-15T00:00:00Z,2024-07-15T00:00:00Z
9,2079/80,Expenditure,Financial,230000000000.00,225000000000.00,7.74,2024-07-15T00:00:00Z,2024-07-15T00:00:00Z
10,2079/80,Revenue,Tax,1050000000000.00,980000000000.00,7.74,2024-07-15T00:00:00Z,2024-07-15T00:00:00Z
11,2079/80,Revenue,Grant,55000000000.00,20000000000.00,7.74,2024-07-15T00:00:00Z,2024-07-15T00:00:00Z
12,2079/80,Revenue,Loan,240000000000.00,240000000000.00,7.74,2024-07-15T00:00:00Z,2024-07-15T00:00:00Z
13,2080/81,Expenditure,Recurrent,1141000000000.00,1100000000000.00,5.40,2025-07-15T00:00:00Z,2025-07-15T00:00:00Z
14,2080/81,Expenditure,Capital,302000000000.00,180000000000.00,5.40,2025-07-15T00:00:00Z,2025-07-15T00:00:00Z
15,2080/81,Expenditure,Financial,307000000000.00,300000000000.00,5.40,2025-07-15T00:00:00Z,2025-07-15T00:00:00Z
16,2080/81,Revenue,Tax,1240000000000.00,1100000000000.00,5.40,2025-07-15T00:00:00Z,2025-07-15T00:00:00Z
17,2080/81,Revenue,Grant,50000000000.00,15000000000.00,5.40,2025-07-15T00:00:00Z,2025-07-15T00:00:00Z
18,2080/81,Revenue,Loan,212000000000.00,150000000000.00,5.40,2025-07-15T00:00:00Z,2025-07-15T00:00:00Z
19,2081/82,Expenditure,Recurrent,1140660000000.00,1009940000000.00,4.24,2024-06-15T00:00:00Z,2025-07-15T00:00:00Z
20,2081/82,Expenditure,Capital,352350000000.00,293900000000.00,4.24,2024-06-15T00:00:00Z,2025-07-15T00:00:00Z
21,2081/82,Expenditure,Financial,367280000000.00,358530000000.00,4.24,2024-06-15T00:00:00Z,2025-07-15T00:00:00Z
22,2081/82,Revenue,Tax,1260300000000.00,1127870000000.00,4.24,2024-06-15T00:00:00Z,2025-07-15T00:00:00Z
23,2081/82,Revenue,Grant,52330000000.00,34890000000.00,4.24,2024-06-15T00:00:00Z,2025-07-15T00:00:00Z
24,2081/82,Revenue,Loan,547670000000.00,470200000000.00,4.24,2024-06-15T00:00:00Z,2025-07-15T00:00:00Z
25,2082/83,Expenditure,Recurrent,1180980000000.00,,5.00,2025-05-29T00:00:00Z,2025-05-29T00:00:00Z
26,2082/83,Expenditure,Capital,407890000000.00,,5.00,2025-05-29T00:00:00Z,2025-05-29T00:00:00Z
27,2082/83,Expenditure,Financial,375240000000.00,,5.00,2025-05-29T00:00:00Z,2025-05-29T00:00:00Z
28,2082/83,Revenue,Tax,1315000000000.00,,5.00,2025-05-29T00:00:00Z,2025-05-29T00:00:00Z
29,2082/83,Revenue,Grant,53450000000.00,,5.00,2025-05-29T00:00:00Z,2025-05-29T00:00:00Z
30,2082/83,Revenue,Loan,595660000000.00,,5.00,2025-05-29T00:00:00Z,2025-05-29T00:00:00Z
