entity_name,entity_type,fiscal_year,revenue_internal,revenue_grants,sector_health,sector_education,sector_infra,sector_agriculture
Koshi,Province,2078/79,10000000000,90000000000,32729771270.5829,25842163142.8775,27427904165.0255,14000161421.5141
Koshi,Province,2079/80,10800000000,97200000000,41352930666.4086,26048608538.8675,35694519473.7708,4903941320.95302
Koshi,Province,2080/81,11600000000,104400000000,3622045572.5564,50015818121.2813,41719141732.3765,20642994573.7858
Koshi,Province,2081/82,12400000000,111600000000,10483752568.0574,31062834382.8649,65355087826.5609,17098325222.5167
Koshi,Province,2082/83,13200000000,118800000000,17505034288.0043,71981907038.7223,36538054897.4272,5975003775.84627
Madhesh,Province,2078/79,10000000000,90000000000,29496359694.8142,17182643689.694,47406403781.1714,5914592834.32046
Madhesh,Province,2079/80,10800000000,97200000000,14065201325.2221,53068638430.7085,32059768941.6063,8806391302.46315
Madhesh,Province,2080/81,11600000000,104400000000,16981119216.7556,33008404777.4056,58457163744.5796,7553312261.2592
Madhesh,Province,2081/82,12400000000,111600000000,21569506908.1152,41707751086.0134,53170721727.2439,7552020278.62745
Madhesh,Province,2082/83,13200000000,118800000000,29146297258.2274,41239507971.716,44839584924.4233,16774609845.6333
Bagmati,Province,2078/79,10000000000,90000000000,11600226807.9616,47164568664.3257,32783803960.7099,8451400567.00278
Bagmati,Province,2079/80,10800000000,97200000000,38827293268.3105,19503005484.0918,34856709985.5479,14812991262.0498
Bagmati,Province,2080/81,11600000000,104400000000,12560053625.106,32231642606.1227,66195846975.227,5012456793.54435
Bagmati,Province,2081/82,12400000000,111600000000,16536870738.1241,32482975446.7552,63920624805.7877,11059529009.333
Bagmati,Province,2082/83,13200000000,118800000000,32239166036.1617,18662111963.6942,68140445416.1251,12958276584.019
Gandaki,Province,2078/79,10000000000,90000000000,28418261494.0663,10776637118.1543,25457664187.9581,35347437199.8214
Gandaki,Province,2079/80,10800000000,97200000000,13334460641.8065,18279876214.6945,31769785759.5736,44615877383.9253
Gandaki,Province,2080/81,11600000000,104400000000,30963118363.7774,27078738327.6108,54160533476.2057,3797609832.40608
Gandaki,Province,2081/82,12400000000,111600000000,17767816734.2911,32235189377.6575,63448073267.0725,10548920620.9789
Gandaki,Province,2082/83,13200000000,118800000000,18500570879.3542,38098441808.9977,34841284747.7579,40559702563.8901
Lumbini,Province,2078/79,10000000000,90000000000,23340141590.2586,8071179030.43965,34346231167.6605,34242448211.6412
Lumbini,Province,2079/80,10800000000,97200000000,34877327014.665,5672725236.23164,39351861546.1004,28098086203.0029
Lumbini,Province,2080/81,11600000000,104400000000,20621051660.8862,43835537284.0317,40304259700.4135,11239151354.6687
Lumbini,Province,2081/82,12400000000,111600000000,17465132620.1158,32680730489.8967,66344409451.5746,7509727438.41294
Lumbini,Province,2082/83,13200000000,118800000000,17355422828.3169,52149680821.0432,46624617445.9115,15870278904.7284
Karnali,Province,2078/79,10000000000,90000000000,26104951388.0721,15826453750.7987,40911121652.6958,17157473208.4335
Karnali,Province,2079/80,10800000000,97200000000,10188721693.1436,32029543607.2237,58509836205.431,7271898494.20161
Karnali,Province,2080/81,11600000000,104400000000,31799125256.2163,21571255479.0246,25481903574.9226,37147715689.8366
Karnali,Province,2081/82,12400000000,111600000000,24030675776.6974,27225478204.2777,61649151668.408,11094694350.6169
Karnali,Province,2082/83,13200000000,118800000000,24120604918.3616,16319741115.4756,85209300656.5892,6350353309.57364
Sudurpashchim,Province,2078/79,10000000000,90000000000,34522738186.475,21780781282.9732,29122590030.1327,14573890500.4192
Sudurpashchim,Province,2079/80,10800000000,97200000000,21287988887.484,32504055754.5948,33950824277.135,20257131080.7862
Sudurpashchim,Province,2080/81,11600000000,104400000000,12244835723.8876,40647889961.896,48190051285.9663,14917223028.2501
Sudurpashchim,Province,2081/82,12400000000,111600000000,13654590110.7797,35410893703.683,66460210531.3673,8474305654.17004
