0,1,2
"Ministry
Code",Description,Page No
,Summary Of Ministrywise Development Partners,
,Development Partnerwise Summary,
301,Office of Prime Minister and Council of Ministers,5
305,Ministry of Finance,1
307,"Ministry of Industry, Commerce and Supply",1
308,"Ministry of Energy, Water Resources and Irrigation",1
325,"Ministry of Culture, Tourism and Civil Aviation",7
312,Ministry of Agriculture and Livestock Development,4
313,Ministry of Water Supply,5
314,Ministry of Home Affairs,7
329,Ministry of Forest and Environment,8
337,Ministry of Physical Infrastructure and Transport,9
340,"Ministry of Women, Children and Senior Citizen",12
350,"Ministry of Education, Science and Technology",14
347,Ministry of Urban Development,12
358,Ministry of Communications and Information Technology,15
365,Ministry of Federal Affairs and General Administration,15
370,Ministry of Health and Population,16
371,"Ministry of Labour, Employment and Social Security",18
501,MOF- Financing,19
602,MOF Miscellaneous,21
701,Province,22
801,Local Level,24
