,,नगद,,,,वस्तुगत,
i शीर्षक,,| लल |,आन्तरिक त्रहण,सिट,नगद जम्मा,का सोचे,उन जन्ता
३१११२,गैर आवासीय भवन निर्माण/खरिद,"८,४७,७१","२०,१२,३५","१२,४०,६२","४१,००,६८","२७,९३३","४१,२८,६१"
३१११३,निर्मित भवनको संरचनात्मक सुधार खर्च,डश्व,"२३,५३","१,८४५","२८,७६",o,"२८,७६"
३१११४,जग्गा बिकास कार्य,zo,"८,०७",o,"८,८७",o,"द,८७"
३११२१,सवारी साधन,"३१,५८","३९,१५","३७,४८","१,०८,२१","५,६२","9.93,53"
३११२२,मेशिनरी तथा औजार,"१,०५,१९","१०,१०,३९","२,७२,५२","93,5540","र३े५,३२","१४,२३,८२"
३११२३,फर्निचर तथा फिक्चर्स,"१४,४७","९७,७८","६,६०","१,१८,८४५",थ्व,"१,१९,८३"
३११३१,पशुधन तथा बागवानी विकास खर्च,१९,"४,४७","१,४६",9%,०,"६,१२"
३११३२,अनुसन्धान तथा विकास सम्बन्धि खर्च,¥4,"२५,१६",शव,"२६,०९",o,"२६,०९"
३११३४,कम्प्युटर सफ्टवेयर निर्माण तथा खरीद खर्च,"२२,२५४","१,२३,००","४१,६२","१,८६,८७","२,०६","१,८८,९३"
३११३४५,पुँजीगत परामर्श,"४,७६","४,६४,४५",YYYEY,"९,१४,०५","२,७५,६६","११,८९,७१"
३११४१,सुरक्षा प्रणाली तथा उपकरण प्राप्ति खर्च,०,"र२,०७,१९","१०,००","२,१७,१९",०,"२,.१७.१९"
३११५१,सडक तथा पूल निर्माण,"२,३१,१३","६९,०४,७८","१३,५४,८४","१,२४,९०,७५","२७,३३,४७","१,५२,२४,२२"
३११५२,रेलमार्ग तथा हवाई मैदान निर्माण,o,€590,"र२,८९,६०","३,५७,७०",०,"346,80"
३११५३,विद्युत संरचना निर्माण,"६५,४१५","५९,६२","३,५५,११","४,८०,१८","६,२०,७१","११,००,८९"
३११५४,तटबन्ध तथा बाँध निर्माण,०,"४,८९,११","२,७७,०४","७,६६.१५","१०,३५","७,७६,५०"
३११५५,सिंचाई संरचना निर्माण,०,"१२,०१,२८","७,६२,४९","१९,६३,७४","२,.०७","१९,६५,८४"
३११५६,खानेपानी संरचना निर्माण,०,909393,"१,४०,२३","११,५२,३६","७०,११७","१२,२२,५३"
३११५७,वन तथा वातावरण संरक्षण,०,"४०,६२","८२,९३","१,२३,५५","१७,९२","१,४१,४७"
३११५८,सरसफाई संरचना निर्माण,०,"१,४९,६४","१,१७,७२","२,६७,३६","१,६६,५२","¥,33,55"
३११५९,अन्य सार्वजनिक निर्माण,"१४,४४,१५","२१,७५,३९","३,५१०,८८०","३९,७०,३४","३३,०४","४०,०३,३८"
३११६१,निर्मित भवनको संरचनात्मक सुधार खर्च,"४,८७","८२,२३","४,११","९१,२१",०,"29,24"
३११७१,पुँजीगत सुधार खर्च सार्वजनिक निर्माण,१.११,"र२,१७,०१","६,६१","२,६४,७३",०,"२,६४,७३"
३१४००,प्राकृतिक सम्पत्ति,"१३,५९,१४","१,५०,००","१०,१५","१५,१९,२९",४०,"१५,१९,६९"
३१४११,जग्गा प्राप्ति खर्च,"१३,५६,१४","१,५०,००",०,"१५,०६,१४",०,"११५,०६,१४"
३१४४१,करार लीज तथा लाइसेन्स खरिद प्राप्ति खर्च,"3,00",o,"१०,१५","१३,१५",४०,"१३,५४५"
३१५००,भैपरी आउने पुँजीगत,"४,३५,०९","१,९५,००",०,"६,३०,०९",o,"६,३०,०९"
३१५११,भैपरी आउने पूँजीगत,"४,३५,०९","१,९५,००",०,"६,३०,०९",०,"६,३०,०९"
वित्तीय व्यवस्था,,"३,१४,३०,६४",०,"१०,५३,२१","३,२४,८३,८५","४२,४४,६०","३,६७,२८,४४५"
३२१०० अन्तरिक वित्तीय सम्पत्ति,,"१४,२२,९७",०,"१०,५३,२१","र२४,७६,१८","४२,४४,६०","६७,२०,७८"
३२१४२ सार्वजनिक संस्थानमा त्रहण लगानी,,"७,३०,८६",०,"१०,१३,२१","१७,८४,०७","३८.६४,.५७","२१६,४८,६४"
३२१५१,संस्थानमा शेयर लगानी,"६,९२,११",०,०,"६,९२,११","350,03","१०,७२,१४"
३२२०० बाहा वित्तीय सम्पत्ति,,"३५,०१",०,०,"३५,०१",०,"३५,०१"
३२२५१ वैदेशिक शेयर लगानी,,"३५,०१",०,o,"3,09",o,"3%,09"
33900 आन्तरिक दायित्व,,"२,४५,७८,००",०,०,"२,४५,७८,००",०,"२,४१५,७८,००"
३३१९५ क्णपत्र मार्फत प्राप्त तरण साँवा भुक्तानी,,"२,४५,७८,००",०,०,"२,४१,७८,००",०,"२,४१,७८,००"
३३२०० बाहा वित्तीय दायित्व,,"५३,९४,६६",०,०,"३,९४,६६",०,"१३,९४,६६"
३३२४२ वैदेशिक त्रण सांवा भुक्तानी,,"२३,९४,६६",०,०,"४३,९४,६६",०,"श१३,९४,६६"
