२५१२० वित्तीय २५१२१ त्तीय संस्थानहरूलाई सहायता वित्तीय संस्थानहरूलाई चालु,,"० ३,७४","४,००","४,००",,
सहायता,,"० ३,७४","४,००","४,००",,
२५२०० व्यवसायहरूलाई सहायता गह वित्तीय,"१२,७८","११,६७४","१०,२२","९,८१",,४१
२५२१० व्यवसायहरूलाई सहायता,"१२,७८","११,६४७","१०,२२","९,८4१",,४१
२५२११ चालु सहायता गह वित्तीय व्यवसायहरूलाई,"३,२८०","२,.१७",,७२ ३१,,४१
२५२१२ पूँजीगत सहायता शाह वित्तीय व्यवसायहरूलाई,"६,२५०","६,५०",‘.40,"६,२५०",,
२५३०० अन्य सहायता,"१,२४५","२,४६","२,२७","२,२७",,
२५३१० अन्य सामाजिक संस्थालाई सहायता,"१,२४५","२,४६","२,२७","२,२७",०,
२५३१५ अन्य सहायता,"१,२४५","२,४६","२,२७","२,२७",०,
२६००० अनुदान,"४,८७.१७,९९","४,९०,६८,.३६","५,३९,७२,१२८","४,७१,४५,४२","१७,९१,२५","५०,३४५,"
२६२०० अन्तर्राष्ट्रिय संस्थाहरूलाई अनुदान २६२१० अन्तराष्ट्रिय सदस्यता शुल्क तथा,"२८,८४७","४९,७२५",4043,"२०,२५३",०,
सहयोग २६२११ अन्तराष्ट्रिय सदस्यता शुल्क,"२८,८४७","४९,७२५",4043,"२०,२५३",,
तथा सहयोग,"२८,८७","४९,७५","५०,५३","५०,४५३",,
२६३०० अन्य तहका सरकारहरूलाई अनुदान,"२,९७,३६,०४","३,८१,७९,२८","४,०८.९२,३६","३,६८,६४५,८०","११,६६,९८","२८,५९,८०"
२६३३० आन्तरिक अनुदान,"३,९७,३६,०४","३,.८१,७९,२८","४,०८.९२,३६","३,.६८,.६५,.५८०","११,६६,९८","२८,५९,८०"
२६३३१ 'समानिकरण अनुदान,"१,४६,४४५,१५","१,३६,६९,८३","१,४८,००,००","१,४८,००,००",०,
२६३३२ सशर्त अनुदान (चालु ),"१,८३,४६,३३","१,८३,४६,७४५","१,९१,४२,७४","१,७०,२५२,५६","१०,२०,९७","१०,६९.२१"
२६३३३ विशेष अनुदान (चालु ),"१,४६.६२","२,२२,४०","२,२१,४२","२,२१,४२",०,
२६३३४ 'समपुरक अनुदान,"१०,१२,५०","१२,५६,३१","१३,२०,००","१३,२०,००",०,
२६३३६ सशर्त अनुदान ( पुँजीगत),"४७.१७,५९","३६,२१६,२५५","४३,३९.६२","२४,०३,०२","१,४६,०१","१७,९०,५९"
२६३३७ विशेष अनुदान (पुँजीगत ।,"८.६७,८५","१०,२७,४४","१०,६८.५८","१०,६८,५८",०,
२६४०० सामाजिक सेवा अनुदान,"८९,५३,०८","१,०८.६६९,३३","१,३०,२९,६९","१,०२,२९,३४","६,२४,२७","२१,७६.०८"
"२६४१० चालु २६४११ लु अनुदान सरकारी निकाय, समिति एवं","७३,३३,२०","८७,०३,५५","१,०८.३१,४५","८४,४६,२७","३,९१,४३","१९,९३,७५"
"बोर्डहरूलाई निःशर्त चालु अनुदान २६४१२ सरकारी निकाय, समिति एवं","२३,१३","३५,२६","८,२०","६,७०","१,५०",
बोर्डहरूलाई सशर्त चालु अनुदान,"६५,९१,४९","७६,४८,८१","८०,८०,९२","७६,४१,९३","१,६१,३९","२,७७,६०"
२६४१३ अन्य संस्थालाई अनुदान' W,"७.१८,५८","१०,१९,४८","२७,४२,३३","७,९७,६४","२,२८,२५४",१७.१६.१५
"२६४२० पुँजीगत अनुदान २६४२१ सरकारी निकाय, समिति, वोर्ड","१६,१९,व८","२१,६५,७८","२१,६८,२४","१७,८३,०४","२,३२,८४","१,८२,३३"
"- पुँजीगत निःशर्त अनुदान २६४२२ सरकारी निकाय, समिति, वोर्ड",,,,,,
— पुँजीगत सशर्त अनुदान २६४२३ दान अन्य संस्थालाई W पुँजीगत,१४.१८.१६,"१९,१०,९४","२०,३३,६१","१६,५४,१४","२,१६,१८","१,६३,२८"
२७००० सामाजिक सुरक्षा,,,,"२,५६,६४,२९","२,७१,२९",
