प्रशासनिक व्यय अनुमान,,,,,,अनुसूची - ७ (रु.लाखमा),
शीर्षक,२०७९/८० को,यथार्थ खर्च | २०८०/८१ को संशोधित,अनुमान | २०८१/८२ को,लक्ष्य नेपाल सरकार,स्रोत त्रहण,[___कँदेशिक,।
राष्ट्र प्रमुख,"१७,६१५","१९,७६","३०,३५७","२०,३७",,अनुदान [| o,करण ] ०
राष्ट्रपति,"१३,५१७","१५,०५",१५.१३,१५.१३,,०,०
चालु,"१२,२८","१३,१३","१३,८०","१३,८०",,०,०
पुँजीगत,"१,२९","१,९२","१,३३","१,३३",,o,o
उपराष्ट्रपति,४०८,४७१,"२,२४",२२४,,०,०
चालु,"४,०५",४५७,"२,०४","५,०४",,०,०
पुँजीगत,,3,१४,२०,२०,०,०
संवैधानिक अंगहरु,१८.६५.१३,"१२,५४,१७","१४,६५.३२","१४,६५,३२",,o,o
प्रदेश प्रमुखहरु,"१५,९९","१९,९९","२१,८४५","२१,८४५",,०,७
चालु,"14,89","१९,४३","२१,२१","२१,२१",,o,o
पुँजीगत,3z,,२६,६४,६४,०,०
संघीय संसद,"१,१३,०३","१,२०,०४","१,१०,७३","१,५०,७३",,o,०
चालु,"१,०६९.१३","१,१७,४०","१,४१,३९","१,४१,३९",,०,०
पुँजीगत,"३,९०","२,६४","९,३४","९,३४",,०,०
अदालत,"६5,८5,३२","६,८०.६६","८,१२,०७","८,१२,०७",,o,०
चालु,"२,०६,५९","२,००.१४","२५,८२,०५","२,८२,०४५",,०,७
पुँजीगत,"१,७९,७३","१,८०,५२","२,३०,०२","2.30,0%",,०,०
अख्तियार दुरुपयोग अनुसन्धान आयोग,"१,२०,९१","१,४०,८१",,,,०,०
चालु,"१,०४५,४८","१,३१,१७","१,७८,६० १,६५,७१","१,७८.६० १,६५,७१",,७,९
पुँजीगत,"१५,४३","९,६४","१२,८९","१२,८९",,०,०
महालेखा कार्यालय,"५२,१२",,,"७३,८०",,०,०
परीक्षकको चालु,"५१,३५","१९,९७ २९.१३","७३,८० ६४,८०","६४,८०",,०,०
पुँजीगत,७७,,"Ty ९,००","९,००",,०,०
'लोक सेवा आयोग,"८९,७९","९३,४५३","८९,२८","८९,२८",,०,०
चालु,"८व,७७","९२,७८","८७,७८","८७,७८",,०,o
पुँजीगत,"१,०२",,"७५ १,१०","१,१०",,०,०
निर्वाचन आयोग,"७,२८.१३",६८.११,"६१,६९८","६१,९८",,०,०
चालु,"७.१८,६४५","६०,१४५",%458,"43,55",,°,९?
पुँजीगत,1,"७,९६","१०,१०","१०,१०",,०,०
राष्ट्रिय मानव अधिकार आयोग,"२१,४८","२७,७९","२९,४५३","२९,४५३",,०,०
चालु,"२१,२०","२७,४८",,"२९,२३",,७,o
पुँजीगत,स्व,,"२९,२३ ३१",३०,३०,०,०
न्याय परिषद्‌,"४,७९","४,८७","५,६३",भद्र,,०,०
चालु,"४,७३","४,७५",२३८,%35,,०,०
पुँजीगत,,€,१२,२५,२५,०,०
राष्ट्रिय प्राकृतिक स्रोत तथा वित्त आयोग,"६,१६","८,७१","९,७०","९,७०",,o,o
चालु,"६5,0०२","८,४५९","९,५१","६,२५१",,९ ०,०
पुँजीगत राष्ट्रिय महिला आयोग,"७,२६","१४ ८,७७",१२ ८.१०,१९ ८.१०,१९,०,° ०
पुँजीगत,७.१२ १४,८.६७,"८,००","८,००",,o,०
चालु,,,१०,१०,१०,०,०
राष्ट्रिय दलित आयोग,"३,२७४","३,२४५",358,355,,०,०
चालु,"३,२१",३.१७,"३,७५","३,७५",,o,o
पुँजीगत राष्ट्रिय समावेशी आयोग,"३,०९","६ ३,०८",3 ४.१२,१३ ४.१२,१३,० ०,० ०
चालु,"3,00","२,९८८",३.९७,३.९७,,७,०
पुँजीगत,,९,१०,१५,१५,०,०
आदिवासी जनजाति आयोग,"२,८३",333,250,"३,८७",,०,०
चालु,"२,७८","३,१४","३,७७","३,७७",,०,०
,,,,१०,१०,०,
पुँजीगत,,र,९,,,,०
मधेशी आयोग,"३,४७","3,33","३,.९८",३.९८,,७,९
चालु,"३,४२","३,.२७",डे.ठ्व,३.८,,o,o
पुँजीगत थारू आयोग,"३,७२","तर ¥,0%",& ४.११,१० ४.११,१०,० ०,० ०
चालु,"३,६७",383,,,,७,9
पुँजीगत,[बि,,"४,०१ १६","४,०१ १०",१०,०,०
मुस्लिम आयोग,"२,७७","३,९४","४,०९","¥,0%",,०,०
चालु,"२,७२","३,७७","३,९९",३.९९,,९,९
पुँजीगत,"६,६२,१९,०६",%,१७,१०,१०,०,०
मन्त्रालय,"३,९३,४४","5,३६,१६,१०","७,९5,६३.५१","5,३४,८८.१०",,ILYERE,"१,२६,२८,४४"
प्रधानमन्त्री तथा मन्त्रिपरिषद्को कार्यालय चालु,"३.४४,३०","२,१४.१६","२,१९.१७ २,०३,३९","२,५१,१७",,"5,00",० °
,,"४,६९.१४५",,"४,९५,३९","८,0००",०,०
पुँजीगत अर्थ,"४९,१४","४५,०१","२५,७८ ४३,०१,५१","१५,७८८",,,o
मन्त्रालय,"१२,४७,९९","३०,५८,.०६",,"३२,४८,.२५",,"१०,५३,२६",
