T उत्तरदायी बजेट अनुसारको व्यय अनुमान २०८१/८२,,,,अनुसूची - © (रु.लाखमा)
आर्थिक वर्ष,,लाभ अप्रत्यक्ष लाभ,,जम्मा
१०१,राष्ट्रपति,० | ०],१५१३,१५१३
१०२,उपराष्ट्रपति,० ०,२२४,२२४
१०३,प्रदेश प्रमुखहरु,० ०,२१८५,२१८५
२०२,संघीय संसद,o o,१५०७३,१५०७३
२०४,अदालत,० ०,१२०७,८१२०७
२०६,अख्तियार दुरुपयोग अनुसन्धान आयोग,० ०,१७८६०,१७८६०
२०८,महालेखा परीक्षकको कार्यालय,० ०,७३८०,७३८०
२१०,लोक सेवा आयोग,(S ०,०,९२८
२१२,निर्वाचन आयोग,० ०,६१९८,६१९८
२१४,राष्ट्रिय मानव अधिकार आयोग,२९५३ ०,०,२९५३
२१८,न्याय परिषद्‌,० ०,२६३,२५६३
२२०,राष्ट्रिय प्राकृतिक स्रोत तथा वित्त आयोग,० ०,९७०,९७०
२२२,राष्ट्रिय महिला आयोग,८१० ०,०,८१०
२२४,राष्ट्रिय दलित आयोग,० इेदद,०,दद
२२६,राष्ट्रिय समावेशी आयोग,० ४१२,०,४१२
२२८,आदिवासी जनजाति आयोग,० ३८७,०,३८७
२३०,मधेशी आयोग,० ३९८,०,३९८
२३२,थारू आयोग,० ४११,०,४११
२३४,मुस्लिम आयोग,o ४०९,o,४०९
३०१,प्रधानमन्त्री तथा मन्त्रिपरिषद्को कार्यालय,० ३८७२,२२०४४५,२५९१७
३०५,अर्थ मन्त्रालय,२१७९३६ १८०९९१६,२२२९९,४३०१५१
३०७,"उद्योग, वाणिज्य तथा आपूर्ति मन्त्रालय",३८१५३ १५३४६,२६९०६,०४०५
३०८,"उर्जा, जलस्रोत तथा सिंचाई मन्त्रालय",२३३२०८ १६७९६६,३१३९,४०४३१३
३११,"कानून, न्याय तथा संसदीय मामिला मन्त्रालय",० ३४०,२११३,२४५३
३१२,कृषि तथा पशुपन्छी विकास मन्त्रालय,४१७९३७ ४७१८,०,२०२६५५
३१३,खानेपानी मन्त्रालय,१२४०१४ ३९१७२,०,१६३१९०
२१४,गृह मन्त्रालय,१०९९५५७५ TTRYYR,६६८३,१९८८७०७
३२५,"संस्कृति, पर्यटन तथा नागरिक उड्डययन",,,
मन्त्रालय,,३७८८० ११३९,१३३३०,२२३४९
२२६,परराष्ट्र मन्त्रालय,o १४१ ८९,4144,६७७४२
३२९,वन तथा वातावरण मन्त्रालय,२९३५० २०५२५२२,४८७५,११९७४७
३३६,"भूमि व्यवस्था, सहकारी तथा गरिवी निवारण",,,
मन्त्रालय,,२९४७ ७९१९,२२४४२,६६३०८
३३७ भौतिक तथा यातायात,पूर्वाधार मन्त्रालय,२६५२२८० ब३८०१वठ,१९०५,१५०५३२१
३४० महिला बालबालिका,तथा जेष्ठ नागरिक,,,
मन्त्रालय,,१३०७५ ०,०,१३०७४
३४३,युवा तथा खेलकूद मन्त्रालय,१८२६ ३३२२२,०,३५०४८
३४७,शहरी विकास मन्त्रालय,२४८७१३ ४३१६००,०,६८०३१३
