शीर्षक,२०७९/० को यथार्थ सङ्घतन,050/53 को संशोधित अनुमान,२०६१/८२ को लक्ष्य,वर्तमान स्रोतबाट,'कर परिवर्तन तथा प्रशासनिक सुधारबाट
३३३३१-अन्त:शुल्क -सुर्तिजन्य पदार्थ,२६१९३६,३१२०२६,३५४२५०,२३२२९४८,३१२९२
,२५९२१९,२१०६५३,३२५०९३९,३२५२०३,२५७३६
३३३३३-अन्त-शुल्क -बियर,३२६२१४,३४६३७२,३७६८२१,३५१००४,२५८१७
३३३३४-अन्त:शुल्क -अन्य औद्योगिक उत्पादन,१९३५९३,२२३६९०,२४२०२५,२२७५४०,१४४८४
बिशेष सेवामा लाग्ने कर,२००६७,३७११९,४०११९,३७९६९,२१५०
११४४२-स्वास्थ्यसेवा कर,३५,o,o,०,o
११४४३-शिक्षा सेवा कर- शैक्षिक संस्था,६वश,०,०,०,०
११४४४-शिक्षा सेवा कर- वैदेशिक अध्ययन,१९३४७,३६९५५,३९८४४,३७७१८,२१२६
११४४५-विद्युतीय सेवा कर (051),०,१६४,२७५,२५०,२४
"पुर्वाधारको उपयोग, वस्तु प्रयोगको अनुमति तथा कुनै कार्य संचालन गर्न अनुमती विँदा लाग्ने कर",२१२२११,४२१२२४,४६९४६२,४३७३३२,IR
११४५२-वस्तुको उपयोग तथा उपयोगको अनुमतिमा लाग्ने अन्य कर,४१३०,६७६९,७५५८,६९७९,५८०
११४५३-सडक मर्मत तथा सुधार दस्तुर,७१९३८,१०२३७२,११६८३८,१०५९३३,१०९०४५
११४५४-सडक निर्माण तथा सम्भार दस्तुर,३०२८६,४७०३३,२९८१७,२५५०३२,Yooy
ﬂwxx-lﬁjw,२०५८५७,२६४५०४९,२८४५२५०,२६९३९०,१५८६०
बस्तु तथा सेवामा लाग्ने अन्य कर,६६४५,१२३१,१३२७,१२४३,21
११४६१-वस्तु तथा सेवामा लाग्ने अन्य कर,६६४५,१२३१,१३२७,१२४३,31
बैदेशिक व्यापारमा आधारित कर,१५०८९५२,२२६२७४४,२६०४१६०,२३६५००३,२३९१५८
भसार महसुल तथा आयातमा लाग्ने कर,१४२७४०७,२१६१८४५,२४८४३५०,२२५५४०७,२२८९४३
११५११-भेंसार महसुल - आयात,१४२७४०७,२१६१ ८४५,२४८४३५०,२२५५४०७,२२८९४३
भन्सार महसुल निर्यात,३५०१,३२४२,३५९३,३३७७,२१७
११५२१-भेसार महसुल -निर्यात,२९७०,३१११,३४३२,३२२९,२०२
११५२२-निर्यात सेवा शुल्क,%39,१३१,१६२,१४७,१४
चैदेशिक व्यापारमा आधारित अन्य कर,७८०४३,९७६५६,११६२१८,१०६२२०,९९९८
११५६१-कृषिसुधार शुल्क,७४१२३,९३२६६,१११४४९,१०१७५३,९६९६
११५६२-भेसारसम्बन्धी अन्य आय,३९२१,४३९०,४७६८,४४६६,३०२
अन्य कर,१०,१०,[,७,१
११६९१-अन्यकर,१०,१०,ठ,७,१
अन्य राजस्व (गैरकर),९१७२०३,११६४७००,१३५०९३४,१२६६१२२,४०१२
सम्पत्तिवाट प्रापत आय,४७५१६०,६७११४१,दरो,७४०७०१,४८०१९
ब्याज,८७२१४,११९५९६,१४२१४९,१३३२०४,८९४५
१४१११-वित्तीय निकायबाट प्राप्त ब्याज,६५३३,६८४१,७४४४,७१९७,२४८
४११२-व्यापारिक निकायबाट प्राप्त ब्याज,३३०८,२०७८,२४४८,२२५७,१९०
१४११३-औद्योगिक निकायबाट प्राप्त व्याज,o,१८७,१८,१८२,&
१४११४-सेवामुलक निकायबाट प्राप्त ब्याज,४९२७१,२५५३७,२६३७१,४३०४,२०६७
४११९-अन्य निकायबाट प्राप्त ब्याज,२८१०२,२८४९२५३,७५६९८,६९२६३,६४३४
लाभांस,२७३९४२,४१५०८०,४९६०५५,४६५४२०,३०६३५
४१२१ -वित्तीय निकायबाट प्राप्त लाभांश,१४६८४४,२८२९५०,२४२८४२,२३७१७५,५६६७
१४१२३-औद्योगिक निकायबाट प्राप्त लाभांश,२२,४७७,%3z,४९७,३१
१४१२४-सेवामुलक निकायबाट प्राप्त लाभांश,१२७०७६,१३१३९४,२५२३४२,२२७४३६,२४९०६
४१२९-अन्य निकायबाट प्राप्त लाभांश,o,२५८,३४३,३१२,३१
भाडा तथा रोयल्टी,१०८६४४,१२८८३९,१४२४५५,१३४३६७,द्ण्द्द
१४१५१-सरकारी सम्पत्तीको वहालबाट प्राप्त आय,२८२३,२९७६,३८२६,३५०७,३१९
