"का,",क्षेत्रगत कार्यकम,'उपक्षेत्रगत कार्यक्रम,इकाई,आर्थिक वर्ष २०६०/६१ सम्मको अनुमान,आर्थिक वर्ष २०६१/८२ को अन्त्यमा हुने,कैफियत
,,'एकल तथा विधवा महिला,जना,२५६९०२०,२७९७४३,
,सामाजिक,पूर्ण अपाङ्ग,जना,६५३४१,६७०५८,
,सुरक्षा,अति अशक्त अपाङ्ग (ख वर्ग),जना,१३६८०४,१४३४८४,
,,लोपोन्मुख जाति,जना,२२२८१,२२३६७,
,,दलित नालनालिका,जना,३७३६८२,३४९१२८,
१६,,बाल संरक्षण अनुदान,जना,५०२६४१,७७७६०५,
,,बैकिङ प्रणासी मार्फत सामाजिक सुरक्षा ता. वितरण गर्ने स्थानीय तह,सख्या,७५३,७५३,
,सीमा सुरक्षा,बि.ओ.पि.,संख्या,२५४,२६०,
,सीमा सुरक्षा,बि.ओ.पि. भवन निर्माण,संख्या,१३९,१५१,
,राष्ट्र परिचयपत्र,राष्ट्रिय परिजषजको लागि विवरण संकन,जना (लाख),नागरिकता प्रापतसबै नागरिकको नागरिकको,नागरिकता प्राप्त सबै नागरिकको नागरिकको,
,विपद्‌ - ब्यवस्थापन,जिल्ला आषतकालीन कार्य सञ्चालन केन्द्र,जिल्ला,७७,७७,
,,"लघु, घरेलु, साना, मझौला तथा ठुला उच्चोगहरूको स्थापना र सञ्चालन मार्फत थप रोजगारी सिर्जना",हजार,१६१,१६९,
१७,उच्चोग,उच्चमीको स्तरोउन्नती लघु उच्चमीको स्तरोउन्नती,संख्या (हजार),"३,६४५",३.७८,
,,लघु उचयमी सिर्जना लगायतका अन्य कार्यक्रम मार्फत थप रोजगारी सिर्जना,सख्या (हजार,,,
,,तोकिएको दुर्गम जिल्लामा खाद्यान्न ढुवानी,मे.टन (हजार),१७.१०९,२०,
१८,आपूर्ति,राष्ट्रिय खाद्य सुरक्षा भण्डारणमा खाद्यान्न भण्डारण,मे.टन (हजार),९.८७८,,
,,सार्क खाद्य बैंकमा खाद्यान्न,. मे.टन (हजार),३,,
,,तोकिएको दुर्गम जिल्लामा आयोडिन युक्त = छ ढुवानी,भेटन (हजार),७.१७६,"५,१६०",
,,निकासीमा वृद्धि,रू. अर्ब,४३९,१५.१९,
१९,वाणिज्य,निर्यात आयात अनुपात,अनुपात,०१:१०.२,०१:०६.४,
,,कुल गार्हस्थ उत्पादनमा निकासीको अनुपात,अनुपात,०१:३७.५,०१:३५.४,
,,सेवाग्राहीले घरबाटै वा नजिकैको सेवा केन्द्रबाट जग्गा सम्बन्धी कारोबार गर्न सक्ने प्रविधिको विकास,सेख्या,१२६,१३५,
,,नाप नक्सा तथा भूमि व्ववस्थापन तालिम प्राप्त संख्या,जना,११५००,१२०००,
२०,भूमि व्यवस्था,- प्रणालीमा स्थानीय तहको पहुँच विस्तार < गर्ने,स्थानीय तह,शशू,१००,
,,प्रणाली मार्फत नापी कार्यालव८ सेवा - प्रवाह गर्ने,कार्यालय,,९८,
,,स्थापना गर्ने,संख्या,,,
,,सहकारी बजार स्थापना,संख्या,०,०,
,,सहकारी संघ संस्था संख्या,संख्या (हजार),३१.४५,३१.६,
,,सहकारी संघ संस्थाको कूल सदस्य संख्या,लाख,७३.८३,,
,,सहकारी संस्थाको कुल निक्षेप संकलन,रू. (अर्ब),४७८.११,४७९,
,,सहकारीमार्फत प्रत्यक्ष रोजगारी,जना (हजार),९४.०२,९४५१,
२१,सहकारी तथा,सहकारी क्षेत्रबाट कर्जा प्रवाह,रू. (अर्ब।,४०५,४०,
,गरिवी निवारण,सहकारी संघ संस्थाको शेयर पुँजी,रू. (अरबी,९४:७२,९४१०,
