शीर्षक,२०७९/८० को यथार्थ सङ्घतन,२०८०/८१ को संशोधित संशोधित अनुमान,२०८१/८२ को लक्ष्य,वर्तमान स्रोतबाट,'कर परिवर्तन तथा प्रशासनिक सुधारबाट
१४३१३-घरौटी सदरस्याहा,२५०२,२५५९,२५९१,२५०४,८७
अनुदान बाहेकको हस्तान्तरण,K,¥,६,%,१
चालु हस्तान्तरण,R,¥,&,%,१
१४४११-चालु हस्तान्तरण,२,¥,g,[,१
विविध राजस्व,२४४१२,६११०८,७७६१२,७१२९४,६३१८
चालु दावी तथा अन्य शुल्क,3,3,¥,¥,o
१४५११-बीमादावी प्राप्ति,3,3,¥,¥,०
अन्य राजस्व,४२८३,६१००४,७७४७५,७११६९,६३०६
१४५२१-प्रदुषण नियन्त्रण शुल्क,३०९८,३३८४६,३९९१८,३६७४४,३१७३
१४४५ २९ -अन्य राजस्व,२३२९५,२७१५८,३७५५७,३४४२५,२१३२
पूँजीगत राजस्व,१२६,१००,१३४,१२२,१२
"१४५३१-सरकारी घर, जग्गा, गुडवील बिक्रीबाट प्राप्त रकम",१२६,१००,१३४,१२२,१२
राजस्व जस्मा,९४७३२४८७,77370953,7¥7¢3030,73751865,१०११०५१
विविध प्राप्ति,२३३०२४५,२२५०९९,०,०,o
विविध प्राप्ति,२३३०२५,२२५०९९,o,०,o
१५१११-बेरूजू,२०९३४०,३७२५०,०,०,०
१५११२-निकासा फिर्ता,३६८३८,१३७८८,o,o,o
१५११३-अनुदान फिर्ता,२८६८४८,१७४०६०,o,o,o
जस्मा (राजस्व/प्रापति»,१०१०५४१२,१२४२४२८०२,१४०११३०३०,१२१०१९५८,१०११०५१
राजस्व बाँडफाँट,१२०२४७४,१४२९६२४,१५९००००,१४९४७५९,९५२४१
सङ्घीय सञ्चित कोषमा दाखिला हुने राजस्व,८९०४०३८,१११०५६५८,१२६०३०३०,११६८७२०९,९१५८२०
