,२०८१/८२ को लक्ष्य,,,,कुल अनुमानको
शीर्षक |,जम्मा | |,का ।,प्रदेश,स्थानीय तह,प्रतिशत
सामान्य सार्वजनिक सेवा,"९,३२,८७,८२","५,२४,००,१३","९६,४५,०८","३,१२,४२,६१",२०.१५
"कार्यकारी र विधायिकाको निकाय,आर्थिक तथा वित्तिय र वैदेशिक मामिला","८०,०५,८९","८०,०५,८९",०,७,
बाह्रय आर्थिक सहायता,"४,४८,२५","४,४८,१५",०,०,
सामान्य सेवा,"७६,४४,१२","७६,४४.१२",०,o,
आधारभूत अनुसन्धान,"१,१६,०५","१,१६,०५",०,०,
सामान्य सार्वजनिक सेवामा अनुसन्धान तथा विकास,"१,१६,४६","१,१६,४६",०,०,
सामान्य सेवा - अन्यत्र वर्गीकृत नभएको,"२२,०५,९९","२२,०५,९९",o,o,
सार्वजनिक T कारोवार,"३,३७,०२,९९","३,३७,०२,९९",o,o,
विभिन्न तहका सरकारहरु वीच हुने सामान्य प्रकृतिको हस्तान्तरण,"४,१०,०७,७७","१,२००","९६,४५,०८","३,१२,४२,६१",
रक्षा,Y5351,"५८,२८,५४",o,०,393
सैनिक सुरक्षा,"४८,०२,४७","५८,०२,४७",०,०,
नागरिक सुरक्षा,"२५,५९","२५,५९",०,७,
रक्षा - अन्यत्र वर्गिकृत नभएको,थ्व,श्,o,o,
सार्वजनिक शान्ति सुरक्षा,"७५,१४,७०","७५,१४,७०",०,०,४.०४
प्रहरी सेवा,"२५,३२२५,५२",L3R,o,o,
अग्नी नियन्त्रण सेवा,"१,९५","१,९६५",०,०,
न्यायालय,"१०,०७,७५","१०,०७,७५",०,०,
कारागार,"३,०२,२५","३,०२,२५",o,o,
सार्वजनिक शान्ति सुरक्षामा अनुसन्धान तथा विकास,"४,००","४,००",o,७,
सार्वजनिक शान्ति सुरक्षा - अन्यत्र वर्गिकृत नभएको,"€,63,23","5,5२,९३",०,o,
आर्थिक मामिला,"३,८३,२६,०५","३,८३,२६,०५",०,०,२०.६०
"सामान्य आर्थिक, व्यापारिक र श्रम मामिला","८.६८,.३६","८.६८,३६",o,o,
"कृषि, वन , मत्स्यपालन तथा शिकार","१,०८,६८,.११","१,०८,६८,११",o,o,
इन्धन तथा उर्जा,"४५,६७,४४","४५,६७,४४",o,o,
"खानी , उत्पादन तथा निर्माण","१,५१,६२,९४","१,५१,६२,९४",०,०,
यातायात,"२०,०८.६५","२०,०८.६५",०,०,
संचार,"६,९१,१४","६,९१,१४",o,o,
अन्य उद्योगहरु,"५,२९,७३","५,२९,७३",०,०,
अनुसन्धान तथा विकास - आर्थिक मामिला,"४,३२,७३","४,३२,७३",o,o,
आर्थिक मामिला - अन्यत्र वर्गिकृत नभएको,"३१,९६६,९५","३१,९६६,९५",०,o,
वातावरण संरक्षण,"८,४९,००","z,¥%,00",०,०,०.४६
फोहोर मैला व्यवस्थापन,"१,३२,१८","१,३२,१८",०,०,
ढल व्यवस्थापन,"१,१६,४३","१,१६,४३",०,०,
जैविक विविधता र भू-संरक्षण,"१,६४,७७","१,६४,७७",०,०,
अनुसन्धान तथा विकास पर्यावरण संरक्षण,"१४,८४","१४,८८४",o,o,
बातावरण संरक्षण - अन्यत्र वर्गिकृत नभएको,"४,२०,७८","४,२०,७८",o,०,
आवास तथा सामुदायिक सुविधा,"६७,०३,०८","६७,०३,०८",०,०,३.६०
आवास विकास,"३९,०६,०८","३९,०६,०८",०,०,
