,,,[संघ,,,प्रदेश,स्थानीय तह,कुल | अनुमानको
,निकाय,कुल जम्मा,जम्मा |,/कुँजीगत चालु; |,निती |,|,,प्रतिशत
१०१,राष्ट्रपति,"94,93","14,93","12,93",०,०,०,०.०१
१०२,उपराष्ट्रपति,"५,२४","५,२४","५,२४",o,o,७,०.००
१०३,प्रदेश प्रमुखहरु,"२१,८४५","२१,८५","२१,८४५",o,o,०,०.०१
२०२,संघीय संसद,"१,१०,७३","१,५०,७३","१,१०,७३",o,o,०,०.०८
२०४,अदालत,"८,१२,०७","८.१२,०७","८,.१२,०७",०,०,०,०.४४
२०६,अख्तियार दुरुपयोग अनुसन्धान,"१,७८,६०","१,७८,६०","१,७८,६०",o,o,o,o090
२०८,महालेखा परीक्षकको कार्यालय,"७३,८०","७३,८०","७३,८०",o,o,o,o.0y
२१०,लोक सेवा आयोग,"य्९,स्व",९.२,"८९,२८",o,o,७०,०.०५
२१२,निर्वाचन आयोग,"६१,९५८","६१,९८","६१,९८०",०,०,०,o0.03
२१४,राष्ट्रिय मानव अधिकार आयोग,"२९,४५३","२९,४५३","२९,४५३",०,०,०,०.०२
२१८,न्याय परिषद्‌,"9,63","¥,83","2,83",o,o,o,"0,00"
२२० आयोग,राष्ट्रिय प्राकृतिक स्रोत तथा वित्त,"९,७०","९,७०","९,७०",o,o,०,०.०१
२२२,राष्ट्रिय महिला आयोग,८.१०,"८,१०","८,१०",o,o,6७,0.00
२२४,राष्ट्रिय दलित आयोग,"इ,दठ",ER=S,ER=,o,o,6७,0.00
२२६,राष्ट्रिय समावेशी आयोग,४.१२,"४,१२","४,१२",०,o,७०,0.00
२२८,आदिवासी जनजाति आयोग,"३,८७","३,८७","३,८७",o,o,6७,0.00
२३०,मधेशी आयोग,"३,५९८","३,९८","३,९८",o,o,०,0.00
२३२,थारू आयोग,"४,११","४,११","४,११",o,o,०,000
२३४,मुस्लिम आयोग,"४,०९","¥,0%","४,०९",o,o,७०,0.00
३०१ कार्यालय,प्रधानमन्त्री तथा मन्त्रिपरिषद्को,LSS,"449,96","२,५९,१७",०,०,०,०.३०
३०५,अर्थ मन्त्रालय,"२,२२,८८६,०६","४८,६१,५५","४३,०१,५१",",६०,०४","७०,७४,५१","{,0340,00",११.९८
३०७,"उद्योग, वाणिज्य तथा आपूर्ति मन्त्रालय","९,२८,२२","८.२५,५६","८,०४,०५","२१,५१",०,"१,०२,६६",०.५०
३०८,"उर्जा, जलस्रोत तथा सिंचाई मन्त्रालय","८७,१५,९९","व६,९७,९९","४०,४३,.१३","४६,५४,८५","४८,००",०,४.७१
३११,"कानून, न्याय तथा संसदीय मामिला मन्त्रालय","५४,४५३","५४,४५३",LY U3,o,o,०,003
३१२ मन्त्रालय,कृषि तथा पशुपन्छी विकास,"५७,२९,०५","२२,९०,५५","२०,२६,५५","र२,६४,००","१,१५,६६",33TY,३.०८
३१३,खानेपानी मन्त्रालय,"२६,६३,४७","२३,३२,२८","१६,३१,९०","७,००,३८","१,२५,९२","२,०५,२७",१.४३
३१४,गृह मन्त्रालय,"१,९९,२४,३४","१,६८,८७.०७","१,६८,८७,०७",०,०,"३७,२७",१०.७१
३२५,"संस्कृति, पर्यटन तथा नागरिक उड्डययन मन्त्रालय","११,९१,१५","2,005","५,२३,४९","३,७६,६९",०,"र२,९०,९७",०.६४
३२६,परराष्ट्र मन्त्रालय,"६,७७,४२","६,७७,४२","६,७७,४२",०,०,०,०.३६
२२९,वन तथा वातावरण मन्त्रालय,"१५,७०,९१","१२,४७,४७","११,९७,४७","40,00","२,८७,९९","३५,४४५",०. ८४
३३६,"भूमि व्यवस्था, सहकारी तथा गरिबी निवारण मन्त्रालय","६,८२,६२","६,६३,०८","६,६३,०८",०,o,"१९,११४",०.३७
३३७,भौतिक पूर्वाधार तथा यातायात,"१,५०,५३,२१","१,५०,५३,२१","१,५०,५३,२१",o,o,०,द.०९
