सम्पत्ति,३२ आषाढ,२०८२,३१ आषाढ,२०८१
अमूर्त सम्पत्ति,"१,०२",,४७,
सम्पत्ति तथा उपकरण,"१,६९,५८",,"१,३२,११",
'लगानी सम्पत्ति,०,,०,
स्थगन कर सम्पत्ति,"२,४५५",,"१,१५",
'लगानी,"७,७०,६८",,,
तथा सापटी,"१०,७०",,"२४,४४",
चालु कर सम्पत्ति (खुद),३३६,,०,
अन्य सम्पत्ति,"१८,६१",,"३२,२३",
अन्य वित्तीय सम्पत्ति,"६९,१४७",,"१,६८,५९",
नगद तथा नगद सम्पत्ति,"५१,७७",,"२२,३३",
कुल सम्पत्ति,,"१०,९७,३५",,"१०,०४५,८४"
'कोष तथा दायित्व,,,,
सञ्चित कोष,"७,७८,८९",,८६४५९१,
अन्य कोषहरू,"३,०५,३५",,१२९०४५,
कुल सञ्चित कोष,,"१०,८४,२४",,"९,९४,९६"
