विवरण,२०८१।८२,,२०८०।८१,
बिमा नजारबाट प्राप्त हुने आन्दानी,,,,
सेवा शुल्क,"१,८६,४८",,१.६१.१३,
दर्ता एवं नीक९०५ शुल्क,वदर,,"५,६०",
"दण्ड, जरिवाना तथा अतिरिक्त शुल्क आम्दानी",०,,५,
नेपाल सरकारबाट प्राप्त अनुदान,९,,,
ब्याज आम्दानी,"३३,२०",,"२१,७०",
अन्य आम्दानी,"२,४२",,"१,४४५",
कुल आम्दानी,,"२,३१,०१",,"२,१९,९६"
सञ्चालन खर्च,,,,
कर्मचारी खर्च एवं भत्ता,"२३,४२",,"१९,६०",
सञ्चालन खर्च,"१६,१९",,"१६,३३",
वित्तीय खर्च,३५,,१८,
हास कट्टी तथा परिशोधन खर्च,"३,३८",,"२,८२",
कुल खर्च,,"४३,३४",,"३८,९३"
आयकर अघिको खुद बचत,,"१,८७,६७",,"१,८१,०३"
आयकर व्यवस्था,"४७,९७",,"४६,८६",
स्थगन कर खर्च/(आम्दानी।,(९५),,"१,७१",
कुल कर खर्च,,"४७,०२",,"४८,५१७"
आयकर पछिको खुद बचत,,"१,४०,६५",,"१,३२,४६"
