छि,ना,,,दा.
आन्दानी,,,,
नेपाल €९क९१॥८ प्राप्त अनुदान,"१,७९,२०",,"१,६२,७२",
ब्याज आय,"१३,९४५",,"१९,१८",
दर्ता इुल्कबाट आय,"३३,१०",,"३१,९६",
उपदान कोषको लागि प्राप्त निकासा,८२१,,,
शिक्षण संस्थाहरूको अस्थायी मान्यता शुल्क,८०२,,,
इथिकल।क्लिबरन्त तथा नो जन्जक्सन लेटर,"२,३६",,,
बिविध आय,"२,०६",,"३,९४५",
अनुबानबाट प्राप्त सम्पत्तिको आन्दानीमा सारिएको,"३०,३१",,"३३,९९",
कुल आम्दानी,,"२,७७,४४",,"२,६०,२४"
खर्च,,,,
त्रशासनिक खर्च,"२६,४४",,"५४,९७",
कार्यालय सञ्चालन खर्च,"९७,२१",,"८४,९१",
हास खर्च,"३१,८७४",,"३६,१७४",
कार्यक्रम खर्च,"६०,९३",,"४३,४०",
