सेयरधनीहरू,कबुल गरेको रकम,चुक्ता गरेको रकम,| चुक्ता गर्न बाँकी रकम
उर्जा जलश्रोत तथा सिँचाइ मन्त्रालय,"२,००,००,००","२,००,००,००",। ०]
अर्थ मन्त्रालय,"५०,००,००","५०,००,००",| ०]
कानुन न्याय तथा संसदीय मामिला मन्त्रालय,"40,00,00","40,00,00",_
नेपाल विद्युत प्राधिकरण,"१,००,००,००","33,00,00","६७,००,००"
कर्मचारी सञ्चय कोष,"१,००,००,००","33,00,00","६७,००,००"
नागरिक लगानी कोष,"५०,००,००","१६,५०,००","33,%0,00"
नेपाल दूरसञ्चार कम्पनी लिमिटेड,"१,००,००,००","१३,००,००","८७,००,००"
जलविद्युत लगानी तथा विकास कम्पनी लिमिटेड,"४०,००,००","२६,८८,००","१३,१२,००"
राष्ट्रिय बिमा संस्थान,,,
जम्मा,"७,१०,००,००","४,२८,९८,००","२,८१,०२,००"
