,,,,
जबरण,२९ भाषाङ,,आषाढ,२०७-
वर्षको जिन्मेवारी,,"५,२२,१९,६८",,"४,७३,१४,८४"
गत वर्षको धरौटी जिन्मेवारी,,"७,०४,९३",,
यस वर्षको आय,,,,
कर्मचारी कल्याण कोष,२.१६,,"१,९१",
घर जग्गा सापटी कोष,"३०,३०",,"€०,३%",
पेन्सन उपदान कोष,"३०,३९,४०",,"१७.७३,६३",
अक्षय कोष,"११,७४.११",,"६,.२०,६८",
शाखा आम्दानी,"१७,६८.७२",,"१४,९८,.३५",
मालपोत कार्यालयबाट आम्दानी,"३,७२,२७",,"१,३९,८२",
ब्याज,"४४,५८,६७",,"२९,८९,३४",
घर भाडा,"४,१४,२०",,"२,०९,४५२",
धरौटी,"२,६४,३४५",,,
'यस वर्षको आय,,"१,१५,२४,२५६",,"७२,९३,६४"
कुल आय,,"६,४४,४९,१७",,"२,४६,०८,४८"
प्रशासनिक खर्च,"१३,६२५.१९",,"१३,२७,४०",
पर्व पूजा खर्च,"१२,५६,९९",,"११,०२,.६२",
निर्माण तथा मर्मत सम्भार,"१,०९,९२",,"१,३६,७७",
विविध खर्च,"३९,९५",,"४५,८०२",
कुल खर्च,,"(२७,७२,०५)",,"(२६,१२,६१)"
कर्मचारी कल्याण तथा घरजग्गा कोष,,,९४३,
पेन्सन उपदान अक्षय कोष,"१,४९,३९",,"१,६०,.६६",
गुठी कोष तथा अन्य खर्च,"३७,१२,३३",,"६,०४.१८",
धरौटी खर्च,"३,३२,०४",,,
कुल कोष खर्च,,"(३,३३,५९)",,(७.६६.३७)
आगामी वर्षको लागि जिम्मेवारी,,"२,७४,४३,३१",,"५,१२,२९,४१०"
कुल व्यय,,"६,४४,४९,१७",,",§,०५,५"
