"क्रस,",मन्त्रालय / 'निकायको नाम,लि,,जि ।,,लि,,कार्यसञ्चालन कोष,,[जन्म,रकम
,,[एकाइ,रकम,| ।_ ।|एकाइ],रकम,एकाइ,रकम,एकाइ,रकम,@R,
१,।|कोशी प्रदेश,६],१४४८९०३,६|,| १०७०७६२,,| | ६|१३६७९७,| ३|,२२४४४३,६|,२८८०९०५
२,।|मधेश प्रदेश,९,१६२००००,९,६६५८२८,९|,९६४५७,९],५३१९२८,९|,२९१४२१३
३,।|बागमती प्रदेश,१०|,२२६९४६८,९|,१६९९४९३,,९|४१३२६१,3|,३८२८१०|],१०|,४७६:५०३२
४,गण्डकी प्रदेश,७,३९७६०८,६],१६८९९१४,६],७३३४,२|,१३८०८४|,७|,२२३२९४०
५,लुम्विनी प्रदेश,3,१५५३६७,3|,१२५८६६७,३,२३९४,3,२१८८|,३],१४१८६१६
६,।कर्णाली प्रदेश,१,११२४२२],१],२०३,१,5२४],०],न,4],११३२७९
७,सुदूरपश्चिम प्रदेश,¥,¥3090§,3,र्व्व्व,४|,४७७७९,१,७७|,४|,४८०८५०
[जम्मा,,४०,६४३३०७४,३५],६३८७७५४५,३८|,७०४६७६,,२१|१२७९५३०|,४०],१४८०५८३५
| अन्य संस्था तथा समितितर्फ,,,,,,,,,,,
[१,बागमती प्रदेश,[|] |,,[_-] |,],| ],|,,३|१८०७५४५१,3|,१८७५४५१
२,।गण्डकी प्रदेश,श्बि |,,श्ब्छि,7],|],|],,२|२१७८१९५|,|,२१७८१९५
| जम्मा,,। -],जु,| जु,जज,जु,जज],,५]४०५३६४६],२],४०५३६४६
कुल जम्मा,,४०,,,,,,,,,
