न्ब,प्रदेश,,[बा ],,,,,,,ब्यय,,,,मौज्दात बाँकी
,,तह | सङ्ख्या |,गतवर्षको जिम्मेवारी,| 9,प्रदेश | अनुदान |,राजस्व | बाँडफाँट,आन्तरिक | | आय |,अन्य आय/ कोष समेत,जम्मा आय |,[ चालु खर्च,उुबुात,अन्य खर्च,| जम्मा खर्च,
4],[कोशी,१२८],_९२०३४|,४७७९३०],४४९२९|,१३६५१५|,४११०६|,२३८४२४|,१०३०९३८|,४५४४३४५,२२९४२१,२५२४१३,,९३६६९
,२_]मधेश,११९],१०८६१०|,४२३००४५|,२२५१४|,१२०३३४|,२३४६६|,१९२३९२|,८5९०३२१|,३४३७३३,१९८९६१,२४५१८७८,,९५७४९
2,[बागमती,[११४],३२१३६२],५१००११[,७७०२],२२१४१३]|,१६०१९९],२४५३९५|,१५४३४०४],५६६९३१,३०६९२६,२९१४५५,,२९८०९२
४,[गण्डकी,८५],६८०२५४|,३५४५३१४|,१०१४८]|,९३४५०८|,३५२७५],१३५३७२],७०१९४५३|,३२४७३७,१५७३३०,१५४५२३७,,55६४९
%,लुम्बिनी,[१०४],९९११],४८६७४९],२९३८९],१३१००५],४०३८२],२२३३४५३],१०१७९९४५|,४४७६६९,२११९०२,२५६४५५,,१०१९६९
६ ६,कर्णाली,७९],३७६००|,२७६३०१|,४३७०१|,६४६४९|,७००४],९०५८४५|,uzosvo|,२६००९९|,११९०७३|,१०७७८१,,३२८८७
७,,,४६९०१|,३०२४७५|,३०२५१|,5८०९६|,१०७९८]|,१३८२२९|,_६२४७५०|,३०१०५४|,१२१३१३|,१५५६३८|,ooy,६७४५
,,,,२०३१७८५,| २६५९५६ |,८५५६०० |,३४३०३२ |,१२६३७५० |,६३३४००१,| २७००४५८,| १४२४९२६,| १४७०८५७ |,५४५९६२४१,[ ७३७७६० |]
