आर्थिक वर्ष,समानीकरण अनुदान |,ससर्त अनुदान,विशेष अनुदान,| समपूरक अनुदान,| जम्मा |
सङ्घीय सरकारबाट प्राप्त,,,,,
२०७७।७८,८९९७३२ |,१८३३०२५,८३४१,₹०८०६,| २८४१९८४
२०७८।७९,९४५२७१ |,१८४१९२६,५८४०९,४४०२७,| २८८९६३३
२०७९।८०,९२६९८४|,१९२८८०३,६८३००,२८७५,| २९७६९६२
२०८०।८१,८१२२५९,१७१३००७,६०१५८,४८५४०|,२६३३९६४
२०८१।८२,| ८०७४१३ |,१८१३९२७,९९१०,४४८२६,| २७२६०७६
प्रदेश सरकारबाट प्राप्त,,,,,
२०७७।७८,५३५७६,९४०९,७४४७९,२७७२६,२४४११९०
२०७८।७९,७१०५७,८७२११,२१४४५१,७३११,२३७०३०
२०७९।८०,७३०९४५,१०८८७८,२४८२३,७१४७,२६३९४३
२०८०।८१,७०४८०,७९५०३,१५१९०,४६९२४|,२१२०९७
२०८१ । ८२,७६०४४,१०८३१६,३४४४०,४५८७२,२६४६७२
