क्रस. |],| प्रदेश,जिल्ला,स्थानीय तहको नाम,लेखापरीक्षण बक्यौता आर्थिक वर्ष
[१,कर्णाली,हुम्ला,चंखेली गाउँपालिका,२०७९।८०
२ |,बागमती,रामेछाप,लिखु तामाकोशी गाउँपालिका,२०७५।७६
३ |,मधेश,सप्तरी,छिन्नमस्ता गाउँपालिका,२०७८।७९
४ ।,मधेश,धनुषा,कमला नगरपालिका,२०७८।७९
५ ।,मधेश,धनुषा,धनौजी गाउँपालिका,२०७८।७९
६ |,मधेश,धनुषा,औरही गाउँपालिका,२०७७।७८
७ ।,मधेश,धनुषा,जनकपुरधाम उप-महानगरपालिका,२०७५।७६
८,|मधेश,सर्लाही,ब्रम्हपुरी गाउँपालिका,२०७७।७८
९ ।,मधेश,सर्लाही,बलरा नगरपालिका,२०७७।७८ र २०७४। ७५
१० |,मधेश,सर्लाही,कविलासी नगरपालिका,२०७५।७६
११ |,मधेश,सर्लाही,बसबरिया गाउँपालिका,२०७५।७६
१२ |,मधेश,महोत्तरी,सम्सी गाउँपालिका,"२०७७।७८, २०७४।७५ T २०७३। ७४"
१३,| मधेश,महोत्तरी,रामगोपलपुर गाउँपालिका,२०७७।७८
१४ |,मधेश,महोत्तरी,गौशाला नगरपालिका,२०७३।७४
१५ |,मधेश,महोत्तरी,लोहरपट्टी नगरपालिका,२०७३।७४
१६,| मधेश,महोत्तरी,पिपरा गाउँपालिका,२०७३।७४
१७ |,मधेश,रोतहट,कटहरिया नगरपालिका,२०७६ ।७७
१८ ।,मधेश,रोतहट,राढीमाई नगरपालिका,२०७६।७७
१९ |,मधेश,पर्सा,घोबिनी गाउँपालिका,२०७७।७८
२०,| मधेश,पर्सा,पकहा मैनपुर गाउँपालिका,२०७६।७७
२१ |,मधेश,पर्सा,पोखरिया नगरपालिका,२०८१।८२
