क.स.,तालिम विषय,सञ्चालन मिति,] सङ्ख्या
१.,अनबरत पेसागत शिक्षा,"२०८२।२।११ देखि १३, २०८२।२।१९ देखि २१, २०८२।२।२२ देखि २५, २०८२।२।२६ देखि २८",४५७
२.,शार्वजनिक संस्थानका लेखापरीक्षकहरूसँग अन्तर्निरवा कार्यक्रम,२०८२।२।२६,
३.,"लेखापरीक्षण गराउने प्रयोग गर्ने एकल खाताको प्रणाली, राजस्व व्यवस्थापन एवं सम्पत्ति व्यवस्थापन प्रणालीलमावत तालिम","२०८२।२। २९, २०८२।३।२९ र २०८२।३। ३०",३०२
,,,
४.,नबनिवुक्त लेखापरीक्षण अघिकारीहरूका लागि अभिशुषीक९० तालिम,२०८२।३।३,२३
[म,आधारभूत क्ार्वभूलक लेखापरीक्षण तालिम,२०८२।३।१७ देखि २०,थ्व
६.,नेपाल लेखापरीक्षण व्यवस्थापन प्रणाली सञ्चालनशन्जन्धी तालिम,२०८२।३।२२ र २०८२।६।३०,९०
७.,गुणस्तर आश्चस्तता,२०८२।३।२४,११०
,,,
८.,कार्यमूलक लेखापरीक्षणमा नागरिक सहभागितासषम्बन्धी अन्त्न्रिषा कार्यक्रम,२०८२।३।२६र २०८२।९।१७,९६
९.,कर तथा भन्सार लेखापरीक्षणसम्वन्धी १ दिने तालिम,२०८२।४।२६,३१
१०.,एकल वा संयुक्त लेखापरीक्षणसम्बन्धी अभिमुखीकरण तथा निर्देशन कार्यक्रम,२०८२।४।२१,३२५
,,,
११.,बिकास साझेदारको सहयोगमा सञ्चालित आयोजनाको लेखापरीक्षण सम्बन्धी तालिम,२०८२।६।२४,३
,,जम्मा,१६४४
