. क्र. सं.,अन्तालय न्त्रालय/निकायको नाम,विनियोजन खर्च,,राजस्व,,टी,,अन्य कारोबार,,[जम्मा,
,,एकाइ,रकम,| एकाइ,| रकम,एकाइ,] रकम,एकाइ,रकम,एकाइ,। रकम
२२,स्वास्थ्य तथा जनसङ्ख्या,२७५,१०८१४४५५,५९,८५७३,४९७,४३६४६|।,०],०],८३१,११३३६७४
२३,राष्ट्रिय पुनर्निर्माण प्राधिकरण,३२,३८९५४६,,०],१५,१३३२०३,| ०] |,०],४७,२२२७४९
।,सङ्घ तर्फको जम्मा,,,|,,,,३३|,१२८०५९३ |,३०४८,६७९३८०५
,प्रदेशतर्फ,I,D,D,R,D,,,,,
१],कोशी,,,,,,ol ०,६,१०७५०८०|।,११,२९१९४४५
2,मधेश,,,,,१,,| ol,०,३,»५१७१११
३,बागमती,| ०],,| ०],,| ०],,[०] ।,०],। ०] |,०]
४,गण्डकी,१,१७१०७,१,१०,१,38,| ०],०],३,१८०५३
प्‌,लुम्बिनी,| ०] ।,०],| ० | ।,०],। ०],। ०],। ०] ।,०],। ०] ।,०]
६,कर्णाली,२,१६८४११|।,o],०,०,०],o],०],२,१६८४११
७,सुदूरपश्चिम,१,४७४३,| ०] |,०],| ०],| ०],। ०] |,०],१,४७४३
,प्रदेशतर्फको जम्मा,[,८०९८२४,¥,१२२१,२,२६३७,६,१८७५८०,२०,१००४२६३
,सङ्घ र प्रदेशतर्फको कुल जम्मा,१०८२,१२३९२३८ |,५१९ |,५२५०८४,| १४२८|।,५६४५५७३,३९,१४६८१७३ |,३०६८,७७९८०६८
