,,,,
,छ,,प,७ रट
सम्पत्ति,,,,
नगद तथा नगद समान सम्पत्ति,"१७,९२,७५",,"१५.१०,१५",
बैङ्क तथा वित्तीय संस्थामा रहेको मौज्दात,"१,५५,४३,२७",,"१,६७,९०,३१",
सञ्चकर्तालाई कर्जा तथा सापटी,"२,८२,८८.२६",,"२,६२,५०,०६",
परिवोजना तथा संगठित संल्थालाई कर्जा तथा सापटी,"८७,२१,४०",,"८७,३२,४०",
कर्मचारीलाई कर्जा तथा सापटी,"२,४९,७७",,"२,३१,८४",
वितोपत्रमा लगानी,"७२,२३,४०",,"३०,७३,६९",
सहायक क“नीको शेयर पुँजी,"२०,००",,"२०,००",
सम्बद्ध कम्पनीमा लगानी,"१,४२,८४",,"१,४१,५४",
सम्पत्तिमा लगानी,"९५,७७",,"९०,८४५",
सम्पत्ति र,"१,१४,२१",,"१,०३,३४",
अमूर्त सम्पत्ति,"१,१३",,"१,१४५",
अन्य सम्पत्ति,"३,०४,४४",,"१,३९,७६",
जम्मा सम्पत्ति,,"६,२४,९७,३४",,"५,७०,८५,१९"
दायित्व,,,,
कर्मचारी सुविधा दायित्व,"४,.०२,३८",,"४,०७.६८",
अन्य दायित्व,"२,०४.१५",,"१,७५,२१",
जम्मा दायित्व,,"६,०६,५३",,"५,८२,८९"
'कोष तथा जगेडा,,,,
सञ्चय कोष,"५,६३.१४,५७",,"५,१८,४७,५३",
निवृत्तभरण कोष,"१५,९७.१४",,"११,२१,३८",
जगेडा तथा बचत,"३९,७९,१०",,"३२५,३३,३९",
जम्मा कोष तथा जगेडा,,"६,१८,९०,८१",,"५,६५,०२,३०"
"जम्मा कोष, जगेडा तथा दायित्व",,"६,२४,९७,३४",,"५,७०,८५,१९"
