,,,,
[बत,२७८१,दर,,दा
तथा लगानीबाट आम्दानी,"३९,३६,८५",,"४७,५४,८२",
ब्याज तथा अन्य प्रत्यक्ष खर्च,"२९,७८,४२",,"३६,३५,६९",
चरण तथा सभाबाट खुद आन्दानी,,"९,४५८,४३",,"११,१९,१३"
शुल्क तथा कमिसन आम्दानी,७२,,"१,७४",
अन्य आम्दानी,"४९,६१",,"२५,२२",
कुल सञ्चालन आम्दानी,,"१०,०८,७६",,"११,४६,०९"
वित्तीय सन्पततिहरूको खुद कवीकरण नाफा/ (नोक्सान),"१,९४,१३",,"४,२९,७५",
कर्मचारी खर्च,"१,२१,७१",,"१,०५,२७",
सञ्चालन खर्च,"२७,८२",,"२४,६१",
"हास कट्टी, परिशोचन तथा गैह्र वित्तीय सम्पत्तिको क्षवीकरण",४५७,,४०८,
कुल खर्च,,"३,४८,२३",,"५,६४,५१"
आय कर अघिको मुनाफा (नोक्सान),,"६,६०,५३",,"५,८१,५८"
आय कर,,०,,०
'खुद मुनाफा (नोक्सान),,"६,६०,५३",,"५५,८१,१५८"
