संस्थाको नाम,जि छ उ आर्थिक वर्ष,,,,,= - - - ] आम्दानी | | | |,,,,,,,
,,बिक्री तथा सेवा शुल्क|,अनुदान,अन्य आय |,जम्मा,r प्रत्यक्ष खर्च,- | सञ्चालन खर्च [,कर्मचारी खर्च |,व्याज खर्च,हास खर्ष,आयकर,जम्मा,खुद
'कानन किताव व्यवस्था समिति,२०८१।८२,४४३४९],०],१०९६७,| २५३१६,२१०७४५,१४९८३,१४३१२],०],१९२७],०],५२२९७,३०१९
कृषि तथा पशुपन्छी विकास मन्त्रालय,,२०९५५२२४|,७२५४],३५७१४८१६],५६७४२८९४]|,५४२१७०७७,,,,९९८७२],१७१६१७],५६२९८४६८|,_ ४४४४२६
F सामग्री कम्पनी लिमिटेड,२०८०।८१,७२७२१५६],०],१६५७९१०४|,२३०५१२६०|,२२८७०२८१],३७८६३३],२२००३५,०,२१०६६|,८०१२२९]|,२३५७९२४६,२७२०१४
कृषि सामग्री कम्पनी लिमिटेड,२००१।८२,९८०१८४९,०],१९०८३१८४|,२८००८०५०३३],२७९२६९७८],२८२४३०],१७९०८३,,२४७७५,१०२८२२],२८५१६०८०८,३६०९४५
दुग्ध विकास संस्थान,२०८०।८१,३८७७१०७],०],४६८००४|,3233499,३४१९८१८|,३९८९९०],२४९२१४५,,yooyo|,-१२२८८|,४१५६१२१|,-२३२२१०
नेपाल पशु चिकित्सा परिषद्‌,२००१।८२,४११२,१७९२०,२७१३,२७७४५|,न,१५०१५,२६४४,,३१५७,०],२४६४६,३०९९
स्यार्प कृषि कम्पनी लिमिटेड,२००१।८२_,। ०,०,1],११,०],९१,०],,१३७६,-१४६,१३४९,-१३३८
पशु स्वास्थ्य तथा पशु सेवा व्यवसायी परिषद्‌,२०८०।०१,। o,६४२४|।,०],६४२४,o],५५१६,८६५,,|,०],६४५२,-२्ट
पशु स्वास्थ्य तथा पशु सेवा व्यवसायी परिषद,२००१।०२,| नु,weie|,०],vexgo|,नु,१३४१३,६०६,,५४७,०],१४५६६,३३९४४
खानेपानी मन्त्रालय,,१८६८६२४,१७५६८,४२७९६०,२३१४१५२,। ०],४८३३९४|,२२३०५९६,,८३४८६३,। ०],२६६८६७१,-२५४५१९
काठमाडौं उपत्यका खानेपानी व्यवस्थापन वोर्ड,२०८०।८१,१०५८४९०,१७५६८,१९९२३२],१२७५२९०],०,१४१०८१२०,९०३२],३५००७८|,wkkwes|,०],११९९२०४,७६०८६
नेपाल खानेपानी संस्थान,२०८०। ८१,८१०१३४,०],२२८७२८|,१०३८८६२,।.-. ०],३२४८७४|,४४८२६८,,२३५३८४५,। ०],१४६९४६७,-४३०६०४५
भौतिक पूर्वाधार तथा यातायात मन्त्रालय,,। । ०] ।,०],११७५६,११७५६,। ०],१९८७,३६००,,९७१,१२९९,७८५७,३८९९
नेपाल पूर्वाधार निर्माण कम्पनी लिमिटेड,२००१।८२,| ०,०],११७५६,११७५६|।,०],१९८७,३६००,,९७१,१२९९,७८५७,३८९९
