संस्थाको s,लेखापरीक्षण गर्नुपर्ने आर्थिक वर्ष,,,,,&= जज | | | जम्मा |,,,,,,,
,,बिक्री तथा सेवा शुल्क|,अनुदान,अन्य आय,जम्मा,[ प्रत्यक्ष खर्च,| सञ्चालन खर्च [,कर्मचारी खर्च |,व्याज खर्च,हास खर्ष,आयकर,S,
मदन भण्डारी विज्ञान तथा प्रविधि e,२०८१।८२,२०१०२],wyoooo|,| ०],| ४६०१०२,२५४७०२,७१४२९।,०,०,०,०],३२६१३१ १३३९७१,
स्वप्न बगैँचा विकास समिति,२०८१।८२,],०],१८६६०,७४६३१,२१४६,,,,३२६।,०],२५७९३,श्ठयइ्य
"संस्कृति, पर्यटन तथा नागरिक उड्डयन मन्त्रालय",,२७९६१९|,२११५०,३५४३१|],३३६२००।,१२२०६२,,,,२३७७],०],३३६३३४,-१३४
नेपाल पर्यटन तथा होटल व्यवस्थापन प्रतिष्ठान,२०८१।८२,२७९६१९,२११५०,३५४३१,३३६२००,१२२०६२,७१३४७|,११९१४७,,२३७७८,०,३३६३३४,-१३४
स्वास्थ्य तथा जनसंख्या मन्त्रालय,,४९८०१३],११४५१९२,६०५५,६२००६०,२२७४३९,८६९११|,२४३०५२,,४०६९१।,०],९८०९३,२१९६७
भक्तपुर क्यान्सर अस्पताल,२०८१।८२,४९८८१३|,११५१९२,६०५४,६२००६०,२२७४३९,८६९११|,२४३०५२,,४०६९,०],४९८००९३,२१९६७
अन्य संस्था तर्फ,,,२६१२३३३९|५१८६३९५५|,२९६२१२३३|,१०७६०८५२७|,४८७६३८१३|,३२९९०८१९],७५८७७६९,,७०५७२३|,१५७५९९४|,९३४३९६६७],१४१६८०६०
कृषि तथा पशुपन्छी विकास मन्त्रालय,,"१८०,१४५]","२,८०४९,७२२","२१३,७९५|","३,२४४,०६२","७६,५३०]","२,२०८,६०३|","६०८,३०५",,| o],गु,"२,९७३,","२७०,६२४"
नेपाल कृषि अनुसन्धान परिषद्‌,२०८१।८२,१८०४८८|,२७६८२०९,११६५४८|,३०६१२४४५,७५०२४|,२१४३३६७],६६६३६६,,। o],नौं,२८५४७५७,१८०४८८
राष्ट्रिय चिया तथा कफी विकास बोर्ड,२०८१।८२,२७,२३९७५,७६०४९,१०००८१,। ०],६६५२,२१९३९,,। ०],। ०],२८५९१,७१४९०
