,२६५९ दर
कुल बैदेशिक,"र १४,०५,८२,३६"
कुल नहुपकीय,"१२,६६,४५१,४४"
एसियाली विकास बैङ्क,"४,६४.९१,००"
बुरोपिवन इकोनोमिक काउन्सिल,"१३,६३"
थुरोपियन इन्भेष्टमेन्ट बैङ्क,"२१,४७,९३"
एसियली इ-५ल्ट्रकण९ इन्भेष्टमेन्ट बैङ्क,"५,३३,२०"
अन्तर्राष्ट्रिय विकास संस्था,"€,२०,९०,९%"
अन्तर्राष्ट्रिय कृषि विकास कोष,"१०,९४,०६"
अन्तर्राष्ट्रिय मुद्रा कोष,"६५,४७,२९"
नर्डिक विकास कोष,"१,७८.१६"
ओपेक तरण,"६,३६,०२"
कुल द्विपक्षीय =,"१,३९,३०,९२"
बेल्जियम,"४७,३३"
चीन,"३३,९७,९३"
फ्रान्स,"१९,०९"
भारत,"३४९,८०"
जापान,"५७,६३,३४"
दक्षिण कोरिया,"४,७९,८९"
कुवेती कोष,"१,७६,६६"
साउदी कोष,"२,९४,७१"
कुल आन्तरिक तरण,"१२,६८,२२,४१"
ट्रेजरी बिल,"३,७५,५६,२०"
विकास,"८,७३,७५,७०"
नागरिक बचतपत्र,"१३,४१,५०"
वैदेशिक रोजगार बचतपत्र,"३३,०४५"
प्रमिशरी नोट (अन्तर्राष्ट्रिष मुद्रा कोष मूल्य समाबोजन),"२५,१५,९६"
कुल जम्मा,"२६,७४,०४,७७"
