सङ्गत द्र,,,'बचार्ब जसुला
११४४२,स्वास्थ्य सेवा कर,०,३९१
११४४३,शिक्षा सेवा कर- शैक्षिक संस्था,०,१८
११४४४,शिक्षा सेवा कर- वैदेशिक अध्ययन,३९८४४,३६०८६
११४४५,विद्युतीय सेवा कर,२७५,४९१
११४५०,पस पण क्र प्रयोगको अनुमति तथा कुनै कार्य सञ्चालन गर्न,४६९४६२,३८१५८६
११४५२,वस्तुको उपयोग तथा उपधोगको अनुमितमा लागने अन्य कर,७५५८,२८२२
११४५३,'सडक मर्मत तथा सुधार कर,११६८३४,१०४२२६
११४५४,सडक निर्माण तथा सम्भार कर,५९८१७,५४३२५
११४५५,पूर्वाधार कर,२८५२५०,२२०२१३
११४६०,वस्तु तथा सेवामा लाग्ने अन्य कर,१३२७,५९९
११४६१,वस्तु तथा सेवामा लाग्ने अन्य कर,१३२७,२९९
११५००,बैदेशिक व्यापारमा आधारित कर,२६०४१६०,१९२७३९७
११५१०,भन्सार महसुल तथा आयातमा लाग्ने कर,२४८४३५०,१८३९६९७
१९४९९,भन्सार महसुल- आयात,२४८४३५०,१८०७३२७४
११५१५,हरित कर,०,३२३७०
११५२०,भन्सार महसुल- निर्यात,३५९३,८३१०
११५२१,भन्सार महसुल- निर्यात,३४३३,८०१७
११५२२,निर्यात सेवा शुल्क,१६०,२९३
११५६०,बैदेशिक व्यापारमा आधारित अन्य कर,११६२१७,७९३९०
११५६१,कृषि सुधार शुल्क,१११४४९,७१३६३
११५६२,भन्सार सम्बन्धी अन्य आय,४७६८,८०२७
११६००,अन्य कर,३,
११६९०,अन्य कर,व्‌,
११६९१,अन्य कर,,
१४०००,अन्य राजस्व,१२८४४०८,१२१६६८३
१४१००,सम्पत्तिबाट प्राप्त आय,७२२१९६,७३३१२८
१४११०,ब्याज,१४२१५०,५३२९३
१४१११,वित्तीय निक१५१८ प्राप्त व्याज,७४४५,४२९९
१४११२,व्यापारिक निकाबबाट प्राप्त व्याज,२४४८,०
१४११३,औद्योगिक [४४१८ प्राप्त व्याज,१,२१५
१४११४,सेवामूलक निकाबबाट प्राप्त ब्याज,५६३७१,२९१५४
१४११९,अन्य [िक१४९८ प्राप्त ब्याज,७५६९८,१९६२५
१४१२०,लाभांश,४९६०५५,६०४३१५
१४१२१,वित्तीय निका४१८ प्राप्त लाभांश,२४२८४२,३९०३९१
१४१२२,व्यापारिक निकाबबाट प्राप्त लाभांश,०,१६४८५
१४१२३,औद्योगिक निकायबाट प्राप्त लाभांश,,१२१
१४१२४,सेवामूलक निकाबबाट प्राप्त लाभांश,२५२३४२,१९७१९१
१४१२९,अन्य निकाबबाट प्राप्त लाभांश,३४३,१२७
१४१५०,भाडा तथा रोयल्टी,७५९३०,६८२५४५
१४१५१,सरकारी सम्पत्तिको वहालबाट प्राप्त आय,३८२६,५०२४
१४१५२,क्थानसिनोबाट प्राप्त रोयल्टी,१८६२१,९५९१
१४१५९,अन्बल्लोतबाट प्राप्त रोयल्टी,३४८३,३६४०
१४१९०,अन्य शुल्क,८०६१,७२६५
१४१९१,पर्यटन शुल्क,१३६२,४३
१४१९२,पदयात्रा शुल्क,२२१८,८०४
