,साषेक/उपन्शार्व-,,'बचार्ब जसुला
१४५२९,अन्य राजस्व,३७५५७,२४४५०४५
१४५३०,पुँजीगत राजस्व,१३४,७
१४५३१,"सरकारी घर, जग्गा, गुडविल विक्रीबाट प्राप्त रकम",१३४,७
,कुल जम्मा,८९३७२६९,७०७६१७०
१५१००,विविध प्राप्ति,०,१७३८४९
१५११०,विविध प्राप्ति,०,१७३८४९
१५१११,बेरुजु,,५०८२९
१५११२,निकासा फिर्ता,०,१९०३८
१५११३,अनुदान फिर्ता,०,१०३८५९
१५११४,सशर्त अनुदान फिर्ता,०,५९
१५११५,विशेष अनुदान फिर्ता,०,६४
,"'कर, अन्य राजस्व तथा विविध प्राप्ति तर्फको कुल जम्मा",८९३७२६९,७२५००१९
३३०००,दायित्व,२५२५५७६१,४७१२२८१
३३३००,बाँडफाँट हुने राजस्व,५२५५७६१,४७१२२८१
३३३१०,मूल्य अभिवृद्धि कर (मू. अ. कर),३०६५२०१,२४१९११२
३३३११,मू. अ. कर - उत्पादन,४४२८००,४१५४९१
३३३१२,मू. अ. कर - आयात,२२२१५३४,१९५०६६४
३३३१३,म्‌. अ. कर - वस्तु बिक्री र वितरण,३९२८२२,३०७३२२
३३३१४,मू. अ. कर - परामर्श तथा ठेक्रा,४१२९८९,३१५३०१
३३३१५,मू. अ. कर - पर्यटन सेवा संकलन,४१६१७,४१५२७
३३३१६,"मू. अ. कर - संचार सेवा, बिमा, हवाई उडान र अन्य सेवा",२६३५४५,३०९९१४
३३३१७,"मू, कर - नेदर्तावालाबाट गर्ने संकलन",८९८९४,७८८९३
३३३३०,बाँडफाँट हुने अन्तःशुल्क,१३२४०३४,१२२०५६१
३३३३१,अन्तःशुल्क - सुर्तीजन्य पदार्थ,३५४२५०,२७७१६९
३३३३२,अन्तःशुल्क - मदिरा,३५०९३९,३२२९३४
३३३३३,अन्तःशुल्क - वियर,३७६८२०,३८१५१५
३३३३४,अन्तःशुल्क - अन्य औद्योगिक उत्पादन,२४२०२४५,२३८९४३
३३३६०,बाँडफाँड हुने प्राकृतिक स्रोतको रोयल्टी,६६४६०,७२६००
३३३६१,वन क्षेत्रको रोयल्टी,१०१०४,७२४३
३३३६२,'खानी तथा खनिज सम्बन्धी रोयल्टी,९६००,१५९९३
३३३६४,विद्युत सम्बन्धी रोयल्टी,३५४१०,३९३७७
३३३६५,पर्वतारोहण रोयल्टी,११३४६,९९८७
३३३९०,अन्य बाँडफाँट हुने राजस्व,,
३३३९१,अन्य बाँडफाँट हुने राजस्व सङ्कलन,६६,३
९३०००,अनुदान,०,१६४६८६
१३१११,द्विपक्षीय बैदेशिक चालु अनुदान,०,१३४६४
१३१२१,द्विपक्षीय वैदेशिक पुँजीगत अनुदान,०,४०१८६
१३२११,अन्तर्राष्ट्रिय अन्तर-सरकारी संस्थाबाट प्राप्त चालु अनुदान,०,७०२४७
१३२१२,अन्तर्राष्ट्रिय ैर-सरकारी संस्थाबाट प्राप्त चालु अनुदान,,३१६९
१३२२१,अन्तर्राष्ट्रिय अन्तर-सरकारी संस्थाबाट प्राप्त पुँजीगत अनुदान,०,३७६२०
,कुल जम्मा,१४१९३०३०,१२१२६९८६
