,,,,,,
कार;,७ त नाथ,,,जन्ता,=३,
,,,,,,
१,सर्वोच्च अदालत,६८६३२,६२१५०,९३००५३,१६९३३,११३८४९
१.१,पीडित राहत कोष,६८६३२,६२१५०,१३०७८२,१६९३३,११ ३८४९
२,तथा मन्त्रीपरिषद्को कार्यालय,१६८४७६८,४३९८२५,२१२४५९३,५०००,२११९५९३
२.१,श्रधानभन्त्री राहत कोष,११५१३६,१२९५,११६४३१,०,११६४३१
२.२,प्रधानमन्त्री सहायता कोष तथा मानवअघिकार प्रचार कार्यक्रम,२५६८,०,२५६८,०,२५६८
२.३,श्रधानमन्त्री दैवी प्रकोप उद्धार कोष,१५२८३५७,४३३८९९,१९६२२५६,०,१९६२२५६
२.४,श्रधानभन्त्री राष्ट्रिय प्रतिभा पुरस्कार कोष,३८७०७,४६३१,४३३३८,५०००,ड्व्श्स्
३,अर्थ,२३६०१८८,२९४६८४८९३,२९७०४५०८१,२९५१३५०३५,१९१००४६
३.१,भन्सार कोष,११७९३३८,२८०८३३९५१,२९००१३२८९,२८८७७८६८५,१२३४६०४
३.२,मूल्य अभिवृद्धि कर कोष,२३८३०,१२७२६६५७,७५०४८७,१७१०४८७,०
३.३,चलचित्र विकास शुल्क,११५४०,९३४५३,२४१२३,१५७८३,८३४०
३.४,कोपले.नि.का कार्यसञ्चालन कोष,११४५४८०,१११७०२,१२४५७१८२,५९००६०,६६७१०२
,"उद्चोग, वाणिज्य तथा आपूर्ति",४०३६६,१६६५९,५७०२४५,१२२२७,४४७९८
४.१,उद्चोग मन्त्रालय कार्यश्चालन कोष,१४०००,०,१४०००,०,१४०००
४.२,नेपाल गुणस्तर तथा नापतौल विभाग कार्वलर्चालन कोष,९७३०,०,९७३०,०,९७३०
४.३,केन्द्रीय कारागार कार्षसञ्चालन कोष,१६६३६,१६६५९,३३२९४५,१२२२७,२१०६८
५,"उर्जा, जलस्रोत तथा सिँचाइ",४३१७१,५९०२७,१०२१९८,९३९३४,८२६४
५.१,जलस्रोत तथा सिँचाइ विभाग,४३१७१,५९०२७,१०२१९८,९३९३४,८२६४
६.,"कानुन, न्याय तथा संसदीय मामिला",३५०५,१७१,३६७६,०,३६७६
६.१,मानवअधिकार पुरस्कार कोष,३५०५,१७१,३६७६,०,३६७६
७,कृषि तथा पशुपन्छी विकास,१०१९५६,१३७४,११४८३४,४७१,१११३६३
७.१,"उष्ण प्रदेशिक वागवानी विकास कोष, सर्लाही",२७३,४३६,७०९,४७१,२्इ्द
७.२,"राष्ट्रिय पशु प्रजनन कार्यालय, कास्की",१०१६६६,१३४४२,११५१०८,०,११५१०८
७.३,परियोजना क१४/न१५१ एकाइ,१४,०,१७,०,१७
,खानेपानी,६२०१४,१५३२८,७७३४२,५३९८,६८९४४
८.१,कार्यसञ्चालन कोष,६२०१४,१४५३२८,७७३४२,व्इ्थ्द,६८९४४
९,गृह,७००९४९१,९५५९७९९,१६५६९२९०,७३५६२३०,९२१३०६०
९.१,प्राकृतिक प्रकोप उद्दार तथा राहत कोक्ष,१६४६२८८,४०६६६६६,५७१२९५४,१४४९१९१,४२६३७६३
९.२,कार्यसञ्चालन कोष,७००९४९१,९५५९७९९,१६५६९२९०,७३५६२३०,९२१३०६०
१०,परराष्ट्र,१०५६३,११७०९८,५६७६६१,५४९३४४,१८३१७
१०.१,मृतक क्षतिपूर्ति कोष,५०५६३,५१७०९८,५६७६६१,२ ४९३४४,१८३१७
११,"भूमि व्यवस्था, सहकारी तथा गरिवी निवारण",४११४५२४,३१७०२५५७,३५८१७०८१,३१९९१८३७,३८२५२४४
११.१,कार्यसञ्चालन कोष सहकारीतर्फ,१७१५,०,१७१५,०,१७१५
११.२,कार्यसञ्चालन कोष मालपोततर्फ,३९८७२१५,३१६४५००३१,३५६३७२४६,३१९६३६५२,३६७३५९४
११.३,कार्यसञ्चालन कोष नापीतर्फ,५६७५,३१०७५,३६७५०,२८१५,०५६५
११.४,सहकारी प्रवर्धन कोष,११९९१९,२१४५१,१४१३७०,०,१४१३७०
१२,भौतिक पुर्वाधार तथा यातायात,२४१३५९५,७००३३३७,९४१६९३२,४६०५६५३७२,र२४५१५६०
१२.१,कार्यसञ्चालन कोष,२४१३५९५,७००३३३७,९४१६९३२,६८६५३७२,२४५५१५६०
१३,रक्षा,३४४४१४५,१८९३१४५,५३३७३०,१८११६७,३े५२४५६३
