क्र. . सं.,मन्त्रालय/निकाय,गत वर्षसम्मको बाँकी बेरुजु,समायोजन,सं.प.को अनुरोध भई । आएको,सम्परीक्षण भएको,सम्परीक्षण गर्न नमिलेको,सम्परीक्षणबाट | थप,गत वर्ष सम्मको बाँकी,यो वर्षको थप,६३औं प्रतिवेदनसम्मको बाँकी ] बेरुजु
,१,२,32,¥,%,&,७,[र,९,१० ०
| प्रतिवेदन २०६२ देखि,२०८२ सम्म,,,,,,,,,|
१,[राष्ट्रपतिको कार्यालय,3,_,_,-,_,_,3,-,3
२,| उपराष्ट्रपतिको कार्यालय,१६७,। ०] ।,०,| ०] |,०],| ०],१६७,। ०,१६७
३,[संघीय संसद सचिवालय,९७५७९,। ०],१०१५२,३११४,७०३८,[ ०],९४४६५,११३९,९५६०४
४,|सर्वेच्च अदालत,४३२५२७२५,। ०],२५१३१५,४६८२४,४४९१,६२,३८०९१६,२१३३४५,४४०२५१
५,"प्रदेश प्रमुखको कार्यालय, कोशी",५७],४,०),०,०,o,७७५,०],७७
६,"|प्रदेश प्रमुखको कार्यालय, मधेश",१७६,[। ०],[ ०],। ०],[,। ०],१७६,[। ०],१७६
७,"|प्रदेश प्रमुखको कार्यालय, बागमती",| ०,०,न,०,०,०,०,०,०]
८,"प्रदेश प्रमुखको कार्यालय, गण्डकी",। ०,०],ना,नु,०,ना,०,०७०,०]
९,"प्रदेश प्रमुखको कार्यालय, लुम्बिनी",४५],०,०,०,०,०],w|,०],यश
१०,"|प्रदेश प्रमुखको कार्यालय, कर्णाली",३५२,| ०],न्‌,नु,७,०],३५२|।,o],३५२
[ ११,"प्रदेश प्रमुखको कार्यालय, सुदूरपश्चिम",0],०,ना,नु,०,०],१०२],०,१०२
१२,| अख्तियार दुरुपयोग अनुसन्धान आयोग,३५३६५],०,ना.,०,०,o],३५३६५],०],३५३६५
१३,|महालेखा परीक्षकको कार्यालय,| ol,०,०,०,०,०,०,०],०
१४,|लोक सेवा आयोग,४३४९],०],२०८८,२००८,ना,०],२२६१,१४५,२२७६
१५,|निर्वाचन आयोग,२२२२३८ [।,०],४०३८,२०४६,१९९२,१८१,२२०३७३,१६६,२२०५३९
१६,|महान्यायाधिवक्ताको कार्यालय,९४३६४,| ०],१०४७,२५७,४९०,| ०],९३८०७,३१६०,९६९६७
१७,|न्याय परिषद्‌,१५३४,[। ०],१५००,१५००,[,[। ०],३४,[। ०],३४
१८,[राष्ट्रिय मानव अधिकार आयोग,१५७५३|,०,०,०,०,०],१५७५३,११,१५७६४
१९,[राष्ट्रिय प्राकृतिक स्रोत तथा विति आयोग,| ०,न्‌,"""०",०],,| o,०,०,०
२०,[राष्ट्रिय महिला आयोग,४५१२४।,०],ना,म],,। ०],४५१२४],०,४५१२४
२१,[राष्ट्रिय दलित आयोग,१७१],०],१३७५],०],१३७],०],१७१,१०००,११७१
२२,[राष्ट्रिय समावेशी आयोग,२०९६],०],५०९६,५०९६,०,०,०,०,०
२३,| आदिवासी जनजाती आयोग,५५९८],०,"०""",०,रा,०],२५९८,२७,२६२५
