क्र. . रस.,मन्त्रालय/निकाय,गत वर्षसम्मको बाँकी बेरुजु,समायोजन,सं.प.को अनुरोध भ । आएको,सम्परीक्षण भएको,सम्परीक्षण गर्न नमिलेको,सम्परीक्षबाट | थप,गत वर्ष सम्मको बाँकी,यो वर्षको थप,£33 प्रतिवेदनसम्मको बाँकी बेरुजु
२४,|मधेशी आयोग,४८०४ |,०],०],| ०] |.,०],। ०],५८०४ |,०,५८०४
२५,|थारु आयोग,| ०] ।,| ०] |,०,| ०] [,०],| ०] |,०] |,|,०]
२६,|मुस्लिम आयोग,२६५९ [।,०] [,०],[। ०] [,,। ०],२६५९,110.,६१०३
२७,|प्रधानमन्त्री तथा मन्त्रीपरिषद्को कार्यालय,२०८५९०६,०],३३९४८,११९७६,२१९७२,| ०],२०७३९३०,२७२२६,२१०११५६
२८,|अर्थ,| १३८६३८६९२ [।,०],४८११८००१|,२५९३०८०५,२२१८७१९६,३१३५२०६,११५८४३०९३,३५६३३१०८,१५३४७६२०१
२९,"उद्योग, वाणिज्य तथा आपूर्ति",२०२६७०३ |,०],८८६८३३,३९८२,5०२८५१,०],२०२२७२१,३२०५२९,२३४३२५०
३०,"|उर्जा, जलस्रोत तथा सिँचाइ",८६१३०६८ ।,०],३२०६०६२,१८९६६४९,| १३०९४१३,१३१७०,६७२९५८९,६२२२५२५८,७३८२१४७
३१,"|कानून, न्याय तथा संसदीय मामिला",११९७४,०] [,०],०] [,,०],११९७४,[। ०],११९७४
३२,कृषि तथा पशुपन्छी विकास,[। ८३०८५९१ ।,०],[। ३७७६३१४,२२३६२५६८,[ २३९७४६,१९१६,२०७३९३९,२२२७८४,२२९६७२३
३३,|खानेपानी,१५५४६८२३ [।,०],११८५६६५],१०१८१४१,१६७५२४,१५७३४,१४५ ४४४१६,२५६३१२,१४८००७२८
२४,|’,२१११९३५ |,०],३७४७१६२,२२३५११५,१५१२०४७,१०८२०१,९८५०२१,२७७२३७,१५६२२५८
३५,|परराष्ट्र,२७०८९८३ [।,०],११३३३६२,९५८६११,१७४७५१,२२५८३,१७७२९५५,७४३३२२,२५१६३१०
३६,"|भृमि व्यवस्था, सहकारी तथा गरिबी निवारण",१३९६३७२९ [।,०],६5६२९३४,४००८५७,२६२०७७,३५३५,१३५६६४०७,१५३६५५८,१५१०२९६५
३७,|भौतिक पूर्वाधार तथा यातायात,६५१५७५८७ ।,०],१४८९५२१९,७५७१४९१,७३२३७२८ |,३२३२०१,२.७९०९२९७,७१०३३१७,६२५०१२६१४
3¢,"|महिला, बालबालिका तथा ज्येष्ठ नागरिक",३३८५०७ [।,०],७६०४५,६७९ ८७,८०५८,०],२७०५२०,७६४३४,३४६९५४
३२९,|युवा तथा खेलकुद,२२७९ ४६,०] [,०],०] [,,०],२२७९४६,३३०८५,२६१०३१
४०,|रक्षा,[। १०२२१७०४|,(२९८०२६३।,३९४२३१६,। २०८७८१६,[। १८५४४५००,१५३४१८,२३०७०४३,२०३६९६,२५१०७३९
४१ वातावरण,|वन तथा,२५५४०३६ [।,०],२०८७३६,२००६६६,८०७०,३०२९,२३५६३९९,१३४५६९३,३७०२०९२
४२,"|शिक्षा, विज्ञान तथा प्रविधि",२११७७३६७ |,०],१३९४४६३,११०९१५१,२८५३१२,१३५७०९,२०२०३९२५,८३९२०,२०२८७८४४
४३,"|श्रम, रोजगार तथा सामाजिक सुरक्षा",५३९३१६,०],५०५८७८,२७५५६०,२३०३१८,२३३,२६३९८९,३०५३०,२९४५१९
XY,"संस्कृति, पर्यटन तथा नागरिक उड्डयन",२४२३७५२५ |,०],६९३००३,६८०७६७०,२३३३,४२३२५५०,२१५९६३४५,१४६२,२१६१०९७
४५,|सङ्घीय मामिला तथा सामान्य प्रशासन,333903658,_,१३२२१७४,४५७२६०,८६४९१४,२६०,३८०५३६८८,८४५३,३०९३९१४१
४६,|सञ्चार तथा सूचना प्रविधि,१३२१४५५९५ |,०],२१४१९८२,१८३९६६१,३०२३२१,९१७६८,११४६७७०२,११६७८१२,१२६३५५१४
४७,|शहरी विकास,१३९५५६९१ ।,०],१२६२६७९,८२६५७५,४३६१०४,४२५३४३,१३१७४४२५९,८०४५०७४,१३९७९५३३
४८,[स्वास्थ्य तथा जनसङ्ख्या,य०३३११९ |,०],१३६३५२०,१०४६३९६,३१७१२४,३२१४,७७८९९ ३७,२२४२५०,८३१ ४१८७
४९,[राष्ट्रिय योजना आयोग,८७५४,०],२४,२४],०,०],०७३३,०],८७३३
५०,[राष्ट्रिय पुनर्निर्माण प्राधिकरण,१०७९९१६ [।,०],३०१३४,३५०,२९७८४ [।,०],१०७९५६६,[। ०],१०७९५६६
५१,|शान्ति तथा पुननिर्माण,३५७५४२],०,०,०,०,०],३५७५४२],०,३५७५४२
जम्मा|,,३७५४७२४६१|,(२९८०२६३),९०६६१८२७|,५१९२४४३६,३८०७३७२९१,४४८१०१६,३२२५०४८६७८|,२३४८७६९०,२७८५३६३६८०
प्रदेश,,,,,,,,,,
१,|कोशी प्रदेश,२०७९१०१ |,०],३६११९९,३६११९९ |,०,१७०६३,४७३४९६४५,२२४६८०,२२५९६४२
