क्रस.,मन्त्रालय/निकाय,यस कार्यालयबाट भएको सम्परीक्षण सम्बन्धी विवरण,,,,,,,,रात वर्ष 3517,यो वर्षको तप,६३ औं प्रतिवेदन सम्मको
,,गत वर्षसम्मको बाँकी,समिति हस्तान्तरण,बाँकी (वार्षिक प्रतिवेदन २०६२ देखि),समायोजन,सम्परीक्षणको अनुरोध भई आएको,| सम्परीक्षण | भएको,सं.प. गर्न | नमिलेको,सम्परीक्षणबाट थप,,,बाँकी बेरुजु
१,।|संघीय संसद सचिवालय,४८३३,। - ],४८३३,,। ०,| ०],| ०] |,०],४८३३ |,०],४८३३
२,सर्वोच्च अदातल,1,[-,1,|. |],[ ०],०] [,०] |,०],1,२४२२,२९६०
३,प्रधानमन्त्री तथा मन्त्रीपरिषद्को कार्यालय,१६५६०९,-,१६५६०९],- ।,१३५२,[ ११५८,१९४,रा,१६४४५१,७०७५,१७१५२६
४,अर्थ,१३१८६११,लि,१३१८६११,|. ],३७०८४१|,३७०१३०,७११ |,०],९४८४८१,४६१५१७,१४०९९९८
५,"उद्योग, वाणिज्य तथा आपूर्ति",१०१३८४१,।-,१०१३८४१,- |,श्ठ्व,४००,१८८,१९१|,१०१३६३२,७२७५०|],१०८६३८२
६,"| S, जलस्रोत तथा सिँचाइ",२४१७००३|,-,२४१७००३,|,९०८७०६|,८१६६०८| ।,९२०९८,३१९४८७|,१९१९८८२|,४७०४६७],२३९०३४९
७,"|कानून, न्याय तथा संसदीय मामिला",७८९८,-,७८९८,| - ],। ०],०] ।,०] ।.,०],७८९८ ।-.,०],७८९८
o,]कृषि तथा पशुपन्छी विकास,[। ३८२११२|],-,३८०२११२],- |,७८०६६|,६७५६१|,१०१०५,२४,३१४५७५],१०९६३४,४२४२०९
९ |,खानेपानी,३०१००५६|,- |,३०१८०५६,,१८३८१११|१५०९९०४|,,३२८२०७,११०७०],१५१९२२२|,२८३३३६८|,४३५२५९०
१०,|गृह,१८००३२९।,- |,१८००३२९।,-],६६६३७१[,३०११३८|,३६५२३३।,०,१४९९१९१,२२३०],१५०१४२१
99,परराष्ट्र,श५०८],-,२५०८,,। o],०,० ।,०,२५०८,४४७३,९९८१
१२,"|भूमि व्यवस्था, सहकारी तथा गरिबी निवारण",५४९,_,५४९,|. |],[ ०],०],०],०],५४९,०],२४९
93,|भोतिक पूर्वाधार तथा यातायात,८०६९०१,।_- ],८०६९०१,| - |],७५७१२|,[ २७९६५|,[ ४७७४७ ।,०],| ७७८९३६,१६९०१,७९५८३७
१४,"|महिला, बालबालिका तथा ज्येष्ठ नागरिक",५९७२४८,- ।,२९७२४८,,१३३७,१३३५,०,न्‌,१९५९११,४१४१०,६३७३२१
१५,|युवा तथा खेलकृद,४३१५८२६|,-,४३१५८२६|,- ।,४९५०९०|,३४६४६३|,१४८६२७,२४२|,३९६९६०५|,२४९०८१|,४२१८६८६
१६,|रक्षा,भ५१०५४१],-,भ५१०५४१],-,१४२८९९|,३८०५५|,१०४८४४,४६,४८०५३२|,२३३०७९,७१३६११
१७,| वन तथा वातावरण,२६४२२३,[।-,२६४२२३,,२९४१०,२८३७०,१०४०,१३३७,२५३७१९०,१६५९९,२५३७८९
१८,"।|शिक्षा, विज्ञान तथा प्रविधि",१३४१८२१६ |,- ],१३४१८२१६,,१०७१४११|,७६१७६१|,३०९६४५०,६२८६],१२६६२७४१|,१३०६९३|,१२७९३४३४
१९,|श्रम रोजगार तथा सामाजिक सुरक्षा,८२४९९०,[।-,८२४९९०,| - |,४३७३५३|,२१७४०१|,२१९९५२,३९५४५०,६४७१३९,३८४८६६,१०३२००४
२०,"|संस्कृति, पर्यटन तथा नागरिक उड्डयन",5१७४३२३],-,5१७४३२३|,- |,१४५१७५७|,५०६४८६|],९४५२७१,७३७६७|,२७४१६०४,९५२९०|],४८३६८९४
२१,सङ्घीय मामिला तथा सामान्य प्रशासन,११०१६७७ ।,- ],११०१६७७,,३७८१,३६९६,oy,९७६],१०९८९५७,२००९],११०३९६६
२२,|सञ्चार तथा सूचना प्रविधि,१७६४९५७०,[-,१७६४९५७०,| - |,७४२९६|,६३६५९|,१०६३७ [,०],१७५८५९११|,२५९८९१|,१७८४५८०२
२३,[शहरी विकास,४०३३३०५],- |,४०३३३०५,,१८३०६०|,२०५९६०|,३७७१००,१६९४|,३८२९०३९,२७५७०|,३८५६६०९
