,,,,,,,,,,,,,,,,
,,,,८,,,,,,,,,,०्८१।--,,
१,,,,,रि,,,,| | १,म),,,,™ - प्रतित,डि | १; ॥,
१,राष्ट्रपतिको कार्यालय,१६८०९२,०,०००,,०!,१७२४४७,०,०००,,,०,,"०००,",,०
२,उपराष्ट्रपतिको कार्यालय,४०८३६,०,०००,,०,४३४५८,०,०००,,०,४९५१८,०,०००,,०
३,संघीय संसद सचिवालय,११७४७८१,[१,,,९८२,१२८६८७४,१४०५,०१२,,१४८५,१३८९५६७,११३९,००८,,११३९
४,सर्वोच्च अदालत,२२००९३०६,६४६३४,०२६,०,६४६३४।,२३८६४६७८,१९६८१,००६,४३८०,२०२१९,२४५१४९४२४,भ१३३५,०.२०,२४२२,१३७५७
५,"प्रदेश प्रमुखको कार्यालय, कोशी",२९७४६,,०००,,०,२८९०७,०,०००,,,२७४४६,,०००,,०
६,"प्रदेश प्रमुखको कार्यालय, मधेश",१८६६४,२४,०२९,,५४,१८७४२,०,०००,,०,१९००६,,०००],,०
७,"प्रदेश प्रमुखको कार्यालय, वागमती",२१९६४,०,०००,,०,२४२०६,०,०००,,०,३६४६५,०,०००,,०
८,"प्रदेश प्रमुखको कार्यालय, गण्डकी",२८७६९,०,०००,,०,२८८४२,०,०००,,०,०,०,०००,,०
९,"प्रदेश प्रमुखको कार्यालय, लुम्बिनी",२४५४५९,०,०.००,,०,२७६२९,१,०.१६,,४५,२५४४८,०,०.००,,०
१०,"प्रदेश प्रमुखको कार्यालय, कर्णाली",२३६२५,०,०००,,०,२५३३९,०,०००,,,२६४२०,०,०००,,
११,"प्रदेश प्रमुखको कार्यालय, सुदूरपश्चिम",२३०५७,०,०००,,०,२६६१२,०,०००,,०,२४३२६,०,०००,,
१२,अख्तियार दुरुपयोग अनुसन्धान आयोग,१३२८३१८,०,०.००,,०,१३०९३०४,०,०.००,,०,१२९५५९२,०,०.००,,०
१३,महालेखा परीक्षकको कार्यालय,६५३७५३५,,०.००,,०,२८६४५१५,,०.००,,,६४५४३६७,०,०.००,,०
१४,लोक सेवा आयोग,१२१५८१४,०,०००,,०,१३६४४००,०,०००,,०,१२४११७९,१५,०००],,१५
१५,निर्वाचन आयोग,७७११५७०,इ४६४२,नश,,३४६४२,७२२०५१,१९८,००३,,१६८,६५८०१५५,१६६,००२,,१६६
१६,महान्यायाधिवक्ताको कार्यालय,१२६७१३३,३०२८,,,३०२८,११६६६९४,३६५४,०३२,,३६८४,१०३८४५४,३१६०,०.३०,,३१६०
१७,न्याय परिषद्‌,५१३४५३,१५००,२.९२,,१५००,५००५१,०,०.००,,०,५२६८६,०,०.००,,०
१८,राष्ट्रिय मानव अधिकार आयोग,२१८२३२,१५५६,०७१,,१५५६,र४८०४७,ब५०३,०६१,,१५०३,२६२११०,११,०००,,११
१९,राष्ट्रिय प्राकृतिक स्रोत तथा वित्त आयोग,इ१८६७,०,०००,,०,इ४७८०,०,०००,,०,७७४७,०],०००],,
२०,राष्ट्रिय महिला आयोग,७३०९१,०,०००,,०,६९४९५,०,०००,,,५९२७०,०,०००,,
२१,राष्ट्रिय दलित आयोग,३३००६,,०००,,०,३४२८४५,०,०००,,,३६३२८०,१०००,२७५,,१०००
२२,राष्ट्रिय समावेशी आयोग,३०९०७,०,०००,,०,३२६८३,०,०००,,,३५३७४,०,०००,,
२३,आदिवासी जनजाति आयोग,३२१९८,१३४५,०्थ्थ२,,१३४५,३१४२६,७,००२,,४,३७८६८,२७,००७,,२४
२४,मधेशी आयोग,३४७७७,०,"०,००",,०,३५३८१,०,०.००,,०,४०९८९,०,०.००,,०
२५,थारु आयोग,३७२४०,०,०.००,,०,४०८७९,,०.००,,०,३८७८१,०,०.००,,
२६,मुस्लिम आयोग,२९९७६,,०००,,०,३०३०३,,०००,,,२८९०४५,४४४,१४४),,
