,,१११ म,सू पाडा,भखाफ!' उम,"र, |",हाउ,१७१],१ बारा,बइ्को हा) प्रतिशत,१ | सर १,हार भा,११,जिका,६... अड्को हि।. प्रवेश,पार पा |. त,हिन
२७,प्रधानमन्त्री तथा मन्त्रीपरिषद्को कार्यालय,१०६७०७४१,श्ञ्य्व,०.०४५,७७०३,१३४३१,११३९४५८९,२९०,०.००,२५३९१,५५६८१,७५१४६२६,२७२२६,०.३६,७०७५,३४३०१
२८,अर्थ,१७२२५७२८४९,२५४७४८८६,१.४८,०,२४५४७४८८६,| २४६७९३०५६८,३३७११६९०,१.३४,३२०७०,३३७४३७६०,२२४४७८०८२२,३७६३३१०८,१.६८,४६१५१७,३८०९४६२५
२९,"उच्चोग, वाणिज्य तथा आपूर्ति",६८२४३६६,४४८१९,०६६,१००७३८,१४५४५५७,६२८४३०२|,इ८४८७३,ह.१२,२१०६९७,४९४७७३०,६३९२३४९,इ२०४२९,०९,७२७५०,३९३२७९
३०,"कर्जा, जलस्रोत तथा सिँचाइ",४४२३५४९५,१०१६६७५,२.३०,१०३४५६५२,२०५२३२७,"३५१०४४३२,",६५८०४४,१.८७,४३२६७६,१०९०७२०,४१६७१९७१,६५२५५८,११७,४७०४६७,११२३०२५
३१,"कानून, न्याय तथा संसदीय मामिला",३०४५९५३,०,०००,१७४८,१७४८,३४१९३९,०,०.००,१३,१३,३२६४४४५,०,०.००,०,०
३२,कृषि तथा पशुपन्छी विकास,४७६८३४५३६,२३४१३४,"०,४९",६४६७,"र२४०६०१,",३४६०९५७४|,१०४३४१,"०,४५२",४४७०,२३०६११,३८३०९३३४,२२२७८४,"०,४१८",१०९६३४|,३३२४१८
३३,खानेपानी,१५५३३७५४५,७६४५५७,४१३,५०१३९६,१२६४९५३,१०६०७३७१,१५८६६१,१५०,२४५२६३,४०३९२४,१४५१८९६६१,२४५६३१२,१.६९,२८३३३६८,३०८९६८०
३४,गृह,९३०९३०९५८,१४०४०१,०४३,४५२६,४४५९२७,१२२४१५९३९,९९,०.०९,४८०,११६६९८,१२६९८९०५२,४७७२३७,"०,४४५",र२२३०,२७९४६७
३५,परराष्ट्र,१७६५२५५४,३८६६७८,२.१९,२४७२,३८९१५०,"२०४२९९१२,",१०५३२९९,२.१६,१७८२,१०५४५०६१,२२३९३२०२,७४३३४५५,३३२.,४४७३,७४७८२८
३६,"भूमि व्यवस्था, सहकारी तथा गरिबी निवारण",३४१४२०९७,६०४५९३७,१.७४,०,इ०६९३७,४०१५६१९६,१५०६४७१,३७४५,०,१५०६४७१,४६५२६१७९९,१५३६५५८,२३९,०,१५३६४५५८
३७,भौतिक पूर्वाधार तथा यातायात,१३२१४१५९६,१२०९३७९९,६.१५,६५९२३६,१२१६३०३५,१९४८०९३५०,६४३६३७०,५.५७,१०९८५,६४४७३५५,१२३९३४२६१,७१०३३१७,२५.७३,१६९०१|,७१२०२१८
३८,"महिला, बालबालिका तथा ज्येष्ठ नागरिक",७३१३००,४७२९,०.६५,१०६३८,१५३६,७४५४६७,१३७४९,१.च४,३७५२६,२१२७५,७४९६३२,७६४३४,१०२०,४१४१०,११७८४४
३९,युवा तथा खेलकुद,१९३४८७४,०,०.००,इ२४७९१,इ२५७९१,११२१३७,०,०.००,३६६४३८,३६६४३८,१०२६९०,३३०८५,३२.१२,२४९०८१|,२८२१६६
,रक्षा,९५२३६३७३,२०९३७४,०.२२,१७११,२६११८५,९४३७५६४७।१६७१४३७,,"१,७४७",इ५४८८,१७०६९२५,९२१७७५०८,२०३६९६,०.२२,२३३०७९,४३६७७५
४१,बन तथा वातावरण,१२४७९९४७,८२०४६,०६६,इ०९११,११२९९७,११२८४०२९,१३९५,"०,७२",१७४६६,द९८८६१,९६४२३२२,१३४५६९३,१३९६,१६४९९,१३६२२९२
