क्रस,"नेकाबक, नाः",,ल्नबरत ९४ ५
२१,नेपाल बैङ्क लिमिटेड,प्रमुख कार्यकारी अधिकृत श्री तिलक राज पाण्डेय,२०८१।४।१ देखि २०८२।३।३२
२२,नेपाल स्टक एक्स्चेन्ज लिमिटेड,प्रमुख कार्यकारी अधिकृत श्री चुडामणी चापागाई,२०८१।४।१ देखि २०८२।३।३२
२३,नागरिक स्टक डिलर लिमिटेड,प्रमुख कार्यकारी अधिकृत श्री महेश्वर लाल श्रेष्ठ,२०८१।४।१ देखि २०८२।३।३२
२४,नेपाल पावर ट्रेडिङ्ग कम्पनि लिमिटेड,प्रबन्ध सञ्चालक श्री राजन ढकाल,२०८१।४।१ देखि २०८२।३।३२
२५,पावर ट्रान्समिसन कम्पनी लिमिटेड,प्रमुख कार्यकारी अधिकृत श्री श्याम कुमार यादव,२०८१।४।१ देखि २०८२।३।३२
२६,रसुवागढी हाइड्रोपावर कम्पनी लिमिटेड,प्रवन्ध निर्देशक श्री छुविलाल गैहे,२०८१।४।१ देखि २०८२।३।३२
२७,रेमिट हाइड्रो लिमिटेड,प्रबन्ध निर्देशक श्री नागेन्द्र नाथ ज्ञावाली,२०८१।४।१ देखि २०८२।३।३२
२८,विद्युत उत्पादन कम्पनी लिमिटेड,नि. प्रमुख कार्यकारी अधिकृत श्री हीरामान वाइवा,२०८१।४।१ देखि २०८२।३।३२
२९,साझा स्वास्थ्य सेवा सहकारी संस्था लिमिटेड,महाप्रवन्धक श्री किशोर कुमार दाहाल,२०८१।४।१ देखि २०८२।३।३२
३०,सान्जेन जलविद्युत कम्पनी लिमिटेड,प्रमुख कार्यकारी अधिकृत श्री अर्पन बहादुर सिंह,२०८१।४।१ देखि २०८२।३।३२
३१,सिडिएस एण्ड क्लियरिग लिमिटेड,प्रबन्ध सञ्चालक/कायकारी प्रमुख श्री प्रविन पन्दाक,२०८१।४।१ देखि २०८२।३।३२
३२,सिम्बुवा रेमिट हाइड्रो लिमिटेड,प्रमुख कार्यकारी अधिकृत श्री दिनेश त्रिपाठी,२०८१।४।१ देखि २०८२।३।३२
३३,हाइड्रोइलेक्टिसिटी इन्भेष्टमेन्ट एण्ड डेभलपमेन्ट कम्पनी लिमिटेड,प्रमुख कार्यकारी अधिकृत श्री प्रजेश विक्रम थापा,२०८१।४।१ देखि २०८२।३।३२
३४,जलविद्युत कम्पनी लिमिटेड,प्रवन्ध निर्देशक श्री आनन्द ढुंगेल,२०८१।४।१ देखि २०८२।३।३२
३५,विशालबजार कम्पनी लिमिटेड,प्रबन्ध सञ्चालक श्री हिक्मत बहादुर भण्डारी,२०७६।४।१ देखि २०७८। ३। ३१
३६,बुटवल धागो कारखाना,महाप्रबन्धक श्री डोलराज शर्मा,२०८०।४।१ देखि २०८२।३।३२
३७,राष्ट्रिय जीवन वीमा कम्पनी लिमिटेड,प्रमुख कार्यकारी अधिकृत श्री सुन्दर पन्थी,२०७४।४।१ देखि २०७६। ३। ३१
३८,विराटनगर जुट मिल,प्रशासन प्रमुख श्री श्याम कुमार लामा,२०७६।४।१ देखि २०७९।३।३२
३९,साझा भण्डार सहकारी संस्था लिमिटेड,नि. महाप्रबन्धक श्री लक्ष्मी उप्रेती,२०८१।४।१ देखि २०८२।३।३२
४०,राष्ट्रिय उत्पादकत्व तथा आर्थिक विकास केन्द्र लिमिटेड,नि. महाप्रबन्धक श्री भीमप्रसाद भट्टाराई,२०८०।४।१ देखि २०८२।३।३२
