,,,अर्का,काषासय,,,
क्र,,,मानिए,,,गन्ब,रक
,नन। तकाउ,नेकाप ला २,पना,नरानमाा कालमा,,,ना-
,,,. छ,,,,
१,संघीय संसद सचिवालय,०,०,७६,७६,,७६
२,सर्वोच्च अदालत,श्श्व,१३०,१९६८,२५४६,०,२५४६
३,लोक सेवा आयोग,४७,०,३६,द्३,०,५३
४,निर्वाचन आयोग,१४,०,७२५,७४२,०,७४२
५,महान्यावाधिवक्ताको कार्यालय,३,०,१९६,२३४,०,२३४
६,आदिवासी जनजाति आयोग,२९,०,०,२९,०,२९
७,प्रधानमन्त्री तथा भन्त्रीचरिषद्को कार्यालय,७९,११,२४,११४,१०७३,११८४
८,अर्थ,१२२८५९,३४३८३,२५६२३५६३,४२७८०८०४,०,श७८०८०४५
९,"उद्योग, वाणिज्य तथा आपूर्ति",९,२२,२०२,२३३,४०७,६४०
१०,"उर्जा, जलस्रोत तथा सिँचाइ",११७०१,७३४४,१५६२९१,१७५३३६,१०२३९७,२७७७३३
११,"कानून, न्याय तथा संसदीय मामिला",०,०,०,०,१३,१३
१२,कृषि तथा पशुपन्छी विकास,६२९,१८८६,२४२१०४४,२४२३५५९,२३४९,२४२५९०८
१३,खानेपानी,८३३,४,१६४३०९,१७४९९०,१५८८५९,३३३८४९
१४,गृह,६३३४,१२६३,६३३१९२,६४०७९०,४६३,५४१२५३
१५,परराष्ट्र,१८८१,१२९५,९१७१,१०९१०,१३,१०९२३
१६,"भूमि व्यवस्था, सहकारी तथा गरिबी निवारण",५२९६,२९१२,३७२०८,४५४१६,०,४५४१६
१७,भौतिक पूर्वाधार तथा यातायात,१९९४०,५०६४३,११४५१०३,१२१५६८६,०,१२१५६८६
१८,"महिला, नालबालिका तथा ज्येष्ठ नागरिक",०,४१,२,४३,२९३३,५९७६
१९,युवा तथा खेलकुद,०,३६,२०७४५२,२०७४८८,१७९,२०७६६७
२०,रक्षा,३२२०,४५४३७,१४५७१०३,६०५७६०,१५७,६०५८१७
२१,वन तथा वातावरण,२९६,२१,१६८००,१७४५१,४,१७४९६
२२,"शिक्षा, विज्ञान तथा प्रविधि",३७१,४२,१४७५७३,१४७९८६,१८९९८०,३३७९६६
२३,"श्रम, रोजगार तथा सामाजिक सुरक्षा",११५,१५६,५७५,३,३,द्श्४
२४,"संस्कृति, पर्यटन तथा नागरिक उड्डयन",३,४४५०,२४७३१७,२५१७७५,११४५७,२६३२३२
२५,सङ्घीय मामिला तथा सामान्य प्रशासन,७६५८,३२२७,३८६७६,४९५६१,९२०,१०४८१
२६,सञ्चार तथा सूचना प्रविधि,१००८,६०३,७९३४५,८०९५६,१४४०,८६३९६
२७,शहरी विकास,८३२०,८०६६,१०७५११,१२३८९७,२२५,१२४१२२
२८,स्वास्थ्य तथा जनसङ्ख्या,१३१,४६२७,६४१०९,६८८६७,२५७१७,१९४४५८४
२९,राष्ट्रिय योजना आयोग,०,०,२४,२४,०,२४
,सङ्घ जम्मा,१९०१३१,१७६४७७,११६५९५९५,१२०२६२०३,५०५५३५,१२५३१७३८
१,कोशी,३१४८,१४४३०,४३३९,८२८०९,१०८३६,९६३६४४५
२,मधेश,३७६२,७१९०,१९४,१११४६,२८७,११४३३
३,बागमती,३३८३,१४३९१,८०६,१८५८०,०७५१,२७३३१
४,गण्डकी,१३६८,३६३३,४७२,२४७३,९५१४,१४९८४
५,लुम्बिनी,२७०६,२४५९,४८९४,२११०५९,७९३१,५८९९०
६,कर्णाली,१६६४९,८६२,३६९४१,५४४५२,७७१९,६२१७१
७,सुदूपन्चिम,६३४२,२६७७,२३४२,११३६१,८६०,१२२२१
,प्रदेश जम्मा,३७३५८,४५६४२,१५१८८०,२३४८८०,४५८९८,२८०७७८
,स्थानीय तह जम्मा,३२१८०१,४७९६३७,१०१८७४५,१८२०१८३,०,१८२०१८३
,जम्मा,५४९२९०,७०१७५६,१२८३०२२०,१४०८१२६६,५५१४३३,१४६३२६९९
