> सं.,मन्त्रालय/निकाय,प्राविधिक सहायता ता,,विविध सहायता,,-,
,,< सम्झे सङ्ख्या,वार्षिक प्राप हुनुपर्ने,सम्झ सङ्ख्या |,सम्झे | रकम,झे | सङ्ख्या,वार्षिक प्राप्त हुनुपर्ने
१ |,राष्ट्रिय मानव अधिकार आयोग,| १,"| २,.७५.२०",०,| ०,| १,"२,७५,२०"
२ |,अर्थ,१२,"७१,२६,२८",| ० ।,| ० |,१२,"७१,५२६,२५८"
३,"| उद्योग, वाणिज्य तथा आपूर्ति",२,"४७,९८,११",| ० ।,| ० |,२,"४७,९८,११"
४ |,"उर्जा, जलस्रोत तथा सिँचाइ",७,"११९,४६,४३",| ० ।,| ० |,७,"११९,४६,४३"
५,| कृषि तथा पशुपन्छी विकास,१०,"४५,५४.५६",| ०,| o,| १०,"४५, ४,५६"
&,खानेपानी,¥,"२६,१७,१५",| ० |,| ० ।,¥,"२६,१७,१५"
७ |,| गृह,२,"११४,८१.४०७",| ०,| o,| २,"११४,८५,४७"
८ |,भौतिक पूर्वाधार तथा यातायात,७,"१३७,६६,८८",| ० ।,| ० |,७,"१३७,६६,०८"
९ |,"महिला, बालबालिका तथा ज्येष्ठ नागरिक",| १ |,"४,१२,८०",| ० ।,| ० |,१,"४,१२,८०"
१०,| वन तथा वातावरण,१५,"५६,४७१०",| ०,| ०,| १५,"₹६,४७,१०"
११,"शिक्षा, विज्ञान तथा प्रविधि",१४,"२५३,००,५१",| ० ।,| ० |,१४,"२५३,००,५१"
१२ |,"श्रम, रोजगार तथा सामाजिक सुरक्षा",R,"४३,६१,९२",| ० |,| ० ।,२,"४३,६१,९२"
१३,"संस्कृति, पर्यटन तथा नागरिक उड्न",| १ |,८.११.७४,| ०,| o,| १,"८,११,७४"
१४ |,सङ्घीय मामिला तथा सामान्य प्रशासन,3,w38,| ०,| o,| ३,"७३,७५,३६"
१५,| शहरी विकास,¥,39481,| ०,| ० [,४,"२३,१५,८१"
१६,स्वास्थ्य तथा जनसङ्ख्या,३४,"5९१,१६, ६४",| ० ।,| ० ।,३४,"८5९१,१६,६४"
१७,| राष्ट्रिय योजना आयोग,| १,"| ७१,३५.९४",| o,| ०,| १,"७१,३५,९४"
जम्मा,,१२०,"१९,९१,१८,२१",| ०],| ०],१२०,"१९,९१,१८,२१"
