कसे.,राजस्व शीर्षक,राजस्व अनुमान,राजस्व प्राप्ति
१,१११३६-कृषि आयमा लाग्ने कर,३४२,२
२,११३१५-बाँडफाँटबाट प्राप्त हुने घरजग्गा रजिष्ट्रेसन दस्तुर,१०१६३५९,७७२७३३
३,११४११-बाँडफाड भई प्राप्त हुने मूल्य अभिवृद्धि कर,७६८८९६०,६३१७८६१
४,११४२१-बाँडफाँट भई प्राप्त हुने अन्त शुल्क,१९२२२४०,२२६०७७२
५,११४५६-बाडफाँटष॥८ प्राप्त हुने सवारी साधन कर,१३३१३९४,११६७७१४
६,११४७१-बांडका८१॥८ प्राप्त हुने मनोरञ्जन कर,७०००,५७६०
७,११४७२-बाँडफाटबाट प्राप्त हुने विज्ञापन कर,२२७८,२१९४
८,१४१५१-सरकारी सम्पत्तिको वहालबाट प्राप्त आय,१६८००,१२३
९,१४१५३-वाँडफाँट भई प्राप्त वन रोयल्टी,४३१९०,४४०८८
१०,१४१५४-बाँडफाँट भई प्राप्त खानी तथा खनिज सम्बन्धी रोयल्टी,४८०९,१११४
११,१४१५६-बाँडफाँट भई प्राप्त विघृत सम्बन्धी रोयल्टी,इ८४८००,२९१३३४
१२,१४१५७-बाँडफाँट भई प्राप्त दहत्तर बहत्तरको विक्रिबाट प्राप्त हुने आय,२७२३०२,१५९५१३
१३,१४१५८-बाँडफाँट भई प्राप्त पर्वतारोहण वापतको रोयल्टी,४८१००,१५४०२
१४,१४१९१-पर्यटन शुल्क,७६,६३४७
१५,१४१९२-पदयात्रा शुल्क,२००,६८२
१६,१४२११-कृषि उत्पादनको विक्रीबाट प्राप्त रकम,१०००,५
१७,१४२१२-सरकारी सम्पत्तिको विक्रीबाट प्रापत रकम,२५००,१८९७
१८,१४२१३-अन्यविकीबाट प्राप्त रकम,१०००,११५
१९,१४२१७-नहर तथा कुलो उपयोग वापतको शुल्क,४००,४१
२०,१४२१९अन्य सेवा शुल्क तथा विकी,१०००,९
२१,१४२२३-शिक्षा क्षेत्रको आम्दानी,१३००,१३८५
२२,१४२२१-न्यायिक दस्तुर,१००,
२३,१४२२४-परीक्षा शुल्क,१७००००,६१५८६
२४,१४२२४५-यातायात क्षेत्रको आम्दानी,१५००००,६६५८५
२५,१४२२९-अन्य प्रशासनिक सेवा शुल्क,४५००००,४००००९
२६,१४२५३-व्यावसाय रजिष्ट्रेसन दस्तुर,१९००००,५८६९९
२७,१४२५६-चालक अनुमति पत्र सवारी दर्ता किताव दस्तुर,©०००००,५०२४८७
२८,१४२६३-जलस्रोत सम्बन्धी अन्य दस्तुर,४००,२१५
२९,१४५११-बिमा दावी प्राप्ति,६०,१
३०,१४२६४-वन क्षेत्रको अन्य आय,२४२२००,२५४१२
३१,१४३११-न्यायिक दण्ड जरिवाना र जफत,१००,२५
३२,१४३१२-प्रशासनिक दण्ड जरिवाना र जफत,९८०००,५७६००
३३,१४३१३-धरौटी सदरस्याहा,३००,६८२१
३४,१४५२९-अन्य राजस्व,३३०००,३७६४६
३५,१५१११-बेरुजु,३०५५००,१४७९४३
३६,१४११२-निकासा फिर्ता,२८३००,५९४१
३७,१३३११-समानिकरणअनुदान,७६३८८००,७००९३६३
३८,१३३१२-शसर्तअनुदान चालु,३५९९३००,१३००२९१
३९,१३३१३-विशेष अनुदान चालु,६५५५००,४४४४
४०,१३३१४-समपुरक अनुदान चालु,११९००००,३९२७००
४१,१३३१७-समपुरक अनुदान पुँजीगत,०,७३७८००
४२,१३३२१ सशर्त अनुदान पुँजीगत,१४३९९००,१०८३७१७
४३,१३३२२-विशेष अनुदान पुँजीगत,५४५४६६,२४५४६६
४४,जम्मा,३०२८२९७६,२३५४५६१७७
४५,सङ्घीय सरकारको अनुदान,१५०६८९६६,११११३८२०
४६,सङ्घीय सरकारको अनुदान र विभाज्य कोष बाहेकको प्राप्ति,१५२१४०१०,१२४४२३५७
