,,,प्रारम्भिक,बेरुजू,प्रतिक्रियाबाट,,फछ्योट,प्रतिकियाबाट,,बाँकी बेरुजू,,,,नियमित,गरने,,,
कस,कार्यालयको नाम,दफा सैडान्तिक,सङ्ख्या लगती,रकम,दफा सैदान्तिक,सङ्ख्या लगती,तम,थप बेरुजु रकम,दफा सेड्ान्तिक,सङ्ख्या लगती,रकम,गर्नुपर्ने,अनियमित भएको,प्रमाणका कागजात पस,जिम्मेवारी जसारेको,सोधभनना नलिएको,जम्मा,जम्मा
१,"प्रदेश अस्पताल, गोरखा",१५,६,६३७,०,०,०,,१८,६,१६३७,३२४५,५२९८,१४,०,०,थ३१२,०
२,"प्रदेश अस्पताल, कुश्मा",१४,२,८५३,,०,०,०,१४,२,८५३,३,०,८५०,,०,८५०,०
३,प्रदेश खेलकुद परिषद्‌,११,,,,,,०,११,०,०,०,०,०,०,०,०,०
४,"गण्डकी प्राविधिक शिक्षा तथा व्यवसायिक तालीम प्रतिष्ठान, कास्की",७,०,०,र,०,०,,,०,०,०,०,०,०,०,०,
५,"प्रादेशिक जनरल तथा सरुवा रोग अस्पताल, पोखरा",३,०,०,०,०,०,०,५,०,०,०,०,०,०,०,०,०
६,"प्रदेश अस्पताल, बैनी",४,११,११९,०,०,०,०,४,११,११९,११०,०,,०,०,९,०
७,"गजेन्द्रमोक्ष दिव्यधाम क्षेत्र विकास समिति, विवेणीधाम नवलपुर",५,१,१८,०,,०,०,,१,१८,०,०,१८,०,०,१८,०
८,मनकामना क्षेत्र विकास समिति,३,०,०,०,०,०,०,६,०,०,०,०,०,०,०,०,०
९,"धौलागिरी प्रादेशिक अस्पताल, वागलुङ",१९,२६,६८,०,१९,श्डइ,०,१९५,७,५४५,२२,०,३३,०,०,३३,०
१०,"प्रदेश अस्पताल, जोमसोम",९,,२४१९,०,०,०,०,२,८,१४१९,२९९१,२३२२,१०६,०,०,,०
११,गण्डकी विश्वविधालय,१६,१६,७७८३,०,४,११९०,,१६,१२,६५९३,१३,५७९७,,०,०,६५८०,०
१२,"मातृशिशु मितेरी प्रादेशिक अस्पताल, पोखरा",१५,०,०,०,,०,०,१५,०,०,,०,०,०,०,०,०
१३,"प्रदेश अस्पताल,वेसीशहर",२०,२,१०१३३,०,०,०,०,२०,२,१०१३३,०,४४७,९६८६,०,०,१०१३३,०
१४,"गण्डकी प्रदेश प्रशिक्षण प्रतिष्ठान, कास्की",९,४,६२४,०,०,०,०,९,उ,दश,०,०,६५४,०,,६५४,०
११५,"प्रदेश अस्पताल,पुतलीबजार",१२,१,९७,०,१,९७,,१२,७,७,०,०,०,०,०,०,०
१६,"प्रदेश अस्पताल,दमौली",३,०,०,०,०,०,०,[र,०,०,०,०,०,०,०,०,०
१७,"बुर्तिबाङ अस्पताल, बाग्लुङ",९,०,०,०,०,०,०,९,०,०,०,०,०,०,०,०,०
१८,"ताल संरक्षण तथा विकास प्राधिकरण, कास्की",१०,०,,०,०,०,,१०,०,०,०,०,०,०,०,०,
१९,"प्रदेश अस्पताल, चामे",१२,१,२९८३,०,०,०,०,१२,१,२९८३,२९८३,०,०,०,०,०,०
२०,"मध्यविन्दु प्रादेशिक अस्पताल, नवलपरासी वर्दघाट सुस्ता पूर्व",९,१,५४०४१,०,०,०,०,९,१,श१४०४१,०,०,०,०,५४०४१,५४०४१,०
२१,गण्डकी प्रज्ञा प्रतिष्ठान,,८,१४७३,,,०,०,६,८,१४०३,ब९,१२३९,७५,०,०,१३१४,०
,जम्मा,२२७,८७,९७०८,२,२४,१७७०,०,२२५,६३,७९३८,६५६६,१५१०३,१२२२८,०,१४०४१,१३७२,०
