खर्च शीर्षक,रुरु बजेट,अन्तिम बजेट,खर्च,खर्च प्रतिशत
चालु खर्च,,,,
२११०० पारिश्रमिक/सुविधा,११९५१८,११९९५८,९९६६२,८३.०८
२१२०० कर्मचारीको सामाजिक सुरक्षा,३९२,३९२,१०४५,२६.७९
२२१०० सेवा महसुल,२६५२,२६५२,२१९३,८२.६९
२२३०० कार्यालय सामान तथा सेवा,२८२१,२८२१,२४५१,८६.व्व
२२४०० सेवा तथा परामर्श खर्च,६३८४,६३८५,४८१५,७५.४१
२२५०० कार्यक्रससम्बन्धी खर्च,१२८००,१११००,४९२६,४४.३८
"२२६०० अनुगमन, २लाङ्क१ र भ्रमण खर्च",४३००,४३००,२९५९,६८.८१
२२७०० विविध खर्च,४५६०,४५६०,४२३७,९२.९२
अन्य (बाँकी खर्च शीर्षकहरू),११६४२,१३३४२,१२१५१,९१.०७
जम्मा,१६५०७०,१६५४५१०,१३३४९९,
खर्च,,,,
२९९०० स्थिर सम्पत्ति प्राप्ति खर्च,११२८०,११२८०,७०८५,६२.८१
कुल जम्मा,१७६३४५०,१७६७९०,१४०४५८४,७९.५२
