= शीष्क,सुरुबबेट,अन्तिम बजेट,खर्च,खर्च प्रतिशत
चालु खर्च,,,,
२११०० पारिश्रमिक/सुविधा,८१०३४,८२४६९,२११९६,६२.०८
२१२०० कर्मचारीको सामाजिक सुरक्षा,२७७१,२७७१,२९३,१०.१७
२२१०० सेवा महसुल,५६८६,५६८६,३८४५,६७.६२
२२३०० कार्यालय सामान तथा सेवा,८७३०,८७३०,७७९९,८९.३४
२२४०० सेवा तथा परामर्श खर्च,२७३२९,२८०५३,२४६७६,८७.९६
२२५०० कार्यक्रम सम्बन्धी खर्च,४५४१८१,३८९०४३,१३५६८६,३४.
"२२६०० अनुगमन, १०४ाङ्१ र भ्रमण खर्च",१०३०६,१०३०६,६३५४,६१.६५
२२७०० विविध खर्च,७७२९,८०७९,७८९७,९७.७५
२७२०० सामाजिक सहायता,२००२५०,२२६२५०,१००९१०,४४.६०
२८१०० सम्पत्ति सम्बन्धी खर्च,१५००,१५००,१०४४,६९.६०
२८९०० भैपरी आउने चालु खर्च,१०००,५००,,०.००
अन्य (बाँकी खर्च शीर्षकहरू),१७७८२,२५७६१,२४१४८,९३.७४
जम्मा,८१५२९८,७८९१४८,३६३८४८,४६.११
एंजीगत खर्च,,,,
३११०० स्थिर सम्पत्ति प्राप्ति खर्च,१८७२००,१६७२००,१४६७७३,८७.७८
जम्मा,१८७२००,१६७२००,१४६७७३,८५७.७८
तल जम्मा,१००५४९८,९५६३४८०,२१०६२१,२३२.३९
