खर्च शीर्षक,र्रुबबेट,अन्तिम बजेट,खर्च
२२३०० कार्यालष सामान तथा सेवा,६०९८,६२७१,४४९९
२२४०० सेवा तथा परामर्श खर्च,७०६१,७०६१,
२२५०० कार्यकम सम्बन्धी खर्च,५४९२४,५२१६१,२२५७३
"२२६०० अनुगमन, र भ्रमण खर्च",६९५०,७७९०,४४५७
२२७०० विविध खर्च,४२५०,४३५०,३२६०
२६४०० चामाजिक सेवा अनुदान,०,४०००,४०००
२८१०० सम्पत्ति सम्बन्धी खर्च,१८९६,१९२३,१०३४
अन्य (बाँकी खर्च २)र्षकह),९६७२,११२९५,४६५
जम्मा,१४१५९९,१४४५५९९,टवर२८०
पंजीगत खर्च,,,
३११०० स्थिर सम्पत्ति प्राप्ति खर्च,२९९००,३८४००,७७१७
कुल जम्मा,१७१४९९,१८३९९९,९०५९७
