दङ्ग,सर्तक,,२०८०।८१,,,२०८१।०२,
,,बार्षिक लक्ष्य,प्राप्ति,प्रतिशत,वार्षिक लक्ष्य,प्राप्ति,प्रतिशत
१,प्रदेश स९का९को राजस्व प्रशासन,२९६९२,४१७७९,६९.९९,२५४०६,१३८१८०,२४.३९
२,समानीकरण अनुदान,७६२२५,२१६४९०,७४.११,७६३८८,७००९४,९१.७६
३,सशार्त अनुदान,४९४१५,२९९३१,६०.१७,३५९९३,२३८४०,६६.२४
४,विशेष अनुदान,७०००,६९५०,९९.२९,६५५५,२८९९,व८९.९९
४५,समपूरक अनुदान,८४००,७२००,८५.७१,११९००,११३०५,९५.००
६,बाँडफाँट भई प्राप्त हुने मु.अ.कर,७२४२६,५७६९७,७९.६६,७६८८९,६३१७९,८२.१७
७,बाँडफाँट भई प्राप्त हुने अन्तःशुल्क,१८१०६,१९०६७,१०५.३१,१९२२२,२२६०८,११७.६२
८,रोयल्टी बाँडफाँटबाट प्राप्त,४००८,३४४१,८५.८५,४८१०,३५१९,७३.१६
९,बाँडफाँट पर प्रा हुने घरजग्गा रजिषट्रेधण दस्तर,,,,१०१६४,७७२७,७६.०२
१०,"बाँडफाँट भई प्राप्त हुने विज्ञापन, भनोरञ्जन तथा दहत्तर बहत्तर बिकी कर",,,,२८१६,१६७५,५९.४८
११,गत वर्षको नगद मौज्दात,३००००,२९२७५,९७.५८,२९३२८,११८९७,४०.५७
१२,सवारी साधन कर बाँडफाँट,-८०००,-७६६१,९५.७६,१३३१४,११८९७,८९.३६
१३,आन्तरिक त्रदण,१७०००,०,,१७०००,,०.००
,जम्मा,३३४२७२,२४४१६९,७३.०४,२२९७८५,२४७४५८,७५.०४
