"कस,",पालिकाको नाम,जम्मा सङ्कलन गरेको 'रकम,प्रदेश स९क९०ाई प्रा हुनुपर्ने 'रकम मू. अ. कर बाहेक,प्राप्त भएको 'रकम
१,पालुङ्गटार,११६१४,४६४६,४५३६
२,धार्चो नाउँपालका,८२३,३०२,
३,हुप्सेकोट नाउँपालिका,२७७४,१११०,३८७
४,पोखरा महानगरपालिका,१६८८७४५,६७५५०,६७९८
५,मादी गाउँपालिका,४८९१,१९५६,०
६,रुपा नाउँपालिका,४०६९,१६२७,६०१
७,भनर्च्यङ्गदी गाउँपालिका,२६३२,१०५३,०
८,कावासोदी,२४७६६,९९०७,०
९,नगरपालिका,२१४६४,२०५८६,०
१०,देवचुली नभरपालिका,४७६८,१९०७,०
११,म्याग्दै नाउँपालिका,२०००८,८००३,
१२,शुक्लागण्डकी नगरपालिका,७३०१७,२९२०७,१०७२२
१३,विनयी त्रिवेणी भ॥उँपालिका,९३६११,३७४४४५,
१४,गाँडाकोट नगरपालिका,५२७६५,२११०६,०
१५,गोरखा नगरपालिका,११९८८,४३९७,०
१६,जम्मा,५२८०६४५,२१०६०२,२३०४४
