विवरण,आर्थिक वर्ष २०८१। ८२,आर्थिक वर्ष २०८०।८१
"१, राजस्व, अनुदान र अन्य प्राप्ति",२३५५६१७८,२०४६८३०९
१.१. राजस्व,१२२८८४७५,१०६४८३८४
क. कर,१०१४७०३७,९०१८८२५
'ख. अन्य राजस्व,१७४१४३८,१६२९५६०
१.२. अनुदान,११११३८२०,९५६९९४२
क. अन्तरसरकारी वितीय ह«्तान्तरण,११११३८२०,९६५६९९४२
१.३. बेरूजु तथा अन्य प्राप्ति,१५३८८३,२४९९८२
२. वित्तीय व्यवस्थाबाट प्राप्ति,०,०
३. यस वर्षको खुद प्राप्ति,२३५४५६१७९,२०४६८३०९
"४, भुक्तानी",२४०३२९७२,२२२०६११६
४.१. संच्चित कोष माथि व्ययभार हुने रकमबाट खर्च,१०८०६,१०३१८
'क. चालु खर्च,१०८०६,१०३१८
'ख. वित्तीय खर्च,०,०
४.२. विनियोजन ऐनद्वारा भएको खर्च,२२८८१४४०,२२१९५७९७
'क. चालु खर्च,७८९०५१६,७५६६३८१
'ख. पुँजीगत खर्च,१४९९०९२४,१४६२९४१६
"५, सङ्घीय अनुदान फिर्ता",११४०७२६,०
६. यस वर्षको जम्मा भुक्तानी,२४०३२९७२,२२२०६११६
७. यस अवधिको कोषमा भएको थपघट,-४७६७९३,-१७३७८०६
८. आर्थिक वर्षको मौज्दात,११८९७११,२९२७५१७
"९, आर्थिक वर्षको अन्त्यको मोज्दात",७१२९१८,११८९७११
